date,snbmonagg:B|GM3
2019-01-31,1070756.0
2019-02-28,1075036.0
2019-03-31,1076180.0
2019-04-30,1077864.0
2019-05-31,1081329.0
2019-06-30,1077241.0
2019-07-31,1079474.0
2019-08-31,1080919.0
2019-09-30,1076189.0
2019-10-31,1074823.0
2019-11-30,1077713.0
2019-12-31,1072273.0
2020-01-31,1071532.0
2020-02-29,1075784.0
2020-03-31,1090838.0
2020-04-30,1100067.0
2020-05-31,1107962.0
2020-06-30,1110218.0
2020-07-31,1120025.0
2020-08-31,1123872.0
2020-09-30,1121938.0
2020-10-31,1134290.0
2020-11-30,1140090.0
2020-12-31,1141681.0
2021-01-31,1146987.0
2021-02-28,1148612.0
2021-03-31,1153523.0
2021-04-30,1154207.0
2021-05-31,1154396.0
2021-06-30,1151494.0
2021-07-31,1156754.0
2021-08-31,1159443.0
2021-09-30,1159481.0
2021-10-31,1163087.0
2021-11-30,1161271.0
2021-12-31,1157754.0
2022-01-31,1159508.0
2022-02-28,1159742.0
2022-03-31,1161858.0
2022-04-30,1155744.0
2022-05-31,1157230.0
2022-06-30,1149669.0
2022-07-31,1154328.0
2022-08-31,1157126.0
2022-09-30,1160617.0
2022-10-31,1161859.0
2022-11-30,1171437.0
2022-12-31,1159243.0
2023-01-31,1158833.0
2023-02-28,1162394.0
2023-03-31,1155293.0
2023-04-30,1153845.0
2023-05-31,1142952.0
2023-06-30,1133843.0
2023-07-31,1136369.0
2023-08-31,1131701.0
2023-09-30,1128106.0
2023-10-31,1132252.0
2023-11-30,1135000.0
2023-12-31,1136319.0
2024-01-31,1135048.0
2024-02-29,1131865.0
2024-03-31,1138093.0
2024-04-30,1143443.0
2024-05-31,1135316.0
2024-06-30,1135556.0
2024-07-31,1139827.0
2024-08-31,1144720.0
2024-09-30,1147578.0
2024-10-31,1147740.0
2024-11-30,1155314.0
2024-12-31,1157955.0
2025-01-31,1154098.0
2025-02-28,1159559.0
2025-03-31,1169837.0
2025-04-30,1178148.0
2025-05-31,1175170.0
2025-06-30,1183968.0
2025-07-31,1191938.0
2025-08-31,1196272.0
2025-09-30,1192728.0
2025-10-31,1202296.0
2025-11-30,1210928.0
2025-12-31,1209269.0
2026-01-31,1214529.0
2026-02-28,1214794.0
2026-03-31,1222467.0
2026-04-30,1229817.0
2026-05-31,1227770.0
2026-06-30,1226422.0
2026-07-31,1231109.0
