date,babilpobm:FMI|T|T|A40
2019-01-31,490646.753720083
2019-02-28,491546.006326984
2019-03-31,487029.445441871
2019-04-30,483832.19649980497
2019-05-31,478081.84369659296
2019-06-30,479851.599954853
2019-07-31,475469.142430247
2019-08-31,483656.959648471
2019-09-30,488520.079641797
2019-10-31,501138.5108383581
2019-11-30,508602.970002289
2019-12-31,513525.987349493
2020-01-31,506227.34328506305
2020-02-29,503422.856075701
2020-03-31,530146.928189356
2020-04-30,589109.0279129581
2020-05-31,594555.383546422
2020-06-30,600286.210940043
2020-07-31,627050.951785119
2020-08-31,633777.164996103
2020-09-30,638503.851426523
2020-10-31,636888.0442261704
2020-11-30,639328.191680997
2020-12-31,630679.0899824931
2021-01-31,637719.8357951259
2021-02-28,643793.630853834
2021-03-31,629007.398043923
2021-04-30,637052.591695546
2021-05-31,634774.0684927352
2021-06-30,637123.8283392071
2021-07-31,639456.886273936
2021-08-31,639540.7858345819
2021-09-30,638995.790912876
2021-10-31,649258.1684571609
2021-11-30,647394.630470548
2021-12-31,654665.58309887
2022-01-31,661237.7434147219
2022-02-28,661861.6652020119
2022-03-31,666081.378467684
2022-04-30,665473.0113577041
2022-05-31,666157.1615249099
2022-06-30,643616.3422965569
2022-07-31,645428.56679915
2022-08-31,641228.325715661
2022-09-30,540455.373115733
2022-10-31,518288.853516622
2022-11-30,512465.35899112804
2022-12-31,467119.387490601
2023-01-31,495883.1215602311
2023-02-28,489778.280655495
2023-03-31,484251.611492998
2023-04-30,496647.022970985
2023-05-31,494706.119327521
2023-06-30,463109.193373868
2023-07-31,468977.49996293196
2023-08-31,453239.77630103804
2023-09-30,461143.243782925
2023-10-31,462106.089403596
2023-11-30,456458.16599397396
2023-12-31,452791.78073483903
2024-01-31,463161.939586376
2024-02-29,453579.93498466496
2024-03-31,441458.120820668
2024-04-30,453909.227464142
2024-05-31,448350.181628816
2024-06-30,435567.753050382
2024-07-31,443466.951550807
2024-08-31,440795.02260701696
2024-09-30,444922.144102059
2024-10-31,444046.694609347
2024-11-30,446923.699369289
2024-12-31,422301.61208378203
2025-01-31,423124.488046758
2025-02-28,425765.563330839
2025-03-31,417968.105910611
2025-04-30,437081.462238438
2025-05-31,419104.36468025396
2025-06-30,414128.671268731
2025-07-31,434430.993630926
2025-08-31,442956.864592121
2025-09-30,432337.6541637893
2025-10-31,438587.6969697827
2025-11-30,439503.075729348
2025-12-31,422805.50128809514
2026-01-31,435361.7275098036
2026-02-28,427210.4873803517
2026-03-31,415163.5327940563
2026-04-30,427566.89855803194
2026-05-31,429349.0451158436
2026-06-30,423951.7116290998
