date,babilpobm:VKE|T|T|A40
2019-01-31,1563406.715793706
2019-02-28,1564882.5668452648
2019-03-31,1561201.3044871062
2019-04-30,1580711.5896538652
2019-05-31,1574978.212024221
2019-06-30,1563869.9277136794
2019-07-31,1570371.174109679
2019-08-31,1567069.367423068
2019-09-30,1561457.3849944992
2019-10-31,1554600.325639998
2019-11-30,1559592.1379524316
2019-12-31,1546399.1400120612
2020-01-31,1543349.9803326756
2020-02-29,1552758.4328528917
2020-03-31,1618684.5480308975
2020-04-30,1634035.3031492098
2020-05-31,1651120.5615483054
2020-06-30,1655790.9822939688
2020-07-31,1673108.118281723
2020-08-31,1679999.8875178022
2020-09-30,1690707.2253578738
2020-10-31,1708030.8807879486
2020-11-30,1716072.528599488
2020-12-31,1706318.9368608915
2021-01-31,1727928.018012699
2021-02-28,1751278.358709544
2021-03-31,1767408.6784862787
2021-04-30,1763967.8558589611
2021-05-31,1762980.2463527375
2021-06-30,1774285.7544545024
2021-07-31,1770239.0223551914
2021-08-31,1783768.6767468415
2021-09-30,1792708.668723114
2021-10-31,1788240.226187599
2021-11-30,1797373.6619760909
2021-12-31,1789231.875716573
2022-01-31,1811873.850894763
2022-02-28,1812707.9302968364
2022-03-31,1814431.6702471478
2022-04-30,1820218.722676811
2022-05-31,1805963.3367286236
2022-06-30,1777567.9936766909
2022-07-31,1763780.563835362
2022-08-31,1763133.656657161
2022-09-30,1733749.2558919052
2022-10-31,1711206.7786893449
2022-11-30,1684544.3529534668
2022-12-31,1645552.110350573
2023-01-31,1638460.772372675
2023-02-28,1627815.608651327
2023-03-31,1598472.1998721692
2023-04-30,1587804.254988951
2023-05-31,1584608.166259192
2023-06-30,1570198.383126216
2023-07-31,1544552.913106668
2023-08-31,1541755.637373486
2023-09-30,1552247.1079667348
2023-10-31,1543159.892642747
2023-11-30,1539015.270685106
2023-12-31,1536639.250876576
2024-01-31,1531657.3065052056
2024-02-29,1540187.752771459
2024-03-31,1555877.2686482244
2024-04-30,1554395.6401975367
2024-05-31,1540888.35223203
2024-06-30,1540656.4217397461
2024-07-31,1535458.17386075
2024-08-31,1529230.9199705112
2024-09-30,1541457.985873513
2024-10-31,1545688.752901335
2024-11-30,1558622.868749032
2024-12-31,1570737.301051238
2025-01-31,1564639.2674891767
2025-02-28,1574833.6082555412
2025-03-31,1588567.872215982
2025-04-30,1582643.033133704
2025-05-31,1584911.8556820161
2025-06-30,1587859.389932754
2025-07-31,1597426.2394454961
2025-08-31,1603999.4927188088
2025-09-30,1601241.4192593903
2025-10-31,1626236.6118202286
2025-11-30,1634853.438537396
2025-12-31,1620295.8147261678
2026-01-31,1628973.97994505
2026-02-28,1635572.710596919
2026-03-31,1657301.7836226544
2026-04-30,1655603.026794976
2026-05-31,1651904.932359057
2026-06-30,1661089.1176707551
