date,bamire:TB|NM
2019-01-31,6397.286828765812
2019-02-28,6533.022166243842
2019-03-31,6755.8832338976
2019-04-30,6644.5599587869765
2019-05-31,6578.097509326654
2019-06-30,6553.088671547404
2019-07-31,6489.79042124391
2019-08-31,6542.581817916554
2019-09-30,6669.074958210234
2019-10-31,6511.019600458621
2019-11-30,6498.049145944532
2019-12-31,7002.301179390803
2020-01-31,6568.483036561061
2020-02-29,6613.517766396553
2020-03-31,6715.987481858911
2020-04-30,6313.412854452534
2020-05-31,6385.516457509831
2020-06-30,6457.38824442105
2020-07-31,6302.509461443336
2020-08-31,6203.088944581687
2020-09-30,6164.011513054126
2020-10-31,5948.782045568201
2020-11-30,5993.970625279458
2020-12-31,6309.797022300362
2021-01-31,5887.551263587619
2021-02-28,5751.861206817435
2021-03-31,5856.638787012426
2021-04-30,6186.449732757864
2021-05-31,6135.859659604107
2021-06-30,6010.124543766298
2021-07-31,5990.631402922899
2021-08-31,5907.01350519191
2021-09-30,5894.286903282867
2021-10-31,5835.297437415824
2021-11-30,5813.059582848363
2021-12-31,5791.333943775134
2022-01-31,5694.990353086523
2022-02-28,5744.91044634172
2022-03-31,5726.262188541306
2022-04-30,5684.861660814866
2022-05-31,5754.904044131717
2022-06-30,5992.289877669867
2022-07-31,6186.722991407224
2022-08-31,6160.413105934619
2022-09-30,5620.359849543002
2022-10-31,5552.418450278242
2022-11-30,5475.419844133778
2022-12-31,5622.086107528236
2023-01-31,5244.541042608296
2023-02-28,5103.259877982181
2023-03-31,5257.569113786072
2023-04-30,5135.696672289962
2023-05-31,5050.616058233522
2023-06-30,5006.526983936801
2023-07-31,4905.301092904329
2023-08-31,4807.925909038492
2023-09-30,4800.622290511865
2023-10-31,4707.638394047458
2023-11-30,4785.789406792199
2023-12-31,5145.198754930727
2024-01-31,4813.079107323877
2024-02-29,4738.831669331819
2024-03-31,4772.610153080236
2024-04-30,4762.169531065867
2024-05-31,4682.966510258027
2024-06-30,4662.538244639007
2024-07-31,4645.705460224705
2024-08-31,4555.193111939458
2024-09-30,4520.3526495185215
2024-10-31,4429.177305437718
2024-11-30,4499.656039177366
2024-12-31,4741.359204165809
2025-01-31,4484.59049994465
2025-02-28,4415.0261843304215
2025-03-31,4424.333428367808
2025-04-30,4460.269536295518
2025-05-31,4466.941975492809
2025-06-30,4408.2312410351
2025-07-31,4404.493066965809
2025-08-31,4368.868364498779
2025-09-30,4389.713510261068
2025-10-31,4346.917225400817
2025-11-30,4400.288971177732
2025-12-31,4656.204388484403
2026-01-31,4433.972485196021
2026-02-28,4339.08154830166
2026-03-31,4324.114763226605
2026-04-30,4250.988284176096
2026-05-31,4176.2885189483095
2026-06-30,4144.965438211733
