date,babilpobm:TOT|T|T|A40
2019-01-31,2689415.1170354
2019-02-28,2690841.535054176
2019-03-31,2673423.212157073
2019-04-30,2709938.670501222
2019-05-31,2686419.8542967425
2019-06-30,2667621.736277489
2019-07-31,2684902.768532734
2019-08-31,2701928.260260292
2019-09-30,2713890.107718963
2019-10-31,2713652.935475174
2019-11-30,2770854.7891508075
2019-12-31,2735366.414233612
2020-01-31,2756745.8141959957
2020-02-29,2802969.606528058
2020-03-31,2864257.9835782233
2020-04-30,2949197.644466692
2020-05-31,2951450.109735326
2020-06-30,2925032.2443498303
2020-07-31,2966660.0217528054
2020-08-31,2960427.8140300834
2020-09-30,2957804.6313278778
2020-10-31,2964077.200797675
2020-11-30,2969272.357711162
2020-12-31,2930610.3557761307
2021-01-31,2989199.5041853
2021-02-28,3029985.848310574
2021-03-31,3055226.6793224243
2021-04-30,3028540.1013300763
2021-05-31,3030140.736611022
2021-06-30,3039891.7100768
2021-07-31,3029869.283501408
2021-08-31,3051758.335838598
2021-09-30,3065872.377108712
2021-10-31,3065069.748102744
2021-11-30,3085858.298385057
2021-12-31,3052463.9038053397
2022-01-31,3108441.900587923
2022-02-28,3122982.238314622
2022-03-31,3130783.679982
2022-04-30,3194795.4921401483
2022-05-31,3171564.9303224157
2022-06-30,3127088.121781223
2022-07-31,3130470.8176410277
2022-08-31,3141735.380375305
2022-09-30,3108623.828495657
2022-10-31,3098660.972013135
2022-11-30,3074673.53731874
2022-12-31,2978808.966918644
2023-01-31,3026369.592107385
2023-02-28,3009451.4103484247
2023-03-31,3014540.203078298
2023-04-30,3007029.663131681
2023-05-31,3017555.8875811077
2023-06-30,2924440.405441
2023-07-31,2903755.055420011
2023-08-31,2894333.933962107
2023-09-30,2917435.6578829004
2023-10-31,2907598.4895829493
2023-11-30,2892206.5260711242
2023-12-31,2848563.7248832574
2024-01-31,2877088.743147715
2024-02-29,2897424.7660785997
2024-03-31,2922485.143262022
2024-04-30,2949600.583919723
2024-05-31,2904404.487880873
2024-06-30,2849724.8484428898
2024-07-31,2864885.655174301
2024-08-31,2870569.417699158
2024-09-30,2854029.617068628
2024-10-31,2907842.261264472
2024-11-30,2934366.315783445
2024-12-31,2886338.612326525
2025-01-31,2914814.4327657553
2025-02-28,2922804.1102078157
2025-03-31,2896183.7087197653
2025-04-30,2937637.713703639
2025-05-31,2922306.145594532
2025-06-30,2871417.3988042613
2025-07-31,2922651.599095704
2025-08-31,2922297.2815489536
2025-09-30,2899932.0592566463
2025-10-31,2950655.483809803
2025-11-30,2959822.91188884
2025-12-31,2906409.73718639
2026-01-31,2987740.3703444456
2026-02-28,2979211.2326014875
2026-03-31,2990482.3506781664
2026-04-30,2987432.9538813536
2026-05-31,3001775.308899045
2026-06-30,2992954.071574354
