date,bond_own_share
2019-01-09,0.0
2019-02-13,0.0
2019-03-13,0.0
2019-04-10,0.0
2019-05-08,0.0
2019-06-12,0.0
2019-07-10,0.0
2019-09-11,0.0
2019-11-13,0.0
2019-12-11,0.0
2020-01-08,0.0
2020-02-12,0.0
2020-03-11,0.0
2020-04-08,0.0
2020-05-13,0.0
2020-06-10,0.0
2020-07-08,0.0
2020-09-09,0.0
2020-10-14,0.0
2020-11-11,0.0
2020-12-09,0.0
2021-01-13,0.0
2021-02-10,0.0
2021-03-10,0.0
2021-04-14,0.0
2021-05-12,0.0
2021-06-09,0.0
2021-07-14,0.0
2021-09-08,0.0
2021-10-13,0.0
2021-11-10,0.0
2021-12-08,0.0
2022-01-12,0.0
2022-02-09,0.0
2022-03-09,0.0
2022-04-13,0.0
2022-05-11,0.0
2022-06-08,0.0
2022-07-13,0.0
2022-09-14,0.0
2022-10-12,0.0
2022-11-09,0.0
2022-12-14,0.0
2023-01-11,0.0
2023-02-08,0.0
2023-03-08,0.0
2023-04-12,0.0
2023-05-10,0.0
2023-06-14,0.0
2023-07-12,0.0
2023-09-13,0.0
2023-10-11,0.0
2023-11-08,0.0
2023-12-13,0.0
2024-01-10,0.0
2024-02-14,0.0
2024-03-13,0.0
2024-04-10,0.0
2024-05-08,0.4623
2024-06-12,0.0
2024-07-10,0.0
2024-09-11,0.0
2024-10-09,0.0
2024-11-13,0.0
2024-12-11,0.4259
2025-01-08,0.0
2025-02-12,0.0
2025-03-12,0.0
2025-04-09,0.0
2025-05-14,0.4978
2025-06-11,0.0
2025-07-09,0.0
2025-09-10,0.0
2025-10-08,0.0
2025-11-12,0.442
2025-12-10,0.0
2026-01-14,0.0
2026-02-11,0.0
2026-03-11,0.0
2026-04-08,0.0
2026-05-13,0.0
2026-06-10,0.4195
2026-07-08,0.0
2026-09-09,0.0
