date,nss:J03M0
2024-03-22,0.745
2024-03-25,0.739
2024-03-26,0.759
2024-03-27,0.758
2024-03-28,0.757
2024-04-02,0.787
2024-04-03,0.789
2024-04-04,0.776
2024-04-05,0.78
2024-04-08,0.761
2024-04-09,0.785
2024-04-10,0.734
2024-04-11,0.813
2024-04-12,0.783
2024-04-15,0.784
2024-04-16,0.82
2024-04-17,0.847
2024-04-18,0.802
2024-04-19,0.843
2024-04-22,0.823
2024-04-23,0.84
2024-04-24,0.807
2024-04-25,0.806
2024-04-26,0.83
2024-04-29,0.831
2024-04-30,0.815
2024-05-02,0.865
2024-05-03,0.895
2024-05-06,0.814
2024-05-07,0.838
2024-05-08,0.819
2024-05-10,0.828
2024-05-13,0.872
2024-05-14,0.893
2024-05-15,0.873
2024-05-16,0.84
2024-05-17,0.846
2024-05-21,0.87
2024-05-22,0.895
2024-05-23,0.919
2024-05-24,0.973
2024-05-27,0.98
2024-05-28,0.976
2024-05-29,0.98
2024-05-30,1.011
2024-05-31,1.081
2024-06-03,1.001
2024-06-04,0.964
2024-06-05,0.993
2024-06-06,0.992
2024-06-07,0.972
2024-06-10,0.991
2024-06-11,0.95
2024-06-12,0.927
2024-06-13,0.935
2024-06-14,0.869
2024-06-17,0.834
2024-06-18,0.847
2024-06-19,0.829
2024-06-20,0.844
2024-06-21,0.739
2024-06-24,0.74
2024-06-25,0.75
2024-06-26,0.706
2024-06-27,0.7
2024-06-28,0.651
2024-07-01,0.672
2024-07-02,0.717
2024-07-03,0.752
2024-07-04,0.736
2024-07-05,0.746
2024-07-08,0.732
2024-07-09,0.725
2024-07-10,0.715
2024-07-11,0.676
2024-07-12,0.667
2024-07-15,0.662
2024-07-16,0.626
2024-07-17,0.613
2024-07-18,0.62
2024-07-19,0.628
2024-07-22,0.65
2024-07-23,0.636
2024-07-24,0.613
2024-07-25,0.578
2024-07-26,0.576
2024-07-29,0.541
2024-07-30,0.601
2024-07-31,0.521
2024-08-02,0.471
2024-08-05,0.4
2024-08-06,0.431
2024-08-07,0.497
2024-08-08,0.472
2024-08-09,0.47
2024-08-12,0.462
2024-08-13,0.449
2024-08-14,0.437
2024-08-15,0.45
2024-08-16,0.49
2024-08-19,0.458
2024-08-20,0.426
2024-08-21,0.436
2024-08-22,0.433
2024-08-23,0.474
2024-08-26,0.448
2024-08-27,0.483
2024-08-28,0.466
2024-08-29,0.444
2024-08-30,0.456
2024-09-02,0.49
2024-09-03,0.471
2024-09-04,0.43
2024-09-05,0.45
2024-09-06,0.435
2024-09-09,0.462
2024-09-10,0.457
2024-09-11,0.405
2024-09-12,0.424
2024-09-13,0.405
2024-09-16,0.414
2024-09-17,0.395
2024-09-18,0.415
2024-09-19,0.466
2024-09-20,0.461
2024-09-23,0.472
2024-09-24,0.44
2024-09-25,0.407
2024-09-26,0.389
2024-09-27,0.332
2024-09-30,0.328
2024-10-01,0.315
2024-10-02,0.317
2024-10-03,0.331
2024-10-04,0.334
2024-10-07,0.362
2024-10-08,0.403
2024-10-09,0.397
2024-10-10,0.431
2024-10-11,0.424
2024-10-14,0.369
2024-10-15,0.358
2024-10-16,0.318
2024-10-17,0.316
2024-10-18,0.281
2024-10-21,0.275
2024-10-22,0.309
2024-10-23,0.313
2024-10-24,0.293
2024-10-25,0.31
2024-10-28,0.273
2024-10-29,0.275
2024-10-30,0.253
2024-10-31,0.291
2024-11-01,0.255
2024-11-04,0.245
2024-11-05,0.257
2024-11-06,0.252
2024-11-07,0.234
2024-11-08,0.228
2024-11-11,0.214
2024-11-12,0.225
2024-11-13,0.229
2024-11-14,0.21
2024-11-15,0.184
2024-11-18,0.202
2024-11-19,0.191
2024-11-20,0.227
2024-11-21,0.212
2024-11-22,0.163
2024-11-25,0.14
2024-11-26,0.126
2024-11-27,0.159
2024-11-28,0.137
2024-11-29,0.124
2024-12-02,0.034
2024-12-03,0.06
2024-12-04,0.052
2024-12-05,0.061
2024-12-06,0.08
2024-12-09,0.089
2024-12-10,0.086
2024-12-11,0.099
2024-12-12,0.134
2024-12-13,0.107
2024-12-16,0.023
2024-12-17,0.032
2024-12-18,0.064
2024-12-19,0.085
2024-12-20,0.048
2024-12-23,0.03
2024-12-27,0.001
2024-12-30,0.026
2025-01-03,-0.005
2025-01-06,0.06
2025-01-07,0.089
2025-01-08,0.107
2025-01-09,0.114
2025-01-10,0.115
2025-01-13,0.175
2025-01-14,0.179
2025-01-15,0.174
2025-01-16,0.139
2025-01-17,0.119
2025-01-20,0.102
2025-01-21,0.105
2025-01-22,0.116
2025-01-23,0.133
2025-01-24,0.219
2025-01-27,0.193
2025-01-28,0.211
2025-01-29,0.21
2025-01-30,0.189
2025-01-31,0.141
2025-02-03,0.091
2025-02-04,0.119
2025-02-05,0.099
2025-02-06,0.153
2025-02-07,0.125
2025-02-10,0.111
2025-02-11,0.123
2025-02-12,0.135
2025-02-13,0.187
2025-02-14,0.164
2025-02-17,0.229
2025-02-18,0.234
2025-02-19,0.256
2025-02-20,0.276
2025-02-21,0.299
2025-02-24,0.252
2025-02-25,0.243
2025-02-26,0.239
2025-02-27,0.2
2025-02-28,0.174
2025-03-03,0.196
2025-03-04,0.187
2025-03-05,0.235
2025-03-06,0.345
2025-03-07,0.363
2025-03-10,0.361
2025-03-11,0.389
2025-03-12,0.409
2025-03-13,0.415
2025-03-14,0.4
2025-03-17,0.361
2025-03-18,0.368
2025-03-19,0.375
2025-03-20,0.306
2025-03-21,0.314
2025-03-24,0.294
2025-03-25,0.303
2025-03-26,0.288
2025-03-27,0.247
2025-03-28,0.196
2025-03-31,0.157
2025-04-01,0.139
2025-04-02,0.143
2025-04-03,0.128
2025-04-04,0.075
2025-04-07,0.007
2025-04-08,0.047
2025-04-09,0.029
2025-04-10,0.091
2025-04-11,0.023
2025-04-14,0.033
2025-04-15,0.011
2025-04-16,-0.003
2025-04-17,0.054
2025-04-22,-0.02
2025-04-23,0.02
2025-04-24,0.04
2025-04-25,0.02
2025-04-28,-0.007
2025-04-29,-0.02
2025-04-30,-0.035
2025-05-02,-0.065
2025-05-05,-0.093
2025-05-06,-0.109
2025-05-07,-0.166
2025-05-08,-0.17
2025-05-09,-0.07
2025-05-12,-0.043
2025-05-13,-0.026
2025-05-14,-0.055
2025-05-15,-0.068
2025-05-16,-0.107
2025-05-19,-0.121
2025-05-20,-0.142
2025-05-21,-0.106
2025-05-22,-0.121
2025-05-23,-0.155
2025-05-26,-0.187
2025-05-27,-0.19
2025-05-28,-0.166
2025-05-30,-0.178
2025-06-02,-0.196
2025-06-03,-0.223
2025-06-04,-0.218
2025-06-05,-0.184
2025-06-06,-0.108
2025-06-10,-0.136
2025-06-11,-0.122
2025-06-12,-0.149
2025-06-13,-0.146
2025-06-16,-0.095
2025-06-17,-0.104
2025-06-18,-0.115
2025-06-19,-0.093
2025-06-20,-0.013
2025-06-23,0.026
2025-06-24,-0.026
2025-06-25,-0.035
2025-06-26,-0.045
2025-06-27,-0.026
2025-06-30,-0.016
2025-07-01,-0.032
2025-07-02,-0.027
2025-07-03,-0.027
2025-07-04,-0.028
2025-07-07,-0.008
2025-07-08,0.007
2025-07-09,0.005
2025-07-10,0.001
2025-07-11,0.0
2025-07-14,0.014
2025-07-15,0.008
2025-07-16,0.002
2025-07-17,-0.002
2025-07-18,0.009
2025-07-21,-0.011
2025-07-22,-0.041
2025-07-23,-0.053
2025-07-24,-0.037
2025-07-25,-0.026
2025-07-28,-0.078
2025-07-29,-0.071
2025-07-30,-0.076
2025-07-31,-0.043
2025-08-04,-0.104
2025-08-05,-0.13
2025-08-06,-0.127
2025-08-07,-0.14
2025-08-08,-0.156
2025-08-11,-0.159
2025-08-12,-0.162
2025-08-13,-0.189
2025-08-14,-0.185
2025-08-15,-0.124
2025-08-18,-0.141
2025-08-19,-0.113
2025-08-20,-0.126
2025-08-21,-0.094
2025-08-22,-0.061
2025-08-25,-0.095
2025-08-26,-0.085
2025-08-27,-0.113
2025-08-28,-0.083
2025-08-29,-0.075
2025-09-01,-0.064
2025-09-02,-0.079
