date,bamire:TB|EP
2019-01-31,2839.039331633639
2019-02-28,2858.5945498140572
2019-03-31,2831.613857424592
2019-04-30,2802.5486909349047
2019-05-31,2720.3673602088943
2019-06-30,2740.111462191328
2019-07-31,2744.7167244681614
2019-08-31,2775.012938818991
2019-09-30,2780.4615798779414
2019-10-31,2835.161142089241
2019-11-30,2804.0312842665967
2019-12-31,2778.627253555674
2020-01-31,2774.210900415092
2020-02-29,2782.585621939741
2020-03-31,2985.208755677676
2020-04-30,3174.0629838289333
2020-05-31,3194.8883305396603
2020-06-30,3228.4161367979123
2020-07-31,3282.525975292673
2020-08-31,3284.936357505285
2020-09-30,3192.0014647350163
2020-10-31,3135.226421014281
2020-11-30,3059.6324763391726
2020-12-31,3015.359841826412
2021-01-31,3034.8219896580167
2021-02-28,2991.8935021958964
2021-03-31,2971.51353242244
2021-04-30,2975.6309725346528
2021-05-31,2941.4426420431814
2021-06-30,2914.714404468508
2021-07-31,2913.8465948771136
2021-08-31,2904.262330592956
2021-09-30,2891.0834302628396
2021-10-31,2907.0113157437486
2021-11-30,2898.1651066924746
2021-12-31,2922.631758991749
2022-01-31,2943.3836978030804
2022-02-28,2907.150600627011
2022-03-31,2901.536288181676
2022-04-30,2891.9083358964917
2022-05-31,2877.122388245603
2022-06-30,2795.0705878435247
2022-07-31,2817.316762822455
2022-08-31,2824.4469662364777
2022-09-30,2492.053084103198
2022-10-31,2332.3559662615294
2022-11-30,2246.767344330436
2022-12-31,2168.9118147956315
2023-01-31,2225.5540411005586
2023-02-28,2209.5025772974673
2023-03-31,2328.9330255074406
2023-04-30,2270.394285040858
2023-05-31,2257.3450698519564
2023-06-30,2171.885055703775
2023-07-31,2171.1290068386584
2023-08-31,2143.7756930657188
2023-09-30,2222.465026251641
2023-10-31,2217.9862332592224
2023-11-30,2190.4166926656503
2023-12-31,2187.2778094915075
2024-01-31,2235.341903691791
2024-02-29,2230.17344525457
2024-03-31,2215.797109878626
2024-04-30,2212.6058975815477
2024-05-31,2147.621550272623
2024-06-30,2138.680987055553
2024-07-31,1023.5543151786054
2024-08-31,1028.5860251644176
2024-09-30,1039.5554187028195
2024-10-31,1016.0488682527891
2024-11-30,1007.0641073797885
2024-12-31,969.4691355593967
2025-01-31,956.8918252402875
2025-02-28,966.1776991475338
2025-03-31,971.71851389615
2025-04-30,968.8385631031064
2025-05-31,939.5145253722025
2025-06-30,940.7481007142785
2025-07-31,954.849862206815
2025-08-31,956.2337243077474
2025-09-30,959.5561162815482
2025-10-31,935.4921203357457
2025-11-30,930.701907304754
2025-12-31,913.1148412881423
2026-01-31,908.9983344230037
2026-02-28,901.5471081164371
2026-03-31,899.3728278959989
2026-04-30,901.9690102031461
2026-05-31,898.0735861095145
2026-06-30,910.5659797522442
