date,snbmoba:GB
2019-01-31,481870.0
2019-02-28,491234.0
2019-03-31,488649.0
2019-04-30,483098.0
2019-05-31,482423.0
2019-06-30,467284.0
2019-07-31,477655.0
2019-08-31,474267.0
2019-09-30,477382.0
2019-10-31,485501.0
2019-11-30,503668.0
2019-12-31,499507.0
2020-01-31,506140.0
2020-02-29,502402.0
2020-03-31,515532.0
2020-04-30,564658.0
2020-05-31,592995.0
2020-06-30,599607.0
2020-07-31,618965.0
2020-08-31,633349.0
2020-09-30,634381.0
2020-10-31,633986.0
2020-11-30,642869.0
2020-12-31,633411.0
2021-01-31,634303.0
2021-02-28,641659.0
2021-03-31,630104.0
2021-04-30,631853.0
2021-05-31,633577.0
2021-06-30,631274.0
2021-07-31,636218.0
2021-08-31,638564.0
2021-09-30,636089.0
2021-10-31,641811.0
2021-11-30,645354.0
2021-12-31,647206.0
2022-01-31,655946.0
2022-02-28,661012.0
2022-03-31,659844.0
2022-04-30,666738.0
2022-05-31,664797.0
2022-06-30,656912.0
2022-07-31,636873.0
2022-08-31,643075.0
2022-09-30,616069.0
2022-10-31,544576.0
2022-11-30,525173.0
2022-12-31,504676.0
2023-01-31,506989.0
2023-02-28,508855.0
2023-03-31,514517.0
2023-04-30,511911.0
2023-05-31,505658.0
2023-06-30,493049.0
2023-07-31,480026.0
2023-08-31,467446.0
2023-09-30,463865.0
2023-10-31,469030.0
2023-11-30,466042.0
2023-12-31,456034.0
2024-01-31,465849.0
2024-02-29,470514.0
2024-03-31,458794.0
2024-04-30,466189.0
2024-05-31,456236.0
2024-06-30,444961.0
2024-07-31,449168.0
2024-08-31,453445.0
2024-09-30,457081.0
2024-10-31,453787.0
2024-11-30,452943.0
2024-12-31,443772.0
2025-01-31,435206.0
2025-02-28,428293.0
2025-03-31,439370.0
2025-04-30,440040.0
2025-05-31,437402.0
2025-06-30,427077.0
2025-07-31,439573.0
2025-08-31,440818.0
2025-09-30,443191.0
2025-10-31,448977.0
2025-11-30,437435.0
2025-12-31,439482.0
2026-01-31,436106.0
2026-02-28,437189.0
2026-03-31,431335.0
2026-04-30,433424.0
2026-05-31,436082.0
2026-06-30,436684.0
2026-07-31,440891.0
