date,bamire:TB|GA
2019-01-31,17236.00905766191
2019-02-28,17207.8556259788
2019-03-31,17255.382377437152
2019-04-30,17338.22463237133
2019-05-31,17459.62263655834
2019-06-30,17419.947650103175
2019-07-31,17387.906073109243
2019-08-31,17412.35381526926
2019-09-30,17538.844392219697
2019-10-31,17798.845350947664
2019-11-30,18102.04933846562
2019-12-31,18383.23432782843
2020-01-31,18391.375811864567
2020-02-29,18393.179743656165
2020-03-31,18480.487351389
2020-04-30,18645.95316295633
2020-05-31,18904.494265830253
2020-06-30,19106.759223042623
2020-07-31,19331.862100187387
2020-08-31,19510.535306814312
2020-09-30,20035.671088407216
2020-10-31,20592.379018569685
2020-11-30,21042.54421204219
2020-12-31,21167.356089664907
2021-01-31,21292.54120828422
2021-02-28,21391.873702052104
2021-03-31,21383.453859487385
2021-04-30,21489.99234567911
2021-05-31,21712.618764550527
2021-06-30,21978.60067849238
2021-07-31,22083.442123211375
2021-08-31,22140.42426230987
2021-09-30,22290.573892953955
2021-10-31,22379.83555337436
2021-11-30,22506.89603083137
2021-12-31,22515.22695510494
2022-01-31,22642.38233277737
2022-02-28,22869.290526984387
2022-03-31,23098.14281885702
2022-04-30,23231.25386165146
2022-05-31,23201.67591586144
2022-06-30,23190.4157738809
2022-07-31,22957.09346297054
2022-08-31,22879.65381931438
2022-09-30,22807.04470148042
2022-10-31,23027.960216273925
2022-11-30,23123.036745089667
2022-12-31,23312.922176021755
2023-01-31,23169.68219846026
2023-02-28,22954.472657070073
2023-03-31,22606.09814327915
2023-04-30,22529.12368466576
2023-05-31,22469.739486093706
2023-06-30,22361.912173564702
2023-07-31,22080.776115438555
2023-08-31,21708.47773497156
2023-09-30,21358.9951086787
2023-10-31,21213.214795057243
2023-11-30,21212.52021532359
2023-12-31,21258.574785433
2024-01-31,21183.73479409812
2024-02-29,21108.83667038682
2024-03-31,21001.615796586037
2024-04-30,21075.58194538839
2024-05-31,21077.990570144786
2024-06-30,21119.16513602179
2024-07-31,44608.81127570683
2024-08-31,44451.66975287772
2024-09-30,44572.65982490274
2024-10-31,44876.90497310215
2024-11-30,45083.64704507077
2024-12-31,45264.79384824096
2025-01-31,45353.70016458185
2025-02-28,45521.02923962838
2025-03-31,45599.20706199009
2025-04-30,45922.74258070331
2025-05-31,46259.99109635181
2025-06-30,46459.33099604467
2025-07-31,46563.39517988472
2025-08-31,46785.37503311059
2025-09-30,47214.62783878666
2025-10-31,47620.54657474253
2025-11-30,47874.97346757797
2025-12-31,48145.18128994193
2026-01-31,48410.45318811813
2026-02-28,48616.99058960598
2026-03-31,48632.87361527406
2026-04-30,48669.9151337813
2026-05-31,48837.30786336829
2026-06-30,49028.662454590194
