date,bakredinausbm:AV1|I|T2|F
2019-01-31,169647.0
2019-02-28,169251.0
2019-03-31,169263.0
2019-04-30,172703.0
2019-05-31,172480.0
2019-06-30,173702.0
2019-07-31,173399.0
2019-08-31,173350.0
2019-09-30,175516.0
2019-10-31,175650.0
2019-11-30,178310.0
2019-12-31,173368.0
2020-01-31,174981.0
2020-02-29,177554.0
2020-03-31,187484.0
2020-04-30,190265.0
2020-05-31,193012.0
2020-06-30,190117.0
2020-07-31,186422.0
2020-08-31,188146.0
2020-09-30,187663.0
2020-10-31,187858.0
2020-11-30,190351.0
2020-12-31,188745.0
2021-01-31,193151.0
2021-02-28,198877.0
2021-03-31,200943.0
2021-04-30,195485.0
2021-05-31,196739.0
2021-06-30,199340.0
2021-07-31,196479.0
2021-08-31,198024.0
2021-09-30,197653.0
2021-10-31,195515.0
2021-11-30,194953.0
2021-12-31,193465.0
2022-01-31,198035.0
2022-02-28,200245.0
2022-03-31,200226.0
2022-04-30,203689.0
2022-05-31,202657.0
2022-06-30,202439.0
2022-07-31,200475.0
2022-08-31,201723.0
2022-09-30,201214.0
2022-10-31,203284.0
2022-11-30,202621.0
2022-12-31,189877.0
2023-01-31,191440.0
2023-02-28,191758.0
2023-03-31,191648.0
2023-04-30,195375.0
2023-05-31,195896.0
2023-06-30,195715.0
2023-07-31,188285.0
2023-08-31,192209.0
2023-09-30,192137.0
2023-10-31,190259.0
2023-11-30,193368.0
2023-12-31,186610.0
2024-01-31,187321.0
2024-02-29,189231.0
2024-03-31,193717.0
2024-04-30,193442.0
2024-05-31,193289.0
2024-06-30,190966.0
2024-07-31,187438.0
2024-08-31,186892.0
2024-09-30,188260.0
2024-10-31,189717.0
2024-11-30,189852.0
2024-12-31,186636.0
2025-01-31,189672.0
2025-02-28,190187.0
2025-03-31,191783.0
2025-04-30,188640.0
2025-05-31,189763.0
2025-06-30,190336.0
2025-07-31,189719.0
2025-08-31,190281.0
2025-09-30,189906.0
2025-10-31,190628.0
2025-11-30,190043.0
2025-12-31,185761.0
2026-01-31,187673.0
2026-02-28,190858.0
2026-03-31,195744.0
2026-04-30,212073.0
2026-05-31,218549.0
2026-06-30,215363.0
