date,snbmoba:N0
2019-01-31,562276.0
2019-02-28,570920.0
2019-03-31,568415.0
2019-04-30,562692.0
2019-05-31,561668.0
2019-06-30,546472.0
2019-07-31,556805.0
2019-08-31,553007.0
2019-09-30,556618.0
2019-10-31,565103.0
2019-11-30,583765.0
2019-12-31,582185.0
2020-01-31,589336.0
2020-02-29,584816.0
2020-03-31,598423.0
2020-04-30,648062.0
2020-05-31,676933.0
2020-06-30,684039.0
2020-07-31,703663.0
2020-08-31,717930.0
2020-09-30,719313.0
2020-10-31,719289.0
2020-11-30,728505.0
2020-12-31,721260.0
2021-01-31,722539.0
2021-02-28,729440.0
2021-03-31,718098.0
2021-04-30,720351.0
2021-05-31,722412.0
2021-06-30,719539.0
2021-07-31,724532.0
2021-08-31,726414.0
2021-09-30,723908.0
2021-10-31,729760.0
2021-11-30,733482.0
2021-12-31,736944.0
2022-01-31,745985.0
2022-02-28,750673.0
2022-03-31,749981.0
2022-04-30,757190.0
2022-05-31,755419.0
2022-06-30,747697.0
2022-07-31,726924.0
2022-08-31,730281.0
2022-09-30,700385.0
2022-10-31,626127.0
2022-11-30,605613.0
2022-12-31,585605.0
2023-01-31,587590.0
2023-02-28,588129.0
2023-03-31,592946.0
2023-04-30,589736.0
2023-05-31,582754.0
2023-06-30,569283.0
2023-07-31,555617.0
2023-08-31,542261.0
2023-09-30,538361.0
2023-10-31,543288.0
2023-11-30,540283.0
2023-12-31,531229.0
2024-01-31,541050.0
2024-02-29,544820.0
2024-03-31,532777.0
2024-04-30,539950.0
2024-05-31,529931.0
2024-06-30,518258.0
2024-07-31,522313.0
2024-08-31,526020.0
2024-09-30,529130.0
2024-10-31,525728.0
2024-11-30,524956.0
2024-12-31,516945.0
2025-01-31,508558.0
2025-02-28,500989.0
2025-03-31,511778.0
2025-04-30,512428.0
2025-05-31,509012.0
2025-06-30,498169.0
2025-07-31,510524.0
2025-08-31,511417.0
2025-09-30,513730.0
2025-10-31,519552.0
2025-11-30,508257.0
2025-12-31,511648.0
2026-01-31,508495.0
2026-02-28,508866.0
2026-03-31,502514.0
2026-04-30,504533.0
2026-05-31,506970.0
2026-06-30,507312.0
2026-07-31,511424.0
