date,zikrepro:05Q|10
2019-01-31,1.55
2019-02-28,1.5
2019-03-31,1.39
2019-04-30,1.4000000000000001
2019-05-31,1.3
2019-06-30,1.25
2019-07-31,1.2
2019-08-31,1.17
2019-09-30,1.2
2019-10-31,1.25
2019-11-30,1.25
2019-12-31,1.29
2020-01-31,1.2
2020-02-29,1.195
2020-03-31,1.35
2020-04-30,1.3
2020-05-31,1.27
2020-06-30,1.3
2020-07-31,1.24
2020-08-31,1.3
2020-09-30,1.2400000000000002
2020-10-31,1.2349999999999999
2020-11-30,1.25
2020-12-31,1.24
2021-01-31,1.25
2021-02-28,1.39
2021-03-31,1.37
2021-04-30,1.3599999999999999
2021-05-31,1.38
2021-06-30,1.35
2021-07-31,1.28
2021-08-31,1.26
2021-09-30,1.3599999999999999
2021-10-31,1.4500000000000002
2021-11-30,1.35
2021-12-31,1.375
2022-01-31,1.555
2022-02-28,1.7500000000000002
2022-03-31,2.1
2022-04-30,2.45
2022-05-31,2.51
2022-06-30,3.01
2022-07-31,2.55
2022-08-31,2.9000000000000004
2022-09-30,3.3000000000000003
2022-10-31,3.18
2022-11-30,2.82
2022-12-31,3.2
2023-01-31,2.9000000000000004
2023-02-28,3.1399999999999997
2023-03-31,3.15
2023-04-30,3.1799999999999997
2023-05-31,3.05
2023-06-30,3.0
2023-07-31,2.98
2023-08-31,2.93
2023-09-30,2.9499999999999997
2023-10-31,2.8000000000000003
2023-11-30,2.53
2023-12-31,2.35
2024-01-31,2.45
2024-02-29,2.4699999999999998
2024-03-31,2.39
2024-04-30,2.45
2024-05-31,2.55
2024-06-30,2.2800000000000002
2024-07-31,2.15
2024-08-31,2.025
2024-09-30,1.9049999999999998
2024-10-31,1.8599999999999999
2024-11-30,1.7050000000000003
2024-12-31,1.7000000000000002
2025-01-31,1.83
2025-02-28,1.8599999999999999
2025-03-31,2.03
2025-04-30,1.8499999999999999
2025-05-31,1.79
2025-06-30,1.9
2025-07-31,1.9
2025-08-31,1.87
2025-09-30,1.82
2025-10-31,1.7999999999999998
2025-11-30,1.8599999999999999
2025-12-31,2.03
2026-01-31,1.95
2026-02-28,1.82
2026-03-31,1.95
2026-04-30,1.97
2026-05-31,2.03
2026-06-30,1.8900000000000001
2026-07-31,2.0500000000000003
