date,nss:J01M0
2024-03-22,1.127
2024-03-25,1.115
2024-03-26,1.109
2024-03-27,1.08
2024-03-28,1.049
2024-04-02,1.088
2024-04-03,1.093
2024-04-04,1.079
2024-04-05,1.071
2024-04-08,1.012
2024-04-09,1.039
2024-04-10,1.017
2024-04-11,1.096
2024-04-12,1.06
2024-04-15,1.056
2024-04-16,1.076
2024-04-17,1.091
2024-04-18,0.979
2024-04-19,1.007
2024-04-22,1.047
2024-04-23,1.008
2024-04-24,1.064
2024-04-25,1.031
2024-04-26,1.06
2024-04-29,1.003
2024-04-30,1.053
2024-05-02,1.002
2024-05-03,1.041
2024-05-06,1.069
2024-05-07,1.039
2024-05-08,1.086
2024-05-10,1.063
2024-05-13,1.053
2024-05-14,1.061
2024-05-15,1.06
2024-05-16,1.016
2024-05-17,1.085
2024-05-21,1.019
2024-05-22,1.067
2024-05-23,1.154
2024-05-24,1.205
2024-05-27,1.208
2024-05-28,1.135
2024-05-29,1.121
2024-05-30,1.212
2024-05-31,1.258
2024-06-03,1.185
2024-06-04,1.158
2024-06-05,1.191
2024-06-06,1.124
2024-06-07,1.054
2024-06-10,1.09
2024-06-11,1.113
2024-06-12,1.095
2024-06-13,1.134
2024-06-14,1.07
2024-06-17,0.942
2024-06-18,1.061
2024-06-19,1.04
2024-06-20,1.059
2024-06-21,0.915
2024-06-24,0.896
2024-06-25,0.977
2024-06-26,0.933
2024-06-27,0.936
2024-06-28,0.944
2024-07-01,0.937
2024-07-02,0.921
2024-07-03,0.975
2024-07-04,0.947
2024-07-05,0.951
2024-07-08,0.955
2024-07-09,0.953
2024-07-10,0.927
2024-07-11,0.906
2024-07-12,0.885
2024-07-15,0.89
2024-07-16,0.856
2024-07-17,0.897
2024-07-18,0.873
2024-07-19,0.832
2024-07-22,0.881
2024-07-23,0.903
2024-07-24,0.867
2024-07-25,0.764
2024-07-26,0.818
2024-07-29,0.819
2024-07-30,0.852
2024-07-31,0.82
2024-08-02,0.781
2024-08-05,0.638
2024-08-06,0.663
2024-08-07,0.749
2024-08-08,0.719
2024-08-09,0.686
2024-08-12,0.674
2024-08-13,0.66
2024-08-14,0.674
2024-08-15,0.703
2024-08-16,0.73
2024-08-19,0.683
2024-08-20,0.704
2024-08-21,0.711
2024-08-22,0.69
2024-08-23,0.702
2024-08-26,0.673
2024-08-27,0.695
2024-08-28,0.671
2024-08-29,0.658
2024-08-30,0.658
2024-09-02,0.699
2024-09-03,0.682
2024-09-04,0.68
2024-09-05,0.679
2024-09-06,0.658
2024-09-09,0.677
2024-09-10,0.697
2024-09-11,0.643
2024-09-12,0.657
2024-09-13,0.613
2024-09-16,0.653
2024-09-17,0.608
2024-09-18,0.624
2024-09-19,0.652
2024-09-20,0.658
2024-09-23,0.632
2024-09-24,0.602
2024-09-25,0.604
2024-09-26,0.588
2024-09-27,0.536
2024-09-30,0.525
2024-10-01,0.578
2024-10-02,0.498
2024-10-03,0.55
2024-10-04,0.557
2024-10-07,0.515
2024-10-08,0.544
2024-10-09,0.52
2024-10-10,0.574
2024-10-11,0.605
2024-10-14,0.535
2024-10-15,0.544
2024-10-16,0.501
2024-10-17,0.546
2024-10-18,0.448
2024-10-21,0.45
2024-10-22,0.507
2024-10-23,0.493
2024-10-24,0.385
2024-10-25,0.48
2024-10-28,0.36
2024-10-29,0.405
2024-10-30,0.405
2024-10-31,0.433
2024-11-01,0.417
2024-11-04,0.353
2024-11-05,0.368
2024-11-06,0.343
2024-11-07,0.353
2024-11-08,0.358
2024-11-11,0.291
2024-11-12,0.337
2024-11-13,0.385
2024-11-14,0.366
2024-11-15,0.356
2024-11-18,0.348
2024-11-19,0.296
2024-11-20,0.325
2024-11-21,0.371
2024-11-22,0.327
2024-11-25,0.338
2024-11-26,0.326
2024-11-27,0.3
2024-11-28,0.309
2024-11-29,0.339
