date,snbbipo:N
2019-01-31,80063.13273
2019-02-28,79738.84218
2019-03-31,79988.164175
2019-04-30,79705.721295
2019-05-31,79527.988505
2019-06-30,79306.277085
2019-07-31,79222.238465
2019-08-31,78956.4265
2019-09-30,79696.93819
2019-10-31,79982.933895
2019-11-30,81026.383505
2019-12-31,84450.10756
2020-01-31,82805.212995
2020-02-29,82493.640325
2020-03-31,83224.393
2020-04-30,83781.783695
2020-05-31,84371.78889
2020-06-30,84901.429115
2020-07-31,84748.936435
2020-08-31,84847.823855
2020-09-30,85263.29898
2020-10-31,85615.809325
2020-11-30,86382.055855
2020-12-31,89013.625415
2021-01-31,87886.884025
2021-02-28,87805.720495
2021-03-31,88643.790155
2021-04-30,89020.142595
2021-05-31,88645.194075
2021-06-30,88395.650555
2021-07-31,88274.244255
2021-08-31,87951.714445
2021-09-30,88032.494855
2021-10-31,88059.736775
2021-11-30,88701.605415
2021-12-31,90685.258895
2022-01-31,89912.104775
2022-02-28,89728.990905
2022-03-31,90436.326065
2022-04-30,90570.522075
2022-05-31,90898.727015
2022-06-30,90585.907835
2022-07-31,89165.247725
2022-08-31,85891.145915
2022-09-30,82550.172435
2022-10-31,81046.066595
2022-11-30,80190.882945
2022-12-31,81696.800125
2023-01-31,80009.820065
2023-02-28,78850.04756
2023-03-31,78157.5608
2023-04-30,77558.25398
2023-05-31,76642.13916
2023-06-30,75931.93254
2023-07-31,75350.47472
2023-08-31,74722.99952
2023-09-30,74438.0335
2023-10-31,74276.40675
2023-11-30,74569.98954
2023-12-31,76321.37105
2024-01-31,74691.04525
2024-02-29,74146.73156
2024-03-31,74163.94991
2024-04-30,73824.0281
2024-05-31,73492.43611
2024-06-30,73215.48757
2024-07-31,73128.88831
2024-08-31,72198.77932
2024-09-30,72022.48611
2024-10-31,72024.97983
2024-11-30,72312.70358
2024-12-31,74171.8483
2025-01-31,72995.87817
2025-02-28,72592.38282
2025-03-31,72445.85992
2025-04-30,72340.85521
2025-05-31,71264.699265
2025-06-30,71035.683645
2025-07-31,70882.514785
2025-08-31,70579.050295
2025-09-30,70597.475105
2025-10-31,70687.493485
2025-11-30,71097.825405
2025-12-31,73078.115765
2026-01-31,71989.548345
2026-02-28,71389.821115
2026-03-31,71261.663365
2026-04-30,71101.756955
2026-05-31,70797.349855
2026-06-30,70601.702605
2026-07-31,70357.971645
