date,snbgwdchfsgw:UEB
2021-03-19,74192.0
2021-03-26,72654.0
2021-04-02,75828.0
2021-04-09,73829.0
2021-04-16,68166.0
2021-04-23,68462.0
2021-04-30,67420.0
2021-05-07,70865.0
2021-05-14,76704.0
2021-05-21,74516.0
2021-05-28,75907.0
2021-06-04,78618.0
2021-06-11,80177.0
2021-06-18,80727.0
2021-06-25,81532.0
2021-07-02,79260.0
2021-07-09,74174.0
2021-07-16,75407.0
2021-07-23,76532.0
2021-07-30,75532.0
2021-08-06,77298.0
2021-08-13,75292.0
2021-08-20,75116.0
2021-08-27,75050.0
2021-09-03,78464.0
2021-09-10,78889.0
2021-09-17,78658.0
2021-09-24,78514.0
2021-10-01,77155.0
2021-10-08,75667.0
2021-10-15,74154.0
2021-10-22,72926.0
2021-10-29,71808.0
2021-11-05,74630.0
2021-11-12,75145.0
2021-11-19,72636.0
2021-11-26,72502.0
2021-12-03,74684.0
2021-12-10,75946.0
2021-12-17,76965.0
2021-12-24,72269.0
2021-12-31,73895.0
2022-01-07,74030.0
2022-01-14,69390.0
2022-01-21,67377.0
2022-01-28,65612.0
2022-02-04,65458.0
2022-02-11,63440.0
2022-02-18,62378.0
2022-02-25,64242.0
2022-03-04,68086.0
2022-03-11,68532.0
2022-03-18,68934.0
2022-03-25,72932.0
2022-04-01,73094.0
2022-04-08,72817.0
2022-04-15,74012.0
2022-04-22,75044.0
2022-04-29,77284.0
2022-05-06,85609.0
2022-05-13,86794.0
2022-05-20,89256.0
2022-05-27,90980.0
2022-06-03,91423.0
2022-06-10,91066.0
2022-06-17,90076.0
2022-06-24,94914.0
2022-07-01,102811.0
2022-07-08,109809.0
2022-07-15,105635.0
2022-07-22,109630.0
2022-07-29,111765.0
2022-08-05,107501.0
2022-08-12,107208.0
2022-08-19,109022.0
2022-08-26,109114.0
2022-09-02,111973.0
2022-09-09,114810.0
2022-09-16,115598.0
2022-09-23,120489.0
2022-09-30,105900.0
2022-10-07,86819.0
2022-10-14,64322.0
2022-10-21,55922.0
2022-10-28,42049.0
2022-11-04,40066.0
2022-11-11,41370.0
2022-11-18,37754.0
2022-11-25,32382.0
2022-12-02,31803.0
2022-12-09,31539.0
2022-12-16,32728.0
2022-12-23,36326.0
2022-12-30,47305.0
2023-01-06,46234.0
2023-01-13,24619.0
2023-01-20,20035.0
2023-01-27,16374.0
2023-02-03,18329.0
2023-02-10,14418.0
2023-02-17,14343.0
2023-02-24,14655.0
2023-03-03,17345.0
2023-03-10,14277.0
2023-03-17,15180.0
2023-03-24,26524.0
2023-03-31,34778.0
2023-04-07,32785.0
2023-04-14,28394.0
2023-04-21,18002.0
2023-04-28,17420.0
2023-05-05,19820.0
2023-05-12,13014.0
2023-05-19,11138.0
2023-05-26,11507.0
2023-06-02,14523.0
2023-06-09,11512.0
2023-06-16,10712.0
2023-06-23,11377.0
2023-06-30,11622.0
2023-07-07,10672.0
2023-07-14,10528.0
2023-07-21,10797.0
2023-07-28,10761.0
2023-08-04,15520.0
2023-08-11,10148.0
2023-08-18,9867.0
2023-08-25,9653.0
2023-09-01,9577.0
2023-09-08,9348.0
2023-09-15,9364.0
2023-09-22,9766.0
2023-09-29,10156.0
2023-10-06,10864.0
2023-10-13,8913.0
2023-10-20,9128.0
2023-10-27,9062.0
2023-11-03,9623.0
2023-11-10,8787.0
2023-11-17,9202.0
2023-11-24,8346.0
2023-12-01,9997.0
2023-12-08,8440.0
2023-12-15,8805.0
2023-12-22,8579.0
2023-12-29,9705.0
2024-01-05,11730.0
2024-01-12,8486.0
2024-01-19,9016.0
2024-01-26,8991.0
2024-02-02,10718.0
2024-02-09,8472.0
2024-02-16,8523.0
2024-02-23,9070.0
2024-03-01,10512.0
2024-03-08,8990.0
2024-03-15,8194.0
2024-03-22,8454.0
2024-03-29,8751.0
2024-04-05,8746.0
2024-04-12,8504.0
2024-04-19,8397.0
2024-04-26,8395.0
2024-05-03,11734.0
2024-05-10,8589.0
2024-05-17,8364.0
2024-05-24,8714.0
2024-05-31,9576.0
2024-06-07,9690.0
2024-06-14,8228.0
2024-06-21,8449.0
2024-06-28,9036.0
2024-07-05,8948.0
2024-07-12,8665.0
2024-07-19,8335.0
2024-07-26,8716.0
2024-08-02,8363.0
2024-08-09,7633.0
2024-08-16,7742.0
2024-08-23,7910.0
2024-08-30,8161.0
2024-09-06,8645.0
2024-09-13,8607.0
2024-09-20,8152.0
2024-09-27,8609.0
2024-10-04,11036.0
2024-10-11,7672.0
2024-10-18,8211.0
2024-10-25,8011.0
2024-11-01,8766.0
2024-11-08,8081.0
2024-11-15,8346.0
2024-11-22,8427.0
2024-11-29,8024.0
2024-12-06,8307.0
2024-12-13,8246.0
2024-12-20,8481.0
