DATE,RPMB53Q,RPMB54Q,RPMB57Q,RPMB58Q,LPMBZ2A,LPMBZ2C,LPMVTVJ,LPMVTVX,LPMB3PS,LPMBC57,LPMVWNQ,LPMVVHR,LPMAUYN
31 Jan 1998,,,,,513153,3309,1925,84317,1384,182421,659,455284,728573
28 Feb 1998,,,,,516286,3208,1926,91841,1282,186855,5127,457575,734232
31 Mar 1998,,,,,520682,2870,1795,88077,1075,184407,-2115,459008,739474
30 Apr 1998,,,,,523371,2809,1947,84154,862,183950,-278,460897,741901
31 May 1998,,,,,526705,3448,1959,87943,1488,185052,1543,462438,744764
30 Jun 1998,,,,,529772,3228,2057,89014,1172,188917,712,465062,752343
31 Jul 1998,,,,,532994,3402,2245,88562,1157,189558,845,467833,765249
31 Aug 1998,,,,,536194,3353,2074,87121,1279,190082,216,470246,760261
30 Sep 1998,,,,,539143,3377,1982,83586,1395,190509,228,471946,771932
31 Oct 1998,,,,,543497,3240,2020,84771,1219,189448,1450,473311,772206
30 Nov 1998,,,,,546597,3195,1967,82784,1228,192464,2991,475196,780069
31 Dec 1998,,,,,549467,3083,2138,82783,946,192022,428,479435,781144
31 Jan 1999,,,,,552574,3490,2273,80878,1217,193046,1048,483305,785845
28 Feb 1999,,,,,555995,3602,2279,89715,1323,194433,1431,484492,790331
31 Mar 1999,,,,,562114,4411,3107,92549,1304,194206,-230,485080,789381
30 Apr 1999,,,,,565956,4190,3004,98164,1186,195908,797,488808,797868
31 May 1999,,,,,569836,3932,2863,97048,1069,195176,-658,491680,799706
30 Jun 1999,,,,,573636,4170,2920,96196,1251,195287,77,494253,796146
31 Jul 1999,,,,,578066,4666,3290,98310,1375,195809,248,496317,796087
31 Aug 1999,,,,,582114,4309,3093,97821,1216,195250,-331,497612,796660
30 Sep 1999,,,,,586734,4463,3326,98464,1138,195866,627,499261,795982
31 Oct 1999,,,,,591473,4894,3741,101115,1153,197136,825,501387,799826
30 Nov 1999,,,,,595632,4393,3010,93638,1383,199893,2521,503949,806080
31 Dec 1999,,,,,599708,4395,3200,91537,1196,203614,4078,508490,813235
31 Jan 2000,,,,,604978,4590,3261,82381,1329,203431,-170,508593,812295
29 Feb 2000,,,,,609175,4296,2908,95873,1388,208670,5307,509691,816728
31 Mar 2000,,,,,614198,5119,3643,96752,1476,212016,3738,511566,831226
30 Apr 2000,,,,,618302,4193,3266,97510,927,214723,4394,514700,839266
31 May 2000,,,,,622776,4817,3222,94193,1596,220592,5911,516500,844439
30 Jun 2000,,,,,627269,4779,3723,92605,1057,218943,-1945,518140,850176
31 Jul 2000,,,,,631017,3976,2745,89695,1232,221669,2792,520855,853647
31 Aug 2000,,,,,634740,3910,3193,88385,717,224932,3328,525169,865859
30 Sep 2000,,,,,638631,4034,2930,93999,1103,227760,2316,529345,867471
31 Oct 2000,,,,,643046,4362,2999,92219,1363,227571,-221,530450,875491
30 Nov 2000,,,,,647328,4540,3328,95020,1212,226556,-950,534772,874538
31 Dec 2000,,,,,651648,4550,3629,103394,921,227662,1022,539311,881627
31 Jan 2001,,,,,656134,4771,3677,98594,1094,230791,2838,543397,892266
28 Feb 2001,,,,,661223,5068,3697,97830,1371,234489,3796,546497,892957
31 Mar 2001,,,,,665000,4811,3835,102161,976,235917,1766,550820,900351
30 Apr 2001,,,,,670428,5546,4041,103034,1506,236821,975,553781,904686
31 May 2001,,,,,676148,5967,4201,107512,1766,235245,-1512,557787,906066
30 Jun 2001,,,,,681686,5599,4281,109634,1318,240890,5538,561685,915186
31 Jul 2001,,,,,687351,5953,4536,113411,1417,241753,811,565331,920993
31 Aug 2001,,,,,693258,6237,4933,111298,1304,242918,1203,569215,928424
30 Sep 2001,,,,,698562,5796,4352,103771,1444,242591,-27,573635,938060
31 Oct 2001,,,,,704569,6228,4552,99403,1676,245041,2606,577349,942725
30 Nov 2001,,,,,710713,6425,4726,100867,1699,246628,1860,581444,944322
31 Dec 2001,,,,,717093,6661,4784,108934,1877,246368,-211,584659,940107
31 Jan 2002,,,,,723570,6794,4975,120417,1819,244997,-926,587304,942262
28 Feb 2002,,,,,730605,7335,5311,124804,2025,245062,592,591504,949291
31 Mar 2002,,,,,737363,7227,5684,123883,1543,246140,1128,595252,949468
30 Apr 2002,,,,,744459,7548,5804,120236,1744,245681,-380,597951,954214
31 May 2002,,,,,752162,7826,6432,119253,1394,247280,1678,603967,955097
30 Jun 2002,,,,,759090,8106,6409,117551,1697,246331,-914,608236,969590
31 Jul 2002,,,,,770816,8075,6200,115432,1876,246777,549,612644,973133
31 Aug 2002,,,,,780039,8744,6779,111307,1966,250715,3835,615741,981652
30 Sep 2002,,,,,788681,8794,6881,116442,1913,250326,-766,618994,991399
