date,RUUW,MF6U,ANBV,J5II,JW2P
1984-04-30,1859,,,,
1984-05-31,1718,,,,
1984-06-30,1518,,,,
1984-07-31,576,,,,
1984-08-31,966,,,,
1984-09-30,973,,,,
1984-10-31,476,,,,
1984-11-30,2496,,,,
1984-12-31,-409,,,,
1985-01-31,-2061,,,,
1985-02-28,-132,,,,
1985-03-31,2294,,,,
1985-04-30,898,,,,
1985-05-31,1363,,,,
1985-06-30,651,,,,
1985-07-31,542,,,,
1985-08-31,2473,,,,
1985-09-30,1455,,,,
1985-10-31,913,,,,
1985-11-30,2036,,,,
1985-12-31,1552,,,,
1986-01-31,-4039,,,,
1986-02-28,-169,,,,
1986-03-31,3439,,,,
1986-04-30,2351,,,,
1986-05-31,2505,,,,
1986-06-30,1483,,,,
1986-07-31,255,,,,
1986-08-31,1118,,,,
1986-09-30,2613,,,,
1986-10-31,-145,,,,
1986-11-30,606,,,,
1986-12-31,-1369,,,,
1987-01-31,-3447,,,,
1987-02-28,155,,,,
1987-03-31,4308,,,,
1987-04-30,2454,,,,
1987-05-31,1569,,,,
1987-06-30,-22,,,,
1987-07-31,-283,,,,
1987-08-31,847,,,,
1987-09-30,-121,,,,
1987-10-31,-604,,,,
1987-11-30,-361,,,,
1987-12-31,-222,,,,
1988-01-31,-5947,,,,
1988-02-29,242,,,,
1988-03-31,3647,,,,
1988-04-30,-679,,,,
1988-05-31,-79,,,,
1988-06-30,679,,,,
1988-07-31,-1275,,,,
1988-08-31,-327,,,,
1988-09-30,1226,,,,
1988-10-31,-1048,,,,
1988-11-30,1278,,,,
1988-12-31,-2240,,,,
1989-01-31,-7079,,,,
1989-02-28,435,,,,
1989-03-31,2150,,,,
1989-04-30,-216,,,,
1989-05-31,1046,,,,
1989-06-30,1105,,,,
1989-07-31,-1102,,,,
1989-08-31,1800,,,,
1989-09-30,-176,,,,
1989-10-31,-2094,,,,
1989-11-30,474,,,,
1989-12-31,-1302,,,,
1990-01-31,-5206,,,,
1990-02-28,-1257,,,,
1990-03-31,2353,,,,
1990-04-30,565,,,,
1990-05-31,1589,,,,
1990-06-30,2284,,,,
1990-07-31,-3297,,,,
1990-08-31,753,,,,
1990-09-30,2117,,,,
1990-10-31,-2524,,,,
1990-11-30,673,,,,
1990-12-31,-1616,,,,
1991-01-31,-5416,,,,
1991-02-28,-442,,,,
1991-03-31,2679,,,,
1991-04-30,684,,,,
1991-05-31,4112,,,,
1991-06-30,1827,,,,
1991-07-31,-1867,,,,
1991-08-31,2033,,,,
1991-09-30,3161,,,,
1991-10-31,-1791,,,,
1991-11-30,1541,,,,
1991-12-31,529,,,,
1992-01-31,-4079,,,,
1992-02-29,2033,,,,
1992-03-31,4837,,,,
1992-04-30,3073,,,,
1992-05-31,3256,,,,
1992-06-30,4432,,,,
1992-07-31,1039,,,,
1992-08-31,4000,,,,
1992-09-30,4636,,,,
1992-10-31,1684,,,,
1992-11-30,2322,,,,
1992-12-31,1937,,,,
1993-01-31,-3178,,,1301,
1993-02-28,6012,,,-5961,
1993-03-31,6988,,,-8188,
1993-04-30,3381,,,-5380,
1993-05-31,5481,,,-5407,
1993-06-30,4159,,,-4927,
1993-07-31,1428,,,-2975,
1993-08-31,4905,,,-5110,
1993-09-30,6162,,,-4244,
1993-10-31,3492,,,-2106,
1993-11-30,4605,,,-4106,
1993-12-31,2907,,,-4288,
1994-01-31,-749,,,1051,
1994-02-28,5219,,,-5521,
1994-03-31,8630,,,-8543,
1994-04-30,3305,,,-5970,
1994-05-31,5034,,,-5299,
1994-06-30,3368,,,-3351,
1994-07-31,1789,,,-2461,
1994-08-31,3777,,,-5618,
1994-09-30,4543,,,-2879,
1994-10-31,61,,,-1179,
1994-11-30,4262,,,-3178,
1994-12-31,300,,,-3534,
1995-01-31,-2862,,,2494,
1995-02-28,6500,,,-5146,
1995-03-31,8949,,,-7683,
1995-04-30,3270,,,-3974,
1995-05-31,4671,,,-4101,
1995-06-30,3507,,,-3979,
1995-07-31,1021,,,-1672,
1995-08-31,4831,,,-5814,
1995-09-30,4476,,,-2885,
1995-10-31,-1367,,,567,
1995-11-30,4703,,,-3264,
1995-12-31,1374,,,-3703,
1996-01-31,-4524,,,3709,
1996-02-29,4048,,,-3845,
1996-03-31,9328,,,-6349,
1996-04-30,796,,,-4833,
1996-05-31,4195,,,-4832,
1996-06-30,4010,,,-4247,
1996-07-31,-1539,,,-297,
1996-08-31,5983,,,-5312,
1996-09-30,3669,,,-2650,
1996-10-31,-3973,,,3445,
1996-11-30,3642,,,-2359,
1996-12-31,1753,,,-2270,
1997-01-31,-6410,,,5198,
1997-02-28,5330,,,-3006,
1997-03-31,7649,,,-6813,
1997-04-30,-1598,24807,21841,-2934,2244
1997-05-31,5655,24946,21984,-2977,2429
1997-06-30,4900,26761,21814,-4984,4260
1997-07-31,-3556,25919,25882,-562,2779
1997-08-31,2403,26056,23720,-2857,2912
1997-09-30,2833,26341,24189,-2663,3175
1997-10-31,-5034,25372,26924,1570,2016
1997-11-30,3582,26052,27717,1667,2711
1997-12-31,323,28079,27060,-1020,4741
1998-01-31,-9883,26717,35761,7490,3095
1998-02-28,-1486,28034,27846,-211,3134
1998-03-31,5404,28906,25349,-3143,2879
1998-04-30,-2479,26230,24715,-1907,3361
1998-05-31,2724,26407,22000,-3908,3145
1998-06-30,6268,26225,22731,-3427,2944
1998-07-31,-5237,26329,30142,2673,3170
1998-08-31,1711,26682,24945,-1976,3054
1998-09-30,2067,26555,25093,-1844,2642
1998-10-31,-8041,27432,34036,6440,3230
1998-11-30,1632,26769,24029,-3145,2996
1998-12-31,2467,28276,28361,-917,3387
1999-01-31,-10990,27063,35474,6836,3290
1999-02-28,-650,28583,30279,2214,2764
1999-03-31,5983,29393,27262,-1162,2499
1999-04-30,-2594,26892,27053,-335,3071
1999-05-31,1808,26688,23587,-3414,3000
1999-06-30,5620,27004,24141,-2479,2633
1999-07-31,-4958,27504,31769,3653,2888
1999-08-31,1147,27982,26478,-1516,2787
1999-09-30,1634,27954,27899,-307,2183
1999-10-31,-9028,28647,35937,7535,2829
1999-11-30,2440,29001,25809,-2451,2828
1999-12-31,9197,28166,28295,-920,2971
2000-01-31,-17324,28723,39464,9670,2987
2000-02-29,-2013,28938,30461,1566,2596
2000-03-31,4934,29430,29401,401,2358
2000-04-30,-6350,32649,29737,-2810,2975
2000-05-31,-11826,20342,29411,9269,3033
2000-06-30,6914,32353,29918,-2663,2798
2000-07-31,-7938,34167,32621,3837,3059
2000-08-31,274,35386,31270,-3300,3061
2000-09-30,-8551,25458,29478,4053,2288
2000-10-31,-8023,29957,29270,-1094,3060
2000-11-30,3895,29818,29046,-1219,3092
2000-12-31,8432,31100,29548,-1284,2938
2001-01-31,-16496,31308,38436,6869,3247
2001-02-28,-1928,30914,34887,3959,2873
2001-03-31,6028,30982,31444,677,2233
2001-04-30,-5114,31113,31181,281,2675
2001-05-31,3690,32215,30163,-1424,3093
2001-06-30,7681,30792,30496,590,2362
2001-07-31,-9991,32091,33646,1982,3020
2001-08-31,863,28901,31411,1044,2668
2001-09-30,3654,31974,30353,-1409,1920
2001-10-31,-6548,32264,29695,-3200,2881
2001-11-30,6344,31120,29239,-3314,2594
2001-12-31,9110,34785,30065,-2948,2710
2002-01-31,-12480,34714,37795,3418,3138
2002-02-28,-1850,32921,33782,337,2570
2002-03-31,7412,33776,31897,-993,1667
2002-04-30,-3454,34959,31528,-2376,2730
2002-05-31,3702,36502,29626,-3507,2726
2002-06-30,7156,31251,30304,-3323,2562
2002-07-31,-6801,34111,34063,701,2168
2002-08-31,3015,33001,31742,-2132,2293
2002-09-30,5865,35400,30971,-4445,2364
2002-10-31,-3184,33319,30767,-3807,2443
2002-11-30,6373,35789,30018,-5167,2759
2002-12-31,11607,35041,30919,-4907,3241
2003-01-31,-12630,36401,36882,-640,2667
2003-02-28,60,35650,34081,-2896,2381
2003-03-31,10042,38463,34173,-2516,2363
2003-04-30,-358,37158,33451,-3179,2474
2003-05-31,7729,39013,31174,-6104,3024
2003-06-30,10008,37811,33021,-4394,2878
2003-07-31,-6989,37324,35678,-1562,2600
2003-08-31,3902,37320,33228,-4217,2572
2003-09-30,9446,38292,33142,-5925,2481
2003-10-31,-2204,36727,33093,-4360,2709
2003-11-30,5614,36587,32408,-5433,2868
2003-12-31,12995,40833,33856,-5168,3290
2004-01-31,-14617,39132,39046,-922,2708
2004-02-29,841,38217,38365,-887,2422
2004-03-31,13024,40488,38269,-1372,2641
2004-04-30,-1692,41796,33340,-7804,2620
2004-05-31,5240,42562,34338,-5941,3107
2004-06-30,10853,37187,34692,-2211,3016
2004-07-31,-7268,38686,38167,-2448,2839
2004-08-31,3468,41801,36232,-4575,3076
2004-09-30,11749,42268,35589,-5936,2712
2004-10-31,-1714,37943,35560,-5181,2934
2004-11-30,9442,42983,35481,-5883,3265
2004-12-31,15802,43375,36725,-5414,3621
2005-01-31,-17215,40723,44690,112,3289
2005-02-28,985,44377,39977,-3031,3013
2005-03-31,11461,45523,39181,-3350,2920
2005-04-30,-1406,40387,36705,-8602,3053
2005-05-31,9399,45694,36320,-2250,3282
2005-06-30,11594,40698,36414,-2460,3487
2005-07-31,-9320,42114,41174,-1092,3255
2005-08-31,5620,43106,38536,-4342,3408
2005-09-30,12322,44595,38927,-5265,2578
2005-10-31,-5970,42693,37883,-4686,3135
2005-11-30,10362,45812,36953,-7949,3564
2005-12-31,14905,45557,38854,-5531,3800
2006-01-31,-20600,43859,47483,2378,3288
2006-02-28,2142,45274,42615,-3185,3090
2006-03-31,13992,47400,42994,-2389,3066
2006-04-30,1885,46443,38957,-4543,3157
2006-05-31,9102,46270,38597,-4847,3389
2006-06-30,12367,45097,39453,-3774,3657
2006-07-31,-10043,44353,43851,-1052,3502
2006-08-31,3850,45325,40628,-3600,3460
2006-09-30,13522,48000,40029,-6867,2983
2006-10-31,-7840,43412,39886,-4152,3521
2006-11-30,8577,46486,38531,-7050,3836
2006-12-31,13493,48332,41630,-4532,4148
2007-01-31,-21357,46914,50895,4433,3913
2007-02-28,-2837,45717,46651,-592,3796
2007-03-31,16723,50386,44758,-4362,3253
2007-04-30,-1176,46849,40674,-3369,3647
2007-05-31,8895,49815,40749,-4867,4019
2007-06-30,9921,46453,41436,-3961,3986
2007-07-31,-13199,47735,46673,-596,3913
2007-08-31,6437,47964,42442,-5188,4290
2007-09-30,10293,50586,42221,-5449,2779
2007-10-31,-5287,47787,41950,-6183,4188
2007-11-30,9388,49855,41353,-6292,4251
2007-12-31,16582,50665,43006,-5387,4384
2008-01-31,-22725,49570,55806,5466,3982
2008-02-29,1781,48960,49061,-3359,4208
2008-03-31,12353,58801,46950,-5869,2727
2008-04-30,2348,51888,42446,-6455,4192
2008-05-31,13549,51759,41258,-7484,3974
2008-06-30,14965,50099,42178,-6731,4540
2008-07-31,-12869,49148,47425,-3411,4405
2008-08-31,11578,49993,42130,-8700,4711
2008-09-30,38903,72301,42313,-13032,3122
2008-10-31,7374,53987,40594,-10744,4723
2008-11-30,12225,52155,39339,-12325,4427
2008-12-31,47310,57469,40172,-15335,4707
2009-01-31,-4277,56817,51080,-6945,3776
2009-02-28,5004,52302,44477,-11092,3663
2009-03-31,27719,61461,41626,-14039,2769
2009-04-30,11151,54182,40178,-10932,4261
2009-05-31,20368,53751,36937,-13506,4060
2009-06-30,22485,56320,39814,-16536,3519
2009-07-31,2405,53270,44628,-9322,3204
2009-08-31,11628,51855,40347,-11979,2285
2009-09-30,23194,57556,39728,-16357,2112
2009-10-31,5453,54899,39639,-14802,4475
2009-11-30,13966,53019,39313,-14173,3871
2009-12-31,57759,62500,40441,-21337,4184
2010-01-31,-2540,57380,49555,-7678,4354
2010-02-28,5778,56748,47000,-9844,4449
2010-03-31,26945,64914,49447,-13178,3515
2010-04-30,9149,58108,44388,-9263,4764
2010-05-31,17566,57839,41381,-13289,4831
2010-06-30,23600,56480,43885,-12115,5382
2010-07-31,-3370,56183,47059,-9340,4587
2010-08-31,5439,55038,43150,-11649,4669
2010-09-30,24689,62243,43271,-16045,3463
2010-10-31,1101,56249,41626,-14328,5022
2010-11-30,14909,57592,41663,-14802,5049
2010-12-31,27477,61676,43245,-17091,5374
2011-01-31,-16113,57809,56122,-1206,4912
2011-02-28,3274,57092,48646,-9601,5174
2011-03-31,26292,65484,50188,-13252,4120
2011-04-30,7024,60586,43464,-11909,5899
2011-05-31,10151,56720,44132,-9665,5163
2011-06-30,22821,58618,46208,-9920,5877
2011-07-31,-5140,54274,50665,-4734,5191
2011-08-31,9702,57513,46149,-9569,4790
2011-09-30,22044,60023,44980,-14066,3962
2011-10-31,-3060,55797,44041,-12946,5990
2011-11-30,9571,55488,44005,-11328,5832
2011-12-31,24131,61210,45823,-13968,5180
2012-01-31,-17022,58538,57132,-750,4852
2012-02-29,5170,58742,47618,-10350,4730
2012-03-31,32280,71851,52222,-12847,2642
2012-04-30,-7349,70106,47291,-21572,6026
2012-05-31,12879,60468,43898,-12859,5406
2012-06-30,21252,57358,46287,-8828,4755
2012-07-31,-4358,55726,51775,-2276,4267
2012-08-31,8582,58144,45812,-9994,3557
2012-09-30,21927,60736,45646,-13077,3643
2012-10-31,2915,59115,45282,-12189,5295
2012-11-30,12452,57863,43771,-12286,5192
2012-12-31,22820,62530,47362,-13484,5106
2013-01-31,-17107,61135,63024,685,3747
2013-02-28,-1222,55050,50552,-7135,4606
2013-03-31,23071,62507,51098,-10727,4334
2013-04-30,7689,71540,51920,-11269,5817
2013-05-31,9582,57318,51019,-9139,5293
2013-06-30,11489,57766,51406,-8310,5132
2013-07-31,-8414,59118,53605,-3554,4289
2013-08-31,9098,56275,47080,-8538,4042
2013-09-30,13665,60637,47523,-12002,3649
2013-10-31,-7218,59352,46541,-11286,5773
2013-11-30,10106,57516,46345,-11469,5255
2013-12-31,22204,61971,49420,-10876,4205
2014-01-31,-14163,61919,59974,-307,4290
2014-02-28,4895,63157,50552,-9541,4989
2014-03-31,19500,63958,54424,-6154,3203
2014-04-30,4048,71580,52442,-12556,6074
2014-05-31,13268,58081,47107,-10105,4926
2014-06-30,17455,59656,48760,-7930,5019
2014-07-31,-3072,60561,55493,-3500,4384
2014-08-31,2567,58735,49503,-8732,4918
2014-09-30,20812,63016,49109,-12751,3724
2014-10-31,-4663,61846,52855,-11487,5607
2014-11-30,6779,58576,49585,-8869,4922
2014-12-31,22338,64069,51028,-12059,4445
2015-01-31,-19094,61411,66248,3022,3519
2015-02-28,2842,62230,53375,-6512,4560
2015-03-31,21260,64200,55628,-5977,1623
2015-04-30,-760,71188,54209,-11971,5813
2015-05-31,12131,59545,49972,-7469,4718
2015-06-30,16998,62411,50626,-7705,5187
2015-07-31,-915,62448,58037,-1958,4985
2015-08-31,-1474,59547,50345,-8648,4864
2015-09-30,20370,63082,50218,-11409,3178
2015-10-31,-1453,63153,52663,-10386,5898
2015-11-30,6371,59684,49799,-9230,3986
2015-12-31,12853,61934,51805,-7400,4260
2016-01-31,-22053,63002,69822,6161,4869
2016-02-29,-1891,61534,55628,-5724,5309
2016-03-31,20571,64119,56812,-4969,1792
