date,RPWZ4TM
2020-08-12,675311.0
2020-08-19,679890.0
2020-08-26,684467.0
2020-09-02,687555.0
2020-09-09,693581.0
2020-09-16,697143.0
2020-09-23,703269.0
2020-09-30,708247.0
2020-10-07,710002.0
2020-10-14,712948.0
2020-10-21,714421.0
2020-10-28,717367.0
2020-11-04,718840.0
2020-11-11,721786.0
2020-11-18,726205.0
2020-11-25,730624.0
2020-12-02,735042.0
2020-12-09,739461.0
2020-12-16,743880.0
2020-12-23,744937.0
2020-12-30,744937.0
2021-01-06,747897.0
2021-01-13,752337.0
2021-01-20,756777.0
2021-01-27,761217.0
2021-02-03,765657.0
2021-02-10,767137.0
2021-02-17,770096.0
2021-02-24,771944.0
2021-03-03,776384.0
2021-03-10,780824.0
2021-03-17,785264.0
2021-03-24,789703.0
2021-03-31,794143.0
2021-04-07,797103.0
2021-04-14,803023.0
2021-04-21,807463.0
2021-04-28,811903.0
2021-05-05,814862.0
2021-05-12,820116.0
2021-05-19,823557.0
2021-05-26,826998.0
2021-06-02,829292.0
2021-06-09,833879.0
2021-06-16,835026.0
2021-06-23,837320.0
2021-06-30,838467.0
2021-07-07,840761.0
2021-07-14,841908.0
2021-07-21,844202.0
2021-07-28,845349.0
2021-08-04,847642.0
2021-08-11,848789.0
2021-08-18,851886.0
2021-08-25,855327.0
2021-09-01,857621.0
2021-09-08,862208.0
2021-09-15,863355.0
2021-09-22,865649.0
2021-09-29,866796.0
2021-10-06,869090.0
2021-10-13,870237.0
2021-10-20,872531.0
2021-10-27,873678.0
2021-11-03,877119.0
2021-11-10,878265.0
2021-11-17,879412.0
2021-11-24,883477.0
2021-12-01,886918.0
2021-12-08,890359.0
2021-12-15,893800.0
2021-12-22,894947.0
2021-12-29,894947.0
2022-01-05,894947.0
2022-01-12,894947.0
2022-01-19,894947.0
2022-01-26,894947.0
2022-02-02,894947.0
2022-02-09,894947.0
2022-02-16,894947.0
2022-02-23,894947.0
2022-03-02,894947.0
2022-03-09,867006.0
2022-03-16,867006.0
2022-03-23,867006.0
2022-03-30,867006.0
2022-04-06,866730.0
2022-04-13,866730.0
2022-04-20,866730.0
2022-04-27,866730.0
2022-05-04,866582.0
2022-05-11,866582.0
2022-05-18,866582.0
2022-05-25,866582.0
2022-06-01,866528.0
2022-06-08,866528.0
2022-06-15,866528.0
2022-06-22,866528.0
2022-06-29,866528.0
2022-07-06,866528.0
2022-07-13,866528.0
2022-07-20,866528.0
2022-07-27,863340.0
2022-08-03,862950.0
2022-08-10,862950.0
2022-08-17,862950.0
2022-08-24,862950.0
2022-08-31,862760.0
2022-09-07,856819.0
2022-09-14,856819.0
2022-09-21,856819.0
2022-09-28,856819.0
2022-10-05,856819.0
2022-10-12,856819.0
2022-10-19,856819.0
2022-10-26,856449.0
2022-11-02,856449.0
2022-11-09,856449.0
2022-11-16,856449.0
2022-11-23,856449.0
2022-11-30,856449.0
2022-12-07,856449.0
2022-12-14,856449.0
2022-12-21,856449.0
2022-12-28,856449.0
2023-01-04,856449.0
2023-01-11,856449.0
2023-01-18,856449.0
2023-01-25,843736.0
2023-02-01,843736.0
2023-02-08,843736.0
2023-02-15,843736.0
2023-02-22,843736.0
2023-03-01,843736.0
2023-03-08,843736.0
2023-03-15,843736.0
2023-03-22,843736.0
2023-03-29,843736.0
2023-04-05,843736.0
2023-04-12,843736.0
2023-04-19,843736.0
2023-04-26,823792.0
2023-05-03,823792.0
2023-05-10,823792.0
2023-05-17,823792.0
2023-05-24,823792.0
2023-05-31,823792.0
2023-06-07,823792.0
2023-06-14,823792.0
2023-06-21,823792.0
2023-06-28,823792.0
2023-07-05,823792.0
2023-07-12,823792.0
2023-07-19,804096.0
2023-07-26,804096.0
2023-08-02,804096.0
2023-08-09,804096.0
2023-08-16,804096.0
2023-08-23,804096.0
2023-08-30,804096.0
2023-09-06,804096.0
2023-09-13,804096.0
2023-09-20,804096.0
2023-09-27,804096.0
2023-10-04,804096.0
2023-10-11,804096.0
2023-10-18,804096.0
2023-10-25,757922.0
2023-11-01,757922.0
2023-11-08,757922.0
2023-11-15,757922.0
2023-11-22,757922.0
2023-11-29,757922.0
2023-12-06,757922.0
2023-12-13,757922.0
2023-12-20,757922.0
2023-12-27,757922.0
2024-01-03,757922.0
2024-01-10,757922.0
2024-01-17,757922.0
2024-01-24,744305.0
2024-01-31,744305.0
2024-02-07,744305.0
2024-02-14,744305.0
2024-02-21,744305.0
2024-02-28,744305.0
2024-03-06,744305.0
2024-03-13,744305.0
2024-03-20,744305.0
2024-03-27,744305.0
2024-04-03,744305.0
2024-04-10,744305.0
2024-04-17,744305.0
2024-04-24,744305.0
2024-05-01,728144.0
2024-05-08,728144.0
2024-05-15,728144.0
2024-05-22,728144.0
2024-05-29,728144.0
2024-06-05,728144.0
2024-06-12,728144.0
2024-06-19,728144.0
2024-06-26,728144.0
2024-07-03,728144.0
2024-07-10,728144.0
2024-07-17,728144.0
2024-07-24,695024.0
2024-07-31,695024.0
2024-08-07,695024.0
2024-08-14,695024.0
2024-08-21,695024.0
2024-08-28,695024.0
2024-09-04,695024.0
2024-09-11,695024.0
2024-09-18,695024.0
2024-09-25,695024.0
2024-10-02,695024.0
2024-10-09,695024.0
2024-10-16,695024.0
2024-10-23,659015.0
2024-10-30,659015.0
2024-11-06,659015.0
2024-11-13,659015.0
2024-11-20,659015.0
2024-11-27,659015.0
2024-12-04,659015.0
2024-12-11,659015.0
2024-12-18,659015.0
2024-12-25,659015.0
2025-01-01,659015.0
2025-01-08,659015.0
2025-01-15,659015.0
2025-01-22,659015.0
2025-01-29,654531.0
2025-02-05,654531.0
2025-02-12,654531.0
2025-02-19,654531.0
2025-02-26,654531.0
2025-03-05,654531.0
2025-03-12,654531.0
2025-03-19,654531.0
2025-03-26,654531.0
2025-04-02,654531.0
2025-04-09,654531.0
2025-04-16,654531.0
2025-04-23,622521.0
2025-04-30,622521.0
2025-05-07,622521.0
2025-05-14,622521.0
2025-05-21,622521.0
2025-05-28,622521.0
2025-06-04,622521.0
2025-06-11,622521.0
2025-06-18,622521.0
2025-06-25,622521.0
2025-07-02,622521.0
2025-07-09,622521.0
2025-07-16,622521.0
2025-07-23,590018.0
2025-07-30,590018.0
2025-08-06,590018.0
2025-08-13,590018.0
2025-08-20,590018.0
2025-08-27,590018.0
2025-09-03,590018.0
2025-09-10,590018.0
2025-09-17,590018.0
2025-09-24,590018.0
2025-10-01,590018.0
2025-10-08,590018.0
2025-10-15,590018.0
2025-10-22,590018.0
2025-10-29,558069.0
2025-11-05,558069.0
2025-11-12,558069.0
2025-11-19,558069.0
2025-11-26,558069.0
2025-12-03,558069.0
2025-12-10,558069.0
2025-12-17,558069.0
2025-12-24,558069.0
2025-12-31,558069.0
2026-01-07,558069.0
2026-01-14,558069.0
2026-01-21,558069.0
2026-01-28,553158.0
2026-02-04,553158.0
2026-02-11,553158.0
2026-02-18,553158.0
2026-02-25,553158.0
2026-03-04,553158.0
2026-03-11,553158.0
2026-03-18,553158.0
2026-03-25,553158.0
2026-04-01,553158.0
2026-04-08,553158.0
2026-04-15,553158.0
2026-04-22,553158.0
2026-04-29,527899.0
2026-05-06,527899.0
2026-05-13,527899.0
2026-05-20,527899.0
2026-05-27,527899.0
2026-06-03,527899.0
2026-06-10,527899.0
