date,LPMB3PS
2016-09-30,1490.0
2016-10-31,1851.0
2016-11-30,1977.0
2016-12-31,1119.0
2017-01-31,1534.0
2017-02-28,1354.0
2017-03-31,2040.0
2017-04-30,1320.0
2017-05-31,1828.0
2017-06-30,1306.0
2017-07-31,1517.0
2017-08-31,1806.0
2017-09-30,1803.0
2017-10-31,1683.0
2017-11-30,1644.0
2017-12-31,1832.0
2018-01-31,1353.0
2018-02-28,1605.0
2018-03-31,1152.0
2018-04-30,1846.0
2018-05-31,1589.0
2018-06-30,1461.0
2018-07-31,870.0
2018-08-31,1345.0
2018-09-30,1218.0
2018-10-31,885.0
2018-11-30,1155.0
2018-12-31,873.0
2019-01-31,1379.0
2019-02-28,1314.0
2019-03-31,1018.0
2019-04-30,1111.0
2019-05-31,970.0
2019-06-30,995.0
2019-07-31,1202.0
2019-08-31,1055.0
2019-09-30,877.0
2019-10-31,1323.0
2019-11-30,557.0
2019-12-31,1434.0
2020-01-31,1230.0
2020-02-29,715.0
2020-03-31,-3302.0
2020-04-30,-7458.0
2020-05-31,-4690.0
2020-06-30,-939.0
2020-07-31,1282.0
2020-08-31,362.0
2020-09-30,-594.0
2020-10-31,-510.0
2020-11-30,-1969.0
2020-12-31,-674.0
2021-01-31,-2585.0
2021-02-28,-1010.0
2021-03-31,69.0
2021-04-30,216.0
2021-05-31,1097.0
2021-06-30,310.0
2021-07-31,622.0
2021-08-31,917.0
2021-09-30,565.0
2021-10-31,1150.0
2021-11-30,1148.0
2021-12-31,579.0
2022-01-31,785.0
2022-02-28,1239.0
2022-03-31,1217.0
2022-04-30,1623.0
2022-05-31,1129.0
2022-06-30,1695.0
2022-07-31,1524.0
2022-08-31,966.0
2022-09-30,800.0
2022-10-31,936.0
2022-11-30,1133.0
2022-12-31,1283.0
2023-01-31,772.0
2023-02-28,1642.0
2023-03-31,1568.0
2023-04-30,1832.0
2023-05-31,891.0
2023-06-30,1871.0
2023-07-31,1265.0
2023-08-31,1571.0
2023-09-30,1488.0
2023-10-31,1477.0
2023-11-30,2089.0
2023-12-31,1327.0
2024-01-31,1647.0
2024-02-29,1363.0
2024-03-31,1461.0
2024-04-30,685.0
2024-05-31,1495.0
2024-06-30,946.0
2024-07-31,1195.0
2024-08-31,1263.0
2024-09-30,1281.0
2024-10-31,1120.0
2024-11-30,697.0
2024-12-31,1291.0
2025-01-31,1485.0
2025-02-28,1378.0
2025-03-31,1110.0
2025-04-30,1938.0
2025-05-31,1114.0
2025-06-30,1559.0
2025-07-31,1686.0
2025-08-31,1779.0
2025-09-30,1506.0
2025-10-31,1760.0
2025-11-30,2105.0
2025-12-31,1633.0
2026-01-31,1873.0
2026-02-28,1960.0
2026-03-31,1897.0
2026-04-30,1838.0
2026-05-31,1758.0
2026-06-30,1865.0
2026-07-31,2006.0
