date,exchequer_residual_weekly
2020-08-19,-5197.0
2020-08-26,276.0
2020-09-02,-9500.0
2020-09-09,-2382.0
2020-09-16,-4227.0
2020-09-23,-4627.0
2020-09-30,-5827.0
2020-10-07,7146.0
2020-10-14,4956.0
2020-10-21,901.0
2020-10-28,1239.0
2020-11-04,5328.0
2020-11-11,1909.0
2020-11-18,-3492.0
2020-11-25,-2922.0
2020-12-02,-9676.0
2020-12-09,-6050.0
2020-12-16,-8501.0
2020-12-23,-2911.0
2020-12-30,-3042.0
2021-01-06,-572.0
2021-01-13,-1026.0
2021-01-20,-12530.0
2021-01-27,8788.0
2021-02-03,1574.0
2021-02-10,1221.0
2021-02-17,1124.0
2021-02-24,-4755.0
2021-03-03,-769.0
2021-03-10,-4354.0
2021-03-17,-965.0
2021-03-24,-10030.0
2021-03-31,-9279.0
2021-04-07,5895.0
2021-04-14,982.0
2021-04-21,235.0
2021-04-28,-4008.0
2021-05-05,6275.0
2021-05-12,-3662.0
2021-05-19,-3652.0
2021-05-26,-166.0
2021-06-02,-4772.0
2021-06-09,-10486.0
2021-06-16,6001.0
2021-06-23,-4174.0
2021-06-30,-7609.0
2021-07-07,8983.0
2021-07-14,3095.0
2021-07-21,-365.0
2021-07-28,982.0
2021-08-04,2351.0
2021-08-11,1010.0
2021-08-18,72.0
2021-08-25,-4605.0
2021-09-01,-453.0
2021-09-08,-13609.0
2021-09-15,-992.0
2021-09-22,-4668.0
2021-09-29,2115.0
2021-10-06,2965.0
2021-10-13,4005.0
2021-10-20,-1015.0
2021-10-27,-2585.0
2021-11-03,-5363.0
2021-11-10,2173.0
2021-11-17,1476.0
2021-11-24,-4269.0
2021-12-01,1246.0
2021-12-08,-1040.0
2021-12-15,-4239.0
2021-12-22,-3438.0
2021-12-29,-4922.0
2022-01-05,8642.0
2022-01-12,3862.0
2022-01-19,-1547.0
2022-01-26,-689.0
2022-02-02,-2141.0
2022-02-09,2578.0
2022-02-16,-245.0
2022-02-23,-6433.0
2022-03-02,-8239.0
2022-03-09,12311.0
2022-03-16,634.0
2022-03-23,2768.0
2022-03-30,1305.0
2022-04-06,1438.0
2022-04-13,-1216.0
2022-04-20,24.0
2022-04-27,-180.0
2022-05-04,2158.0
2022-05-11,-2308.0
2022-05-18,1401.0
2022-05-25,847.0
2022-06-01,-2501.0
2022-06-08,-144.0
2022-06-15,1565.0
2022-06-22,923.0
2022-06-29,-973.0
2022-07-06,1364.0
2022-07-13,-4502.0
2022-07-20,-13609.0
2022-07-27,13602.0
2022-08-03,1760.0
2022-08-10,8398.0
2022-08-17,-1654.0
2022-08-24,-4223.0
2022-08-31,-2036.0
2022-09-07,5198.0
2022-09-14,-460.0
2022-09-21,-3494.0
2022-09-28,-4128.0
2022-10-05,8127.0
2022-10-12,6456.0
2022-10-19,4655.0
2022-10-26,-4604.0
2022-11-02,-2729.0
2022-11-09,6277.0
2022-11-16,-5656.0
2022-11-23,4052.0
2022-11-30,-1615.0
2022-12-07,-7354.0
2022-12-14,-4365.0
2022-12-21,366.0
2022-12-28,-1824.0
2023-01-04,1271.0
2023-01-11,-8023.0
2023-01-18,-6412.0
2023-01-25,5674.0
2023-02-01,4078.0
2023-02-08,3078.0
2023-02-15,-3720.0
2023-02-22,-4504.0
2023-03-01,1964.0
2023-03-08,51.0
2023-03-15,-4018.0
2023-03-22,-3121.0
2023-03-29,10528.0
2023-04-05,-3793.0
2023-04-12,-671.0
2023-04-19,-12788.0
2023-04-26,10077.0
2023-05-03,1091.0
2023-05-10,-368.0
2023-05-17,7596.0
2023-05-24,-1422.0
2023-05-31,1861.0
2023-06-07,-2633.0
2023-06-14,-10144.0
2023-06-21,1446.0
2023-06-28,6210.0
2023-07-05,-717.0
2023-07-12,-2281.0
2023-07-19,-2955.0
2023-07-26,-9521.0
2023-08-02,2.0
2023-08-09,6428.0
2023-08-16,-3022.0
2023-08-23,-6246.0
2023-08-30,-83.0
2023-09-06,-12746.0
2023-09-13,-5200.0
2023-09-20,3099.0
2023-09-27,8509.0
2023-10-04,-2513.0
2023-10-11,-963.0
2023-10-18,-725.0
2023-10-25,35167.0
2023-11-01,-1735.0
2023-11-08,4003.0
2023-11-15,-357.0
2023-11-22,-5278.0
2023-11-29,3198.0
2023-12-06,3646.0
2023-12-13,-7532.0
2023-12-20,6464.0
2023-12-27,-1413.0
2024-01-03,-1701.0
2024-01-10,1742.0
2024-01-17,-3606.0
2024-01-24,-177.0
2024-01-31,-3844.0
2024-02-07,8123.0
2024-02-14,-2178.0
2024-02-21,213.0
2024-02-28,-378.0
2024-03-06,13662.0
2024-03-13,-4481.0
2024-03-20,-14873.0
2024-03-27,17000.0
2024-04-03,1173.0
2024-04-10,-681.0
2024-04-17,-1118.0
2024-04-24,-21930.0
2024-05-01,4675.0
2024-05-08,-367.0
2024-05-15,3704.0
2024-05-22,-3707.0
2024-05-29,4139.0
2024-06-05,525.0
2024-06-12,-6477.0
2024-06-19,-1994.0
2024-06-26,7387.0
2024-07-03,-1725.0
2024-07-10,-2728.0
2024-07-17,2309.0
2024-07-24,18570.0
2024-07-31,-5007.0
2024-08-07,5407.0
2024-08-14,-1400.0
2024-08-21,359.0
2024-08-28,-3734.0
2024-09-04,-7511.0
2024-09-11,-14483.0
2024-09-18,-745.0
2024-09-25,4599.0
2024-10-02,-1944.0
2024-10-09,215.0
2024-10-16,-1095.0
2024-10-23,25678.0
2024-10-30,-734.0
2024-11-06,2757.0
2024-11-13,4552.0
2024-11-20,529.0
2024-11-27,11.0
2024-12-04,722.0
