date,J5II
1993-01-31,1301.0
1993-02-28,-5961.0
1993-03-31,-8188.0
1993-04-30,-5380.0
1993-05-31,-5407.0
1993-06-30,-4927.0
1993-07-31,-2975.0
1993-08-31,-5110.0
1993-09-30,-4244.0
1993-10-31,-2106.0
1993-11-30,-4106.0
1993-12-31,-4288.0
1994-01-31,1051.0
1994-02-28,-5521.0
1994-03-31,-8543.0
1994-04-30,-5970.0
1994-05-31,-5299.0
1994-06-30,-3351.0
1994-07-31,-2461.0
1994-08-31,-5618.0
1994-09-30,-2879.0
1994-10-31,-1179.0
1994-11-30,-3178.0
1994-12-31,-3534.0
1995-01-31,2494.0
1995-02-28,-5146.0
1995-03-31,-7683.0
1995-04-30,-3974.0
1995-05-31,-4101.0
1995-06-30,-3979.0
1995-07-31,-1672.0
1995-08-31,-5814.0
1995-09-30,-2885.0
1995-10-31,567.0
1995-11-30,-3264.0
1995-12-31,-3703.0
1996-01-31,3709.0
1996-02-29,-3845.0
1996-03-31,-6349.0
1996-04-30,-4833.0
1996-05-31,-4832.0
1996-06-30,-4247.0
1996-07-31,-297.0
1996-08-31,-5312.0
1996-09-30,-2650.0
1996-10-31,3445.0
1996-11-30,-2359.0
1996-12-31,-2270.0
1997-01-31,5198.0
1997-02-28,-3006.0
1997-03-31,-6813.0
1997-04-30,-2934.0
1997-05-31,-2977.0
1997-06-30,-4985.0
1997-07-31,-563.0
1997-08-31,-2858.0
1997-09-30,-2661.0
1997-10-31,1568.0
1997-11-30,1665.0
1997-12-31,-1017.0
1998-01-31,7491.0
1998-02-28,-210.0
1998-03-31,-3145.0
1998-04-30,-1907.0
1998-05-31,-3908.0
1998-06-30,-3427.0
1998-07-31,2671.0
1998-08-31,-1978.0
1998-09-30,-1839.0
1998-10-31,6439.0
1998-11-30,-3146.0
1998-12-31,-917.0
1999-01-31,6836.0
1999-02-28,2214.0
1999-03-31,-1161.0
1999-04-30,-334.0
1999-05-31,-3413.0
1999-06-30,-2481.0
1999-07-31,3652.0
1999-08-31,-1517.0
1999-09-30,-303.0
1999-10-31,7534.0
1999-11-30,-2452.0
1999-12-31,-917.0
2000-01-31,9671.0
2000-02-29,1567.0
2000-03-31,399.0
2000-04-30,-2810.0
2000-05-31,9269.0
2000-06-30,-2663.0
2000-07-31,3838.0
2000-08-31,-3299.0
2000-09-30,4053.0
2000-10-31,-1093.0
2000-11-30,-1218.0
2000-12-31,-1279.0
2001-01-31,6871.0
2001-02-28,3961.0
2001-03-31,675.0
2001-04-30,280.0
2001-05-31,-1425.0
2001-06-30,592.0
2001-07-31,1980.0
2001-08-31,1042.0
2001-09-30,-1407.0
2001-10-31,-3201.0
2001-11-30,-3315.0
2001-12-31,-2949.0
2002-01-31,3417.0
2002-02-28,336.0
2002-03-31,-991.0
2002-04-30,-2377.0
2002-05-31,-3508.0
2002-06-30,-3320.0
2002-07-31,700.0
2002-08-31,-2133.0
2002-09-30,-4443.0
2002-10-31,-3808.0
2002-11-30,-5168.0
2002-12-31,-4904.0
2003-01-31,-640.0
2003-02-28,-2896.0
2003-03-31,-2518.0
2003-04-30,-3178.0
2003-05-31,-6103.0
2003-06-30,-4392.0
2003-07-31,-1562.0
2003-08-31,-4217.0
2003-09-30,-5922.0
2003-10-31,-4359.0
2003-11-30,-5432.0
2003-12-31,-5167.0
2004-01-31,-921.0
2004-02-29,-886.0
2004-03-31,-1371.0
2004-04-30,-7806.0
2004-05-31,-5943.0
2004-06-30,-2207.0
2004-07-31,-2450.0
2004-08-31,-4577.0
2004-09-30,-5933.0
2004-10-31,-5182.0
2004-11-30,-5884.0
2004-12-31,-5413.0
2005-01-31,113.0
2005-02-28,-3030.0
2005-03-31,-3353.0
2005-04-30,-8603.0
2005-05-31,-2251.0
2005-06-30,-2461.0
2005-07-31,-1094.0
2005-08-31,-4344.0
2005-09-30,-5264.0
2005-10-31,-4687.0
2005-11-30,-7950.0
2005-12-31,-5531.0
2006-01-31,2377.0
2006-02-28,-3186.0
2006-03-31,-2391.0
2006-04-30,-4541.0
2006-05-31,-4845.0
2006-06-30,-3774.0
2006-07-31,-1050.0
2006-08-31,-3598.0
2006-09-30,-6868.0
2006-10-31,-4151.0
2006-11-30,-7049.0
2006-12-31,-4531.0
2007-01-31,4434.0
2007-02-28,-591.0
2007-03-31,-4362.0
2007-04-30,-3368.0
2007-05-31,-4866.0
2007-06-30,-3963.0
2007-07-31,-597.0
2007-08-31,-5189.0
2007-09-30,-5448.0
2007-10-31,-6182.0
2007-11-30,-6291.0
2007-12-31,-5390.0
2008-01-31,5466.0
2008-02-29,-3359.0
2008-03-31,-5870.0
2008-04-30,-6458.0
2008-05-31,-7487.0
2008-06-30,-6735.0
2008-07-31,-3415.0
2008-08-31,-8704.0
2008-09-30,-13034.0
2008-10-31,-10746.0
2008-11-30,-12327.0
2008-12-31,-15340.0
2009-01-31,-6948.0
2009-02-28,-11095.0
2009-03-31,-14044.0
2009-04-30,-10931.0
2009-05-31,-13505.0
2009-06-30,-16537.0
2009-07-31,-9321.0
2009-08-31,-11978.0
2009-09-30,-16359.0
2009-10-31,-14804.0
2009-11-30,-14175.0
2009-12-31,-21334.0
2010-01-31,-7679.0
2010-02-28,-9845.0
2010-03-31,-13176.0
2010-04-30,-9263.0
2010-05-31,-13289.0
2010-06-30,-12116.0
2010-07-31,-9340.0
2010-08-31,-11649.0
2010-09-30,-16047.0
2010-10-31,-14324.0
2010-11-30,-14799.0
2010-12-31,-17095.0
2011-01-31,-1202.0
2011-02-28,-9597.0
2011-03-31,-13252.0
2011-04-30,-11914.0
2011-05-31,-9670.0
2011-06-30,-9924.0
2011-07-31,-4739.0
2011-08-31,-9574.0
2011-09-30,-14071.0
2011-10-31,-12952.0
2011-11-30,-11334.0
2011-12-31,-13975.0
2012-01-31,-749.0
2012-02-29,-10349.0
2012-03-31,-12849.0
2012-04-30,-21562.0
2012-05-31,-12849.0
2012-06-30,-8821.0
2012-07-31,-2264.0
2012-08-31,-9982.0
2012-09-30,-13065.0
2012-10-31,-12168.0
2012-11-30,-12265.0
2012-12-31,-13466.0
2013-01-31,689.0
2013-02-28,-7131.0
2013-03-31,-10726.0
2013-04-30,-11277.0
2013-05-31,-9147.0
2013-06-30,-8318.0
2013-07-31,-3557.0
2013-08-31,-8541.0
2013-09-30,-12003.0
2013-10-31,-11283.0
2013-11-30,-11466.0
2013-12-31,-10870.0
2014-01-31,-299.0
2014-02-28,-9533.0
2014-03-31,-6152.0
2014-04-30,-12598.0
2014-05-31,-10147.0
2014-06-30,-7970.0
2014-07-31,-3544.0
2014-08-31,-8776.0
2014-09-30,-12799.0
2014-10-31,-11538.0
2014-11-30,-8920.0
2014-12-31,-12113.0
2015-01-31,2956.0
2015-02-28,-6578.0
2015-03-31,-6037.0
2015-04-30,-11917.0
2015-05-31,-7415.0
2015-06-30,-7654.0
2015-07-31,-1910.0
2015-08-31,-8600.0
