date,RPWB69A
2020-08-12,25469.0
2020-08-19,25519.0
2020-08-26,25634.0
2020-09-02,25959.0
2020-09-09,9660.0
2020-09-16,9675.0
2020-09-23,9750.0
2020-09-30,9855.0
2020-10-07,9880.0
2020-10-14,5905.0
2020-10-21,5905.0
2020-10-28,5905.0
2020-11-04,5910.0
2020-11-11,5860.0
2020-11-18,5860.0
2020-11-25,5860.0
2020-12-02,5873.0
2020-12-09,4683.0
2020-12-16,4688.0
2020-12-23,4698.0
2020-12-30,4698.0
2021-01-06,4698.0
2021-01-13,4788.0
2021-01-20,4788.0
2021-01-27,4788.0
2021-02-03,4793.0
2021-02-10,4603.0
2021-02-17,4603.0
2021-02-24,4613.0
2021-03-03,4613.0
2021-03-10,4018.0
2021-03-17,4018.0
2021-03-24,4018.0
2021-03-31,4018.0
2021-04-07,4018.0
2021-04-14,3698.0
2021-04-21,3708.0
2021-04-28,3708.0
2021-05-05,3723.0
2021-05-12,3205.0
2021-05-19,3205.0
2021-05-26,3205.0
2021-06-02,3205.0
2021-06-09,3090.0
2021-06-16,3090.0
2021-06-23,3090.0
2021-06-30,3090.0
2021-07-07,3090.0
2021-07-14,2695.0
2021-07-21,2695.0
2021-07-28,2695.0
2021-08-04,2715.0
2021-08-11,2430.0
2021-08-18,2430.0
2021-08-25,2430.0
2021-09-01,2430.0
2021-09-08,2430.0
2021-09-15,2305.0
2021-09-22,2305.0
2021-09-29,2305.0
2021-10-06,2310.0
2021-10-13,2280.0
2021-10-20,2280.0
2021-10-27,2285.0
2021-11-03,2296.0
2021-11-10,2306.0
2021-11-17,2456.0
2021-11-24,2456.0
2021-12-01,2456.0
2021-12-08,2456.0
2021-12-15,2456.0
2021-12-22,2461.0
2021-12-29,2561.0
2022-01-05,2561.0
2022-01-12,2581.0
2022-01-19,2591.0
2022-01-26,2666.0
2022-02-02,2666.0
2022-02-09,2806.0
2022-02-16,2811.0
2022-02-23,2811.0
2022-03-02,2891.0
2022-03-09,2881.0
2022-03-16,2896.0
2022-03-23,2896.0
2022-03-30,3051.0
2022-04-06,3366.0
2022-04-13,3480.0
2022-04-20,3530.0
2022-04-27,3535.0
2022-05-04,3540.0
2022-05-11,3380.0
2022-05-18,3395.0
2022-05-25,3670.0
2022-06-01,3680.0
2022-06-08,3680.0
2022-06-15,3575.0
2022-06-22,3580.0
2022-06-29,3590.0
2022-07-06,3690.0
2022-07-13,3570.0
2022-07-20,3570.0
2022-07-27,3570.0
2022-08-03,3570.0
2022-08-10,3590.0
2022-08-17,3590.0
2022-08-24,3595.0
2022-08-31,3602.0
2022-09-07,3602.0
2022-09-14,2807.0
2022-09-21,2812.0
2022-09-28,2812.0
2022-10-05,3067.0
2022-10-12,2382.0
2022-10-19,2532.0
2022-10-26,2632.0
2022-11-02,2862.0
2022-11-09,3067.0
2022-11-16,3067.0
2022-11-23,3112.0
2022-11-30,3152.0
2022-12-07,3152.0
2022-12-14,3167.0
2022-12-21,3167.0
2022-12-28,3272.0
2023-01-04,3272.0
2023-01-11,3252.0
2023-01-18,3257.0
2023-01-25,3262.0
2023-02-01,3262.0
2023-02-08,3262.0
2023-02-15,2945.0
2023-02-22,2945.0
2023-03-01,2955.0
2023-03-08,2955.0
2023-03-15,2695.0
2023-03-22,2695.0
2023-03-29,2705.0
2023-04-05,2715.0
2023-04-12,2125.0
2023-04-19,2125.0
2023-04-26,2125.0
2023-05-03,2135.0
2023-05-10,970.0
