date,str_net_daily
2022-10-06,60.0
2022-10-13,-45.0
2022-10-20,0.0
2022-10-27,-5.0
2022-11-03,-10.0
2022-11-10,19.0
2022-11-17,-9.0
2022-11-24,-10.0
2022-12-01,5.0
2022-12-08,0.0
2022-12-15,0.0
2022-12-22,-5.0
2023-01-05,0.0
2023-01-12,5.0
2023-01-19,5.0
2023-01-26,1490.0
2023-02-02,-1500.0
2023-02-09,15.0
2023-02-16,-15.0
2023-02-23,5.0
2023-03-02,1005.0
2023-03-09,-995.0
2023-03-16,-10.0
2023-03-23,5.0
2023-03-30,-10.0
2023-04-06,0.0
2023-04-13,0.0
2023-04-20,10.0
2023-04-27,21.0
2023-05-04,-11.0
2023-05-11,-14.0
2023-05-18,-1.0
2023-05-25,0.0
2023-06-01,0.0
2023-06-08,0.0
2023-06-15,-5.0
2023-06-22,0.0
2023-06-29,0.0
2023-07-06,0.0
2023-07-13,15.0
2023-07-20,1185.0
2023-07-27,-895.0
2023-08-03,-5.0
2023-08-10,-150.0
2023-08-17,5.0
2023-08-24,-5.0
2023-08-31,10.0
2023-09-07,-5.0
2023-09-14,-155.0
2023-09-21,15.0
2023-09-28,485.0
2023-10-05,10.0
2023-10-12,-5.0
2023-10-19,245.0
2023-10-26,-250.0
2023-11-02,0.0
2023-11-09,110.0
2023-11-16,0.0
2023-11-23,1195.0
2023-11-30,655.0
2023-12-07,1540.0
2023-12-14,-829.0
2023-12-21,-971.0
2024-01-04,-100.0
2024-01-11,-1400.0
2024-01-18,1665.0
2024-01-25,-395.0
2024-02-01,610.0
2024-02-08,-62.0
2024-02-15,-18.0
2024-02-22,-1395.0
2024-02-29,-5.0
2024-03-07,1015.0
2024-03-14,632.0
2024-03-21,783.0
2024-03-28,1620.0
2024-04-04,-330.0
2024-04-11,564.0
2024-04-18,-29.0
2024-04-25,2232.0
2024-05-02,4625.0
2024-05-09,1368.0
2024-05-16,864.0
2024-05-23,1801.0
2024-05-30,941.0
2024-06-06,1910.0
2024-06-13,465.0
2024-06-20,-640.0
2024-06-27,2426.0
2024-07-04,1310.0
2024-07-11,1158.0
2024-07-18,5261.0
2024-07-25,1283.0
2024-08-01,3656.0
2024-08-08,-6551.0
2024-08-15,6828.0
2024-08-22,3766.0
2024-08-29,-1474.0
2024-09-05,3706.0
2024-09-12,3372.0
2024-09-19,861.0
2024-09-26,-7464.0
2024-10-03,2411.0
2024-10-10,-590.0
2024-10-17,2220.0
2024-10-24,5643.0
2024-10-31,-1019.0
2024-11-07,-1408.0
2024-11-14,-608.0
2024-11-21,1667.0
2024-11-28,-4392.0
2024-12-05,887.0
2024-12-12,1520.0
2024-12-19,-5315.0
2025-01-02,8105.0
2025-01-09,5184.0
2025-01-16,-4673.0
2025-01-23,-280.0
2025-01-30,2781.0
2025-02-06,4225.0
2025-02-13,1249.0
2025-02-20,-4326.0
2025-02-27,7868.0
2025-03-06,-397.0
2025-03-13,3335.0
2025-03-20,1363.0
2025-03-27,-4115.0
2025-04-03,1045.0
2025-04-10,1263.0
2025-04-17,3298.0
2025-04-24,-9122.0
2025-05-01,4193.0
2025-05-08,1613.0
2025-05-15,188.0
2025-05-22,2461.0
2025-05-29,-1162.0
2025-06-05,5935.0
2025-06-12,823.0
2025-06-19,941.0
2025-06-26,2912.0
2025-07-03,1443.0
2025-07-10,-1169.0
2025-07-17,-280.0
2025-07-24,-2874.0
2025-07-31,1319.0
2025-08-07,27.0
2025-08-14,-2364.0
2025-08-21,-482.0
2025-08-28,7250.0
2025-09-04,2339.0
2025-09-11,5094.0
2025-09-18,-2483.0
2025-09-25,6547.0
2025-10-02,-6565.0
2025-10-09,-122.0
2025-10-16,1375.0
2025-10-23,1844.0
2025-10-30,14201.0
2025-11-06,-12195.0
2025-11-13,6316.0
2025-11-20,4631.0
2025-11-27,469.0
2025-12-04,105.0
2025-12-11,-4065.0
2025-12-18,4146.0
2025-12-23,873.0
2026-01-08,-1148.0
2026-01-15,2286.0
2026-01-22,-1424.0
2026-01-29,3009.0
2026-02-05,-4490.0
2026-02-12,-2709.0
2026-02-19,3316.0
2026-02-26,1250.0
2026-03-05,1107.0
2026-03-12,-2392.0
2026-03-19,1104.0
2026-03-26,-630.0
2026-04-02,2860.0
2026-04-09,-1078.0
2026-04-16,-1369.0
2026-04-23,-39.0
2026-04-30,6086.0
2026-05-07,4733.0
2026-05-14,2131.0
2026-05-21,4123.0
2026-05-28,-5297.0
2026-06-04,13327.0
2026-06-11,3535.0
2026-06-18,7931.0
2026-06-25,5528.0
2026-07-02,-3728.0
2026-07-09,-3939.0
2026-07-16,-7770.0
2026-07-23,4798.0
2026-07-30,-5420.0
2026-08-06,7063.0
2026-08-13,-4047.0
2026-08-20,-796.0
2026-08-27,-1248.0
2026-09-03,-1169.0
2026-09-10,485.0
