date,MF6U
1997-04-30,24807.0
1997-05-31,24946.0
1997-06-30,26761.0
1997-07-31,25919.0
1997-08-31,26056.0
1997-09-30,26341.0
1997-10-31,25372.0
1997-11-30,26052.0
1997-12-31,28079.0
1998-01-31,26717.0
1998-02-28,28034.0
1998-03-31,28906.0
1998-04-30,26230.0
1998-05-31,26407.0
1998-06-30,26225.0
1998-07-31,26329.0
1998-08-31,26682.0
1998-09-30,26555.0
1998-10-31,27432.0
1998-11-30,26769.0
1998-12-31,28276.0
1999-01-31,27063.0
1999-02-28,28583.0
1999-03-31,29393.0
1999-04-30,26892.0
1999-05-31,26688.0
1999-06-30,27004.0
1999-07-31,27504.0
1999-08-31,27982.0
1999-09-30,27954.0
1999-10-31,28647.0
1999-11-30,29001.0
1999-12-31,28166.0
2000-01-31,28723.0
2000-02-29,28938.0
2000-03-31,29430.0
2000-04-30,32649.0
2000-05-31,20342.0
2000-06-30,32353.0
2000-07-31,34167.0
2000-08-31,35386.0
2000-09-30,25458.0
2000-10-31,29957.0
2000-11-30,29818.0
2000-12-31,31100.0
2001-01-31,31308.0
2001-02-28,30914.0
2001-03-31,30982.0
2001-04-30,31113.0
2001-05-31,32215.0
2001-06-30,30792.0
2001-07-31,32091.0
2001-08-31,28901.0
2001-09-30,31974.0
2001-10-31,32264.0
2001-11-30,31120.0
2001-12-31,34785.0
2002-01-31,34714.0
2002-02-28,32921.0
2002-03-31,33776.0
2002-04-30,34959.0
2002-05-31,36502.0
2002-06-30,31251.0
2002-07-31,34111.0
2002-08-31,33001.0
2002-09-30,35400.0
2002-10-31,33319.0
2002-11-30,35789.0
2002-12-31,35041.0
2003-01-31,36401.0
2003-02-28,35650.0
2003-03-31,38463.0
2003-04-30,37158.0
2003-05-31,39013.0
2003-06-30,37811.0
2003-07-31,37324.0
2003-08-31,37320.0
2003-09-30,38292.0
2003-10-31,36727.0
2003-11-30,36587.0
2003-12-31,40833.0
2004-01-31,39132.0
2004-02-29,38217.0
2004-03-31,40488.0
2004-04-30,41796.0
2004-05-31,42562.0
