date,MF6U
2004-06-30,37187.0
2004-07-31,38686.0
2004-08-31,41801.0
2004-09-30,42268.0
2004-10-31,37943.0
2004-11-30,42983.0
2004-12-31,43375.0
2005-01-31,40723.0
2005-02-28,44377.0
2005-03-31,45523.0
2005-04-30,40387.0
2005-05-31,45694.0
2005-06-30,40698.0
2005-07-31,42114.0
2005-08-31,43106.0
2005-09-30,44595.0
2005-10-31,42693.0
2005-11-30,45812.0
2005-12-31,45557.0
2006-01-31,43859.0
2006-02-28,45274.0
2006-03-31,47400.0
2006-04-30,46443.0
2006-05-31,46270.0
2006-06-30,45097.0
2006-07-31,44353.0
2006-08-31,45325.0
2006-09-30,48000.0
2006-10-31,43412.0
2006-11-30,46486.0
2006-12-31,48332.0
2007-01-31,46914.0
2007-02-28,45717.0
2007-03-31,50386.0
2007-04-30,46849.0
2007-05-31,49815.0
2007-06-30,46453.0
2007-07-31,47735.0
2007-08-31,47964.0
2007-09-30,50586.0
2007-10-31,47787.0
2007-11-30,49855.0
2007-12-31,50665.0
2008-01-31,49570.0
2008-02-29,48960.0
2008-03-31,58801.0
2008-04-30,51888.0
2008-05-31,51759.0
2008-06-30,50099.0
2008-07-31,49148.0
2008-08-31,49993.0
2008-09-30,72301.0
2008-10-31,53987.0
2008-11-30,52155.0
2008-12-31,57469.0
2009-01-31,56817.0
2009-02-28,52302.0
2009-03-31,61461.0
2009-04-30,54182.0
2009-05-31,53751.0
2009-06-30,56320.0
2009-07-31,53270.0
2009-08-31,51855.0
2009-09-30,57556.0
2009-10-31,54899.0
2009-11-30,53019.0
2009-12-31,62500.0
2010-01-31,57380.0
2010-02-28,56748.0
2010-03-31,64914.0
2010-04-30,58108.0
2010-05-31,57839.0
2010-06-30,56480.0
2010-07-31,56183.0
2010-08-31,55038.0
2010-09-30,62243.0
2010-10-31,56249.0
2010-11-30,57592.0
2010-12-31,61676.0
2011-01-31,57809.0
2011-02-28,57092.0
2011-03-31,65484.0
2011-04-30,60586.0
2011-05-31,56720.0
2011-06-30,58618.0
2011-07-31,54274.0
2011-08-31,57513.0
2011-09-30,60023.0
2011-10-31,55797.0
2011-11-30,55488.0
2011-12-31,61210.0
2012-01-31,58538.0
2012-02-29,58742.0
2012-03-31,71851.0
2012-04-30,70106.0
2012-05-31,60468.0
2012-06-30,57358.0
2012-07-31,55726.0
2012-08-31,58144.0
2012-09-30,60736.0
2012-10-31,59115.0
2012-11-30,57863.0
2012-12-31,62530.0
2013-01-31,61135.0
2013-02-28,55050.0
2013-03-31,62507.0
2013-04-30,71540.0
2013-05-31,57318.0
2013-06-30,57766.0
2013-07-31,59118.0
2013-08-31,56275.0
2013-09-30,60637.0
2013-10-31,59352.0
2013-11-30,57516.0
2013-12-31,61971.0
2014-01-31,61919.0
2014-02-28,63157.0
2014-03-31,63958.0
2014-04-30,71580.0
2014-05-31,58081.0
2014-06-30,59656.0
2014-07-31,60561.0
2014-08-31,58735.0
2014-09-30,63016.0
2014-10-31,61846.0
2014-11-30,58576.0
2014-12-31,64069.0
2015-01-31,61411.0
2015-02-28,62230.0
2015-03-31,64200.0
2015-04-30,71188.0
2015-05-31,59545.0
2015-06-30,62411.0
2015-07-31,62448.0
2015-08-31,59547.0
2015-09-30,63082.0
2015-10-31,63153.0
2015-11-30,59684.0
2015-12-31,61934.0
2016-01-31,63002.0
2016-02-29,61534.0
2016-03-31,64119.0
2016-04-30,70656.0
2016-05-31,60260.0
2016-06-30,62820.0
2016-07-31,63414.0
2016-08-31,61702.0
2016-09-30,65140.0
2016-10-31,62969.0
2016-11-30,60194.0
2016-12-31,62104.0
2017-01-31,65268.0
2017-02-28,60979.0
2017-03-31,65474.0
2017-04-30,73031.0
2017-05-31,63682.0
2017-06-30,67500.0
2017-07-31,64454.0
2017-08-31,61602.0
2017-09-30,66999.0
2017-10-31,65677.0
2017-11-30,62723.0
2017-12-31,64356.0
2018-01-31,67680.0
2018-02-28,64699.0
2018-03-31,67849.0
2018-04-30,72909.0
2018-05-31,63173.0
2018-06-30,65163.0
2018-07-31,68603.0
2018-08-31,65465.0
2018-09-30,67981.0
2018-10-31,69959.0
2018-11-30,64509.0
2018-12-31,66843.0
2019-01-31,69463.0
2019-02-28,65326.0
2019-03-31,70240.0
2019-04-30,75760.0
2019-05-31,66118.0
2019-06-30,69409.0
2019-07-31,71864.0
2019-08-31,65874.0
2019-09-30,71646.0
2019-10-31,72095.0
2019-11-30,64269.0
2019-12-31,68916.0
2020-01-31,73523.0
2020-02-29,66538.0
2020-03-31,80512.0
2020-04-30,111178.0
2020-05-31,102339.0
2020-06-30,87140.0
2020-07-31,86591.0
2020-08-31,82591.0
2020-09-30,87747.0
2020-10-31,79072.0
2020-11-30,84991.0
2020-12-31,88452.0
2021-01-31,87736.0
2021-02-28,81123.0
2021-03-31,102799.0
2021-04-30,94591.0
2021-05-31,84914.0
2021-06-30,85226.0
2021-07-31,82315.0
2021-08-31,81400.0
2021-09-30,86504.0
2021-10-31,77958.0
2021-11-30,76750.0
2021-12-31,85032.0
2022-01-31,86376.0
2022-02-28,81312.0
2022-03-31,99787.0
2022-04-30,89617.0
2022-05-31,82138.0
2022-06-30,94496.0
2022-07-31,86860.0
2022-08-31,83772.0
2022-09-30,91992.0
2022-10-31,89848.0
2022-11-30,90383.0
2022-12-31,104391.0
2023-01-31,103326.0
2023-02-28,89189.0
2023-03-31,109071.0
2023-04-30,109581.0
2023-05-31,92444.0
2023-06-30,100149.0
2023-07-31,107203.0
2023-08-31,87613.0
2023-09-30,91559.0
2023-10-31,104752.0
2023-11-30,91875.0
2023-12-31,91044.0
2024-01-31,105574.0
2024-02-29,93074.0
2024-03-31,109221.0
2024-04-30,113353.0
2024-05-31,96173.0
2024-06-30,97804.0
2024-07-31,111113.0
2024-08-31,93040.0
2024-09-30,97171.0
2024-10-31,108919.0
2024-11-30,93704.0
2024-12-31,105580.0
2025-01-31,108118.0
2025-02-28,97764.0
2025-03-31,115733.0
2025-04-30,113491.0
2025-05-31,101525.0
2025-06-30,112157.0
2025-07-31,108931.0
2025-08-31,102579.0
2025-09-30,109352.0
2025-10-31,112093.0
2025-11-30,97442.0
2025-12-31,106741.0
2026-01-31,104911.0
2026-02-28,108773.0
2026-03-31,120612.0
2026-04-30,121717.0
2026-05-31,110822.0
2026-06-30,111831.0
2026-07-31,115570.0
