date,RPMB54Q
2016-09-30,13431.0
2016-10-31,11563.0
2016-11-30,-3463.0
2016-12-31,7568.0
2017-01-31,4622.0
2017-02-28,9344.0
2017-03-31,16069.0
2017-04-30,9204.0
2017-05-31,6618.0
2017-06-30,8745.0
2017-07-31,-733.0
2017-08-31,17110.0
2017-09-30,4689.0
2017-10-31,3830.0
2017-11-30,9920.0
2017-12-31,2773.0
2018-01-31,15747.0
2018-02-28,-2872.0
2018-03-31,-1887.0
2018-04-30,2767.0
2018-05-31,22855.0
2018-06-30,-2826.0
2018-07-31,-4727.0
2018-08-31,6406.0
2018-09-30,-243.0
2018-10-31,4592.0
2018-11-30,2039.0
2018-12-31,12241.0
2019-01-31,-2133.0
2019-02-28,5783.0
2019-03-31,6048.0
2019-04-30,8198.0
2019-05-31,4861.0
2019-06-30,3495.0
2019-07-31,14375.0
2019-08-31,14229.0
2019-09-30,6177.0
2019-10-31,1253.0
2019-11-30,12230.0
2019-12-31,7027.0
2020-01-31,9524.0
2020-02-29,8940.0
2020-03-31,70472.0
2020-04-30,45102.0
2020-05-31,54716.0
2020-06-30,15571.0
2020-07-31,25619.0
2020-08-31,-903.0
2020-09-30,6950.0
2020-10-31,32389.0
2020-11-30,29863.0
2020-12-31,12243.0
2021-01-31,32342.0
2021-02-28,17837.0
2021-03-31,13013.0
2021-04-30,19047.0
2021-05-31,5851.0
2021-06-30,19032.0
2021-07-31,5604.0
2021-08-31,9088.0
2021-09-30,11654.0
2021-10-31,15352.0
2021-11-30,14090.0
2021-12-31,-367.0
2022-01-31,6349.0
2022-02-28,6754.0
2022-03-31,27118.0
2022-04-30,-1336.0
2022-05-31,21413.0
2022-06-30,-1740.0
2022-07-31,11881.0
2022-08-31,13186.0
2022-09-30,73381.0
2022-10-31,-23036.0
2022-11-30,-30045.0
2022-12-31,-36556.0
2023-01-31,31023.0
2023-02-28,-4474.0
2023-03-31,-20085.0
2023-04-30,1259.0
2023-05-31,-3107.0
2023-06-30,-2243.0
2023-07-31,-3219.0
2023-08-31,-3562.0
2023-09-30,-28224.0
2023-10-31,10929.0
2023-11-30,-3711.0
2023-12-31,15837.0
2024-01-31,-1596.0
2024-02-29,9513.0
2024-03-31,11306.0
2024-04-30,9641.0
2024-05-31,6043.0
2024-06-30,3690.0
2024-07-31,14695.0
2024-08-31,2852.0
2024-09-30,8129.0
2024-10-31,17889.0
2024-11-30,1831.0
2024-12-31,5454.0
2025-01-31,29459.0
2025-02-28,1921.0
2025-03-31,9893.0
2025-04-30,5516.0
2025-05-31,5852.0
2025-06-30,11813.0
2025-07-31,9028.0
2025-08-31,12154.0
2025-09-30,15193.0
2025-10-31,9522.0
2025-11-30,17464.0
2025-12-31,15804.0
2026-01-31,-8713.0
2026-02-28,13943.0
2026-03-31,23298.0
2026-04-30,9579.0
2026-05-31,11452.0
2026-06-30,15516.0
2026-07-31,-10113.0
