date,YWMB85C
2020-09-17,0.0
2020-11-05,0.0
2020-12-17,104.0
2021-02-04,0.0
2021-03-18,53.0
2021-05-06,0.0
2021-06-24,8.0
2021-08-05,0.0
2021-09-23,184.0
2021-11-04,510.0
2021-12-16,1638.0
2022-02-03,3.0
2022-03-17,1.0
2022-05-05,0.0
2022-06-16,315.0
2022-08-04,481.0
2022-09-22,6512.0
2022-11-03,2240.0
2022-12-15,0.0
2023-02-02,214.0
2023-03-23,0.0
2023-05-11,5.0
2023-06-01,1.0
2023-08-03,0.0
2023-09-21,1.0
2023-11-02,0.0
2023-12-14,0.0
2024-02-01,0.0
2024-03-21,0.0
2024-05-09,0.0
2024-06-20,0.0
2024-08-01,1.0
2024-09-19,0.0
2024-11-07,0.0
2024-12-19,0.0
2025-02-06,0.0
2025-03-20,0.0
2025-05-08,0.0
2025-06-19,0.0
2025-08-07,0.0
2025-09-18,0.0
2025-11-06,0.0
2025-12-18,0.0
2026-02-05,0.0
2026-03-19,0.0
2026-04-30,0.0
2026-06-18,13.0
