date,RPWB59A
2020-08-12,4710.0
2020-08-19,4667.0
2020-08-26,4647.0
2020-09-02,4612.0
2020-09-09,4698.0
2020-09-16,4695.0
2020-09-23,4784.0
2020-09-30,4723.0
2020-10-07,4733.0
2020-10-14,4682.0
2020-10-21,4640.0
2020-10-28,4695.0
2020-11-04,4702.0
2020-11-11,4621.0
2020-11-18,4590.0
2020-11-25,4562.0
2020-12-02,4580.0
2020-12-09,4556.0
2020-12-16,4526.0
2020-12-23,4516.0
2020-12-30,4489.0
2021-01-06,4498.0
2021-01-13,4482.0
2021-01-20,4478.0
2021-01-27,4458.0
2021-02-03,4476.0
2021-02-10,4414.0
2021-02-17,4414.0
2021-02-24,4316.0
2021-03-03,5774.0
2021-03-10,4356.0
2021-03-17,4362.0
2021-03-24,4412.0
2021-03-31,4386.0
2021-04-07,4396.0
2021-04-14,4388.0
2021-04-21,4345.0
2021-04-28,4346.0
2021-05-05,4350.0
2021-05-12,4293.0
2021-05-19,4276.0
2021-05-26,4287.0
2021-06-02,4275.0
2021-06-09,4288.0
2021-06-16,4294.0
2021-06-23,4329.0
2021-06-30,4377.0
2021-07-07,4393.0
2021-07-14,4363.0
2021-07-21,4429.0
2021-07-28,4367.0
2021-08-04,4357.0
2021-08-11,4365.0
2021-08-18,4401.0
2021-08-25,4392.0
2021-09-01,4376.0
2021-09-08,4389.0
2021-09-15,4362.0
2021-09-22,4420.0
2021-09-29,4487.0
2021-10-06,4891.0
2021-10-13,5560.0
2021-10-20,6028.0
2021-10-27,6679.0
2021-11-03,7073.0
2021-11-10,7238.0
2021-11-17,7817.0
2021-11-24,8041.0
2021-12-01,8116.0
2021-12-08,9211.0
2021-12-15,9213.0
2021-12-22,9126.0
2021-12-29,9030.0
2022-01-05,9010.0
2022-01-12,9044.0
2022-01-19,7137.0
2022-01-26,7474.0
2022-02-02,7430.0
2022-02-09,7325.0
2022-02-16,7153.0
2022-02-23,5581.0
2022-03-02,5514.0
2022-03-09,5645.0
2022-03-16,7185.0
2022-03-23,7473.0
2022-03-30,7521.0
2022-04-06,7404.0
2022-04-13,7297.0
2022-04-20,7306.0
2022-04-27,7633.0
2022-05-04,7471.0
2022-05-11,7726.0
2022-05-18,7684.0
2022-05-25,7192.0
2022-06-01,7767.0
2022-06-08,7816.0
2022-06-15,7957.0
2022-06-22,8028.0
2022-06-29,7930.0
2022-07-06,8388.0
2022-07-13,8302.0
2022-07-20,7888.0
2022-07-27,7527.0
2022-08-03,7638.0
2022-08-10,7657.0
2022-08-17,7887.0
2022-08-24,8477.0
2022-08-31,7918.0
2022-09-07,8290.0
2022-09-14,8909.0
2022-09-21,8803.0
2022-09-28,9532.0
2022-10-05,9003.0
2022-10-12,9086.0
2022-10-19,9683.0
2022-10-26,9424.0
2022-11-02,9373.0
2022-11-09,9168.0
2022-11-16,8853.0
2022-11-23,8888.0
2022-11-30,9231.0
2022-12-07,8974.0
2022-12-14,8595.0
2022-12-21,8419.0
2022-12-28,8469.0
2023-01-04,8466.0
2023-01-11,8921.0
2023-01-18,8255.0
2023-01-25,7797.0
2023-02-01,8411.0
2023-02-08,9407.0
2023-02-15,10178.0
2023-02-22,10374.0
2023-03-01,12277.0
2023-03-08,12091.0
2023-03-15,12149.0
2023-03-22,11603.0
2023-03-29,11594.0
2023-04-05,11401.0
2023-04-12,11029.0
2023-04-19,11515.0
2023-04-26,11368.0
2023-05-03,9719.0
2023-05-10,9652.0
2023-05-17,10018.0
2023-05-24,10058.0
2023-05-31,9703.0
2023-06-07,9555.0
2023-06-14,9376.0
2023-06-21,9234.0
2023-06-28,9301.0
2023-07-05,9388.0
2023-07-12,9248.0
2023-07-19,9485.0
