date,LPMVVHR
2016-09-30,1337240.0
2016-10-31,1342452.0
2016-11-30,1341578.0
2016-12-31,1345171.0
2017-01-31,1349011.0
2017-02-28,1351999.0
2017-03-31,1354979.0
2017-04-30,1359803.0
2017-05-31,1357879.0
2017-06-30,1363461.0
2017-07-31,1367255.0
2017-08-31,1370775.0
2017-09-30,1372785.0
2017-10-31,1376480.0
2017-11-30,1380173.0
2017-12-31,1380573.0
2018-01-31,1385162.0
2018-02-28,1385650.0
2018-03-31,1388850.0
2018-04-30,1388081.0
2018-05-31,1394248.0
2018-06-30,1398306.0
2018-07-31,1401839.0
2018-08-31,1405740.0
2018-09-30,1407675.0
2018-10-31,1411842.0
2018-11-30,1414459.0
2018-12-31,1419921.0
2019-01-31,1422812.0
2019-02-28,1428421.0
2019-03-31,1431077.0
2019-04-30,1438234.0
2019-05-31,1444654.0
2019-06-30,1448739.0
2019-07-31,1453214.0
2019-08-31,1458584.0
2019-09-30,1464330.0
2019-10-31,1468989.0
2019-11-30,1473886.0
2019-12-31,1477471.0
2020-01-31,1480137.0
2020-02-29,1486279.0
2020-03-31,1502916.0
2020-04-30,1523506.0
2020-05-31,1550211.0
2020-06-30,1562341.0
2020-07-31,1569312.0
2020-08-31,1573616.0
2020-09-30,1577101.0
2020-10-31,1589626.0
2020-11-30,1608204.0
2020-12-31,1629644.0
2021-01-31,1647781.0
2021-02-28,1666570.0
2021-03-31,1684310.0
2021-04-30,1700245.0
2021-05-31,1706921.0
2021-06-30,1716844.0
2021-07-31,1721272.0
2021-08-31,1727557.0
2021-09-30,1733536.0
2021-10-31,1741493.0
2021-11-30,1745269.0
2021-12-31,1748191.0
2022-01-31,1754497.0
2022-02-28,1760056.0
2022-03-31,1767313.0
2022-04-30,1772831.0
2022-05-31,1780067.0
2022-06-30,1783522.0
2022-07-31,1788688.0
2022-08-31,1793974.0
2022-09-30,1802002.0
2022-10-31,1806061.0
2022-11-30,1811561.0
2022-12-31,1813638.0
2023-01-31,1815692.0
2023-02-28,1816251.0
2023-03-31,1812454.0
2023-04-30,1815907.0
2023-05-31,1813949.0
2023-06-30,1816531.0
2023-07-31,1817993.0
2023-08-31,1819383.0
2023-09-30,1818635.0
2023-10-31,1821952.0
2023-11-30,1825675.0
2023-12-31,1832128.0
2024-01-31,1843475.0
2024-02-29,1850514.0
2024-03-31,1860645.0
2024-04-30,1869843.0
2024-05-31,1876032.0
2024-06-30,1884754.0
2024-07-31,1891620.0
2024-08-31,1900225.0
2024-09-30,1908763.0
2024-10-31,1927058.0
2024-11-30,1928824.0
2024-12-31,1934970.0
2025-01-31,1945514.0
2025-02-28,1950058.0
2025-03-31,1957547.0
2025-04-30,1965229.0
2025-05-31,1969564.0
2025-06-30,1977079.0
2025-07-31,1985285.0
2025-08-31,1990523.0
2025-09-30,1998558.0
2025-10-31,2005240.0
2025-11-30,2014395.0
2025-12-31,2019434.0
2026-01-31,2024012.0
2026-02-28,2029966.0
2026-03-31,2035102.0
2026-04-30,2041312.0
2026-05-31,2046883.0
2026-06-30,2052453.0
2026-07-31,2055835.0
