date,ANBV
2015-05-31,49972.0
2015-06-30,50626.0
2015-07-31,58037.0
2015-08-31,50345.0
2015-09-30,50218.0
2015-10-31,52663.0
2015-11-30,49799.0
2015-12-31,51805.0
2016-01-31,69822.0
2016-02-29,55628.0
2016-03-31,56812.0
2016-04-30,56477.0
2016-05-31,51683.0
2016-06-30,53552.0
2016-07-31,61648.0
2016-08-31,54073.0
2016-09-30,53541.0
2016-10-31,56638.0
2016-11-30,52713.0
2016-12-31,55557.0
2017-01-31,75098.0
2017-02-28,61819.0
2017-03-31,60584.0
2017-04-30,59316.0
2017-05-31,54076.0
2017-06-30,56096.0
2017-07-31,63402.0
2017-08-31,55682.0
2017-09-30,55733.0
2017-10-31,60358.0
2017-11-30,55653.0
2017-12-31,58398.0
2018-01-31,72668.0
2018-02-28,62164.0
2018-03-31,62491.0
2018-04-30,61381.0
2018-05-31,56045.0
2018-06-30,58682.0
2018-07-31,68805.0
2018-08-31,57657.0
2018-09-30,57562.0
2018-10-31,61658.0
2018-11-30,57403.0
2018-12-31,60186.0
2019-01-31,79059.0
2019-02-28,63651.0
2019-03-31,67363.0
2019-04-30,62238.0
2019-05-31,58029.0
2019-06-30,59711.0
2019-07-31,68247.0
2019-08-31,59769.0
2019-09-30,60165.0
2019-10-31,60997.0
2019-11-30,57584.0
2019-12-31,60902.0
2020-01-31,80096.0
2020-02-29,63754.0
2020-03-31,65328.0
2020-04-30,52663.0
2020-05-31,49125.0
2020-06-30,51930.0
2020-07-31,60432.0
2020-08-31,56756.0
2020-09-30,56188.0
2020-10-31,62162.0
2020-11-30,58729.0
2020-12-31,62068.0
2021-01-31,83031.0
2021-02-28,65150.0
2021-03-31,66792.0
2021-04-30,60231.0
2021-05-31,61118.0
2021-06-30,62156.0
2021-07-31,72868.0
2021-08-31,64329.0
2021-09-30,64967.0
2021-10-31,71583.0
2021-11-30,66674.0
2021-12-31,71336.0
2022-01-31,95122.0
2022-02-28,73147.0
2022-03-31,79200.0
2022-04-30,72775.0
2022-05-31,69922.0
2022-06-30,72009.0
2022-07-31,82036.0
2022-08-31,73890.0
2022-09-30,74601.0
2022-10-31,74752.0
2022-11-30,74342.0
2022-12-31,77023.0
2023-01-31,107460.0
2023-02-28,79192.0
2023-03-31,84917.0
2023-04-30,75362.0
2023-05-31,75710.0
2023-06-30,78416.0
2023-07-31,88831.0
2023-08-31,77197.0
2023-09-30,77117.0
2023-10-31,78262.0
2023-11-30,78325.0
2023-12-31,83051.0
2024-01-31,109094.0
2024-02-29,83777.0
2024-03-31,90482.0
2024-04-30,77724.0
2024-05-31,77151.0
2024-06-30,81063.0
2024-07-31,91178.0
2024-08-31,79878.0
2024-09-30,79272.0
2024-10-31,80420.0
2024-11-30,80736.0
2024-12-31,86241.0
2025-01-31,117069.0
2025-02-28,86908.0
2025-03-31,96577.0
2025-04-30,83098.0
2025-05-31,82016.0
2025-06-30,85271.0
2025-07-31,99792.0
2025-08-31,86378.0
2025-09-30,85512.0
2025-10-31,86820.0
2025-11-30,87439.0
2025-12-31,92975.0
2026-01-31,133654.0
2026-02-28,96203.0
2026-03-31,102411.0
2026-04-30,85844.0
2026-05-31,88441.0
2026-06-30,94124.0
2026-07-31,104343.0
