date,ANBV
1997-04-30,21841.0
1997-05-31,21984.0
1997-06-30,21814.0
1997-07-31,25882.0
1997-08-31,23720.0
1997-09-30,24189.0
1997-10-31,26924.0
1997-11-30,27717.0
1997-12-31,27060.0
1998-01-31,35761.0
1998-02-28,27846.0
1998-03-31,25349.0
1998-04-30,24715.0
1998-05-31,22000.0
1998-06-30,22731.0
1998-07-31,30142.0
1998-08-31,24945.0
1998-09-30,25093.0
1998-10-31,34036.0
1998-11-30,24029.0
1998-12-31,28361.0
1999-01-31,35474.0
1999-02-28,30279.0
1999-03-31,27262.0
1999-04-30,27053.0
1999-05-31,23587.0
1999-06-30,24141.0
1999-07-31,31769.0
1999-08-31,26478.0
1999-09-30,27899.0
1999-10-31,35937.0
1999-11-30,25809.0
1999-12-31,28295.0
2000-01-31,39464.0
2000-02-29,30461.0
2000-03-31,29401.0
2000-04-30,29737.0
2000-05-31,29411.0
2000-06-30,29918.0
2000-07-31,32621.0
2000-08-31,31270.0
2000-09-30,29478.0
2000-10-31,29270.0
2000-11-30,29046.0
2000-12-31,29548.0
2001-01-31,38436.0
2001-02-28,34887.0
2001-03-31,31444.0
2001-04-30,31181.0
2001-05-31,30163.0
2001-06-30,30496.0
2001-07-31,33646.0
2001-08-31,31411.0
2001-09-30,30353.0
2001-10-31,29695.0
2001-11-30,29239.0
2001-12-31,30065.0
2002-01-31,37795.0
2002-02-28,33782.0
2002-03-31,31897.0
2002-04-30,31528.0
2002-05-31,29626.0
2002-06-30,30304.0
2002-07-31,34063.0
2002-08-31,31742.0
2002-09-30,30971.0
2002-10-31,30767.0
2002-11-30,30018.0
2002-12-31,30919.0
2003-01-31,36882.0
2003-02-28,34081.0
2003-03-31,34173.0
2003-04-30,33451.0
2003-05-31,31174.0
2003-06-30,33021.0
2003-07-31,35678.0
2003-08-31,33228.0
2003-09-30,33142.0
2003-10-31,33093.0
2003-11-30,32408.0
2003-12-31,33856.0
2004-01-31,39046.0
2004-02-29,38365.0
2004-03-31,38269.0
2004-04-30,33340.0
2004-05-31,34338.0
2004-06-30,34692.0
2004-07-31,38167.0
2004-08-31,36232.0
2004-09-30,35589.0
2004-10-31,35560.0
2004-11-30,35481.0
2004-12-31,36725.0
2005-01-31,44690.0
2005-02-28,39977.0
2005-03-31,39181.0
2005-04-30,36705.0
2005-05-31,36320.0
2005-06-30,36414.0
2005-07-31,41174.0
2005-08-31,38536.0
2005-09-30,38927.0
2005-10-31,37883.0
2005-11-30,36953.0
2005-12-31,38854.0
2006-01-31,47483.0
2006-02-28,42615.0
2006-03-31,42994.0
2006-04-30,38957.0
2006-05-31,38597.0
2006-06-30,39453.0
2006-07-31,43851.0
2006-08-31,40628.0
2006-09-30,40029.0
2006-10-31,39886.0
2006-11-30,38531.0
2006-12-31,41630.0
2007-01-31,50895.0
2007-02-28,46651.0
2007-03-31,44758.0
2007-04-30,40674.0
2007-05-31,40749.0
2007-06-30,41436.0
2007-07-31,46673.0
2007-08-31,42442.0
2007-09-30,42221.0
2007-10-31,41950.0
2007-11-30,41353.0
2007-12-31,43006.0
2008-01-31,55806.0
2008-02-29,49061.0
2008-03-31,46950.0
2008-04-30,42446.0
2008-05-31,41258.0
2008-06-30,42178.0
2008-07-31,47425.0
2008-08-31,42130.0
2008-09-30,42313.0
2008-10-31,40594.0
2008-11-30,39339.0
2008-12-31,40172.0
2009-01-31,51080.0
2009-02-28,44477.0
2009-03-31,41626.0
2009-04-30,40178.0
2009-05-31,36937.0
2009-06-30,39814.0
2009-07-31,44628.0
2009-08-31,40347.0
2009-09-30,39728.0
2009-10-31,39639.0
2009-11-30,39313.0
2009-12-31,40441.0
2010-01-31,49555.0
2010-02-28,47000.0
2010-03-31,49447.0
2010-04-30,44388.0
2010-05-31,41381.0
2010-06-30,43885.0
2010-07-31,47059.0
2010-08-31,43150.0
2010-09-30,43271.0
2010-10-31,41626.0
2010-11-30,41663.0
2010-12-31,43245.0
2011-01-31,56122.0
2011-02-28,48646.0
2011-03-31,50188.0
2011-04-30,43464.0
2011-05-31,44132.0
2011-06-30,46208.0
2011-07-31,50665.0
2011-08-31,46149.0
2011-09-30,44980.0
2011-10-31,44041.0
2011-11-30,44005.0
2011-12-31,45823.0
2012-01-31,57132.0
2012-02-29,47618.0
2012-03-31,52222.0
2012-04-30,47291.0
2012-05-31,43898.0
2012-06-30,46287.0
2012-07-31,51775.0
2012-08-31,45812.0
2012-09-30,45646.0
2012-10-31,45282.0
2012-11-30,43771.0
2012-12-31,47362.0
2013-01-31,63024.0
2013-02-28,50552.0
2013-03-31,51098.0
2013-04-30,51920.0
2013-05-31,51019.0
2013-06-30,51406.0
2013-07-31,53605.0
2013-08-31,47080.0
2013-09-30,47523.0
2013-10-31,46541.0
2013-11-30,46345.0
2013-12-31,49420.0
2014-01-31,59974.0
2014-02-28,50552.0
2014-03-31,54424.0
2014-04-30,52442.0
2014-05-31,47107.0
2014-06-30,48760.0
2014-07-31,55493.0
2014-08-31,49503.0
2014-09-30,49109.0
2014-10-31,52855.0
2014-11-30,49585.0
2014-12-31,51028.0
2015-01-31,66248.0
2015-02-28,53375.0
2015-03-31,55628.0
2015-04-30,54209.0
