date,RPMB58Q
2016-09-30,9055.0
2016-10-31,-2999.0
2016-11-30,9109.0
2016-12-31,5655.0
2017-01-31,-3187.0
2017-02-28,9807.0
2017-03-31,14857.0
2017-04-30,3902.0
2017-05-31,11410.0
2017-06-30,4344.0
2017-07-31,853.0
2017-08-31,10089.0
2017-09-30,9630.0
2017-10-31,2972.0
2017-11-30,7187.0
2017-12-31,11877.0
2018-01-31,-2359.0
2018-02-28,-1592.0
2018-03-31,10600.0
2018-04-30,-5074.0
2018-05-31,3554.0
2018-06-30,11763.0
2018-07-31,5179.0
2018-08-31,-521.0
2018-09-30,16804.0
2018-10-31,9637.0
2018-11-30,11920.0
2018-12-31,13625.0
2019-01-31,-3993.0
2019-02-28,802.0
2019-03-31,10177.0
2019-04-30,2656.0
2019-05-31,-38.0
2019-06-30,11427.0
2019-07-31,15404.0
2019-08-31,22898.0
2019-09-30,7630.0
2019-10-31,11365.0
2019-11-30,4425.0
2019-12-31,8099.0
2020-01-31,-5792.0
2020-02-29,5575.0
2020-03-31,52807.0
2020-04-30,-11903.0
2020-05-31,8747.0
2020-06-30,10794.0
2020-07-31,665.0
2020-08-31,-3975.0
2020-09-30,4084.0
2020-10-31,9233.0
2020-11-30,18795.0
2020-12-31,1720.0
2021-01-31,-2179.0
2021-02-28,-6041.0
2021-03-31,3049.0
2021-04-30,-2717.0
2021-05-31,6298.0
2021-06-30,31987.0
2021-07-31,-13347.0
2021-08-31,2876.0
2021-09-30,4193.0
2021-10-31,13156.0
2021-11-30,2721.0
2021-12-31,3358.0
2022-01-31,7061.0
2022-02-28,4725.0
2022-03-31,22459.0
2022-04-30,-5250.0
2022-05-31,13111.0
2022-06-30,-2012.0
2022-07-31,10282.0
2022-08-31,3391.0
2022-09-30,25393.0
2022-10-31,-29433.0
2022-11-30,-19115.0
2022-12-31,1544.0
2023-01-31,-7621.0
2023-02-28,-16867.0
2023-03-31,-1665.0
2023-04-30,-1712.0
2023-05-31,2197.0
2023-06-30,-194.0
2023-07-31,6819.0
2023-08-31,-1162.0
2023-09-30,3572.0
2023-10-31,-2038.0
2023-11-30,12975.0
2023-12-31,6472.0
2024-01-31,-2499.0
2024-02-29,-13836.0
2024-03-31,9509.0
2024-04-30,1389.0
2024-05-31,610.0
2024-06-30,4567.0
2024-07-31,8944.0
2024-08-31,3416.0
2024-09-30,16255.0
2024-10-31,11948.0
2024-11-30,-1708.0
2024-12-31,4818.0
2025-01-31,8766.0
2025-02-28,5989.0
2025-03-31,16385.0
2025-04-30,1400.0
2025-05-31,8876.0
2025-06-30,20322.0
2025-07-31,8349.0
2025-08-31,10167.0
2025-09-30,19679.0
2025-10-31,13603.0
2025-11-30,16134.0
2025-12-31,13295.0
2026-01-31,11365.0
2026-02-28,-3107.0
2026-03-31,20819.0
2026-04-30,12096.0
2026-05-31,-27.0
2026-06-30,39122.0
2026-07-31,-12.0
