date,iltr_net_daily
2021-06-22,0.0
2021-06-29,0.0
2021-07-06,165.0
2021-07-08,-560.0
2021-07-13,0.0
2021-07-20,0.0
2021-07-27,20.0
2021-08-03,75.0
2021-08-05,-360.0
2021-08-10,0.0
2021-08-17,0.0
2021-08-24,0.0
2021-08-31,0.0
2021-09-07,315.0
2021-09-09,-440.0
2021-09-14,0.0
2021-09-21,0.0
2021-09-28,5.0
2021-10-05,610.0
2021-10-07,-640.0
2021-10-12,0.0
2021-10-19,5.0
2021-10-26,11.0
2021-11-02,600.0
2021-11-04,-590.0
2021-11-09,150.0
2021-11-16,0.0
2021-11-23,0.0
2021-11-30,0.0
2021-12-07,500.0
2021-12-09,-500.0
2021-12-14,5.0
2021-12-21,100.0
2022-01-04,205.0
2022-01-06,-185.0
2022-01-11,10.0
2022-01-18,75.0
2022-01-25,0.0
2022-02-01,215.0
2022-02-03,-75.0
2022-02-08,5.0
2022-02-15,0.0
2022-02-22,80.0
2022-03-01,310.0
2022-03-03,-320.0
2022-03-08,15.0
2022-03-15,0.0
2022-03-22,155.0
2022-03-29,315.0
2022-04-05,740.0
2022-04-07,-626.0
2022-04-12,50.0
2022-04-19,5.0
2022-04-26,5.0
2022-05-03,590.0
2022-05-05,-750.0
2022-05-10,15.0
2022-05-17,275.0
2022-05-24,10.0
2022-05-31,0.0
2022-06-07,500.0
2022-06-09,-605.0
2022-06-14,5.0
2022-06-21,10.0
2022-06-28,100.0
2022-07-05,170.0
2022-07-07,-290.0
2022-07-12,0.0
2022-07-19,0.0
2022-07-26,0.0
2022-08-02,320.0
2022-08-04,-300.0
2022-08-09,0.0
2022-08-16,5.0
2022-08-23,7.0
2022-08-30,0.0
2022-09-06,0.0
2022-09-08,-795.0
2022-09-13,5.0
2022-09-20,0.0
2022-09-27,255.0
2022-10-04,115.0
2022-10-06,-800.0
2022-10-11,150.0
2022-10-18,100.0
2022-10-25,230.0
2022-11-01,1095.0
2022-11-03,-890.0
2022-11-08,0.0
2022-11-15,45.0
2022-11-22,40.0
2022-11-29,0.0
2022-12-06,630.0
2022-12-08,-615.0
2022-12-13,0.0
2022-12-20,105.0
2023-01-03,150.0
2023-01-05,-170.0
2023-01-10,5.0
2023-01-17,5.0
2023-01-24,0.0
2023-01-31,0.0
2023-02-07,15.0
2023-02-09,-332.0
2023-02-14,0.0
2023-02-21,10.0
2023-02-28,0.0
2023-03-07,0.0
2023-03-09,-260.0
2023-03-14,0.0
2023-03-21,10.0
2023-03-28,10.0
2023-04-04,5.0
2023-04-06,-595.0
2023-04-11,0.0
2023-04-18,0.0
2023-04-25,10.0
2023-05-02,15.0
2023-05-04,-1180.0
2023-05-09,20.0
2023-05-16,5.0
2023-05-23,0.0
2023-05-30,0.0
2023-06-06,10.0
2023-06-08,-735.0
2023-06-13,20.0
2023-06-20,10.0
2023-06-27,25.0
2023-07-04,23.0
2023-07-06,-160.0
2023-07-11,5.0
2023-07-18,15.0
2023-07-25,15.0
2023-08-01,10.0
2023-08-08,15.0
2023-08-10,-25.0
2023-08-15,0.0
2023-08-22,15.0
2023-08-29,15.0
2023-09-05,40.0
2023-09-07,-20.0
2023-09-12,15.0
2023-09-19,0.0
2023-09-26,55.0
2023-10-03,25.0
2023-10-05,-15.0
2023-10-10,500.0
2023-10-17,50.0
2023-10-24,10.0
2023-10-31,50.0
2023-11-07,20.0
2023-11-09,-40.0
2023-11-14,70.0
2023-11-21,0.0
2023-11-28,100.0
2023-12-05,7.0
2023-12-07,-65.0
2023-12-12,5.0
2023-12-19,165.0
2024-01-02,513.0
2024-01-04,-58.0
2024-01-09,29.0
2024-01-16,0.0
2024-01-23,160.0
2024-01-30,0.0
2024-02-06,25.0
2024-02-08,-55.0
2024-02-13,0.0
2024-02-20,0.0
2024-02-27,0.0
2024-03-05,500.0
2024-03-07,-110.0
2024-03-12,5.0
2024-03-19,5.0
2024-03-26,40.0
2024-04-02,0.0
2024-04-04,-635.0
2024-04-09,5.0
2024-04-16,5.0
2024-04-23,0.0
2024-04-30,10.0
2024-05-08,500.0
2024-05-09,-190.0
2024-05-14,0.0
2024-05-21,5.0
2024-05-28,140.0
2024-06-04,82.0
2024-06-06,-177.0
2024-06-11,5.0
2024-06-18,40.0
2024-06-25,0.0
2024-07-02,1178.0
2024-07-04,-702.0
2024-07-09,0.0
2024-07-16,5.0
2024-07-23,25.0
2024-07-30,0.0
2024-08-06,525.0
2024-08-08,-25.0
2024-08-13,700.0
2024-08-20,45.0
2024-08-27,0.0
2024-09-03,600.0
2024-09-05,-550.0
2024-09-10,180.0
2024-09-17,50.0
2024-09-24,160.0
2024-10-01,35.0
2024-10-03,-20.0
2024-10-08,435.0
2024-10-15,0.0
2024-10-22,110.0
2024-10-29,360.0
2024-11-05,920.0
2024-11-07,-645.0
2024-11-12,15.0
2024-11-19,425.0
2024-11-26,245.0
2024-12-03,710.0
2024-12-05,-127.0
2024-12-10,150.0
2024-12-17,518.0
2025-01-07,718.0
2025-01-09,-1208.0
2025-01-14,490.0
2025-01-21,1055.0
2025-01-28,1080.0
2025-02-04,775.0
2025-02-06,-1270.0
2025-02-11,350.0
2025-02-18,155.0
2025-02-25,150.0
2025-03-04,1330.0
2025-03-06,-990.0
2025-03-11,2127.0
2025-03-18,1335.0
2025-03-25,1337.0
2025-04-01,1600.0
2025-04-03,-940.0
2025-04-08,1410.0
2025-04-15,1340.0
2025-04-22,640.0
2025-04-29,350.0
2025-05-06,2615.0
2025-05-08,-920.0
2025-05-13,555.0
2025-05-15,-15.0
2025-05-20,720.0
2025-05-22,-425.0
2025-05-27,1083.0
2025-05-29,-245.0
2025-06-03,421.0
2025-06-05,-710.0
2025-06-10,1240.0
2025-06-12,-150.0
2025-06-17,2110.0
2025-06-19,-518.0
2025-06-24,1352.0
2025-07-01,260.0
2025-07-08,1346.0
2025-07-10,-718.0
2025-07-15,1835.0
2025-07-17,-490.0
2025-07-22,1611.0
2025-07-24,-1055.0
2025-07-29,1694.0
2025-07-31,-1080.0
2025-08-05,1015.0
2025-08-07,-775.0
2025-08-12,321.0
2025-08-14,-350.0
2025-08-19,853.0
2025-08-21,-155.0
2025-08-26,425.0
2025-08-28,-150.0
2025-09-02,1491.0
2025-09-04,-1330.0
2025-09-09,3025.0
2025-09-11,-2127.0
2025-09-16,2695.0
2025-09-18,-1335.0
2025-09-23,2352.0
2025-09-25,-1337.0
2025-09-30,5085.0
2025-10-02,-1600.0
2025-10-07,2536.0
2025-10-09,-1410.0
2025-10-14,6344.0
2025-10-16,-1340.0
2025-10-21,3829.0
