date,LPMVTVJ
2016-09-30,3071.0
2016-10-31,3237.0
2016-11-30,2888.0
2016-12-31,3890.0
2017-01-31,3740.0
2017-02-28,3862.0
2017-03-31,3696.0
2017-04-30,3122.0
2017-05-31,4173.0
2017-06-30,4070.0
2017-07-31,3795.0
2017-08-31,4170.0
2017-09-30,3816.0
2017-10-31,3639.0
2017-11-30,3925.0
2017-12-31,3773.0
2018-01-31,3623.0
2018-02-28,3862.0
2018-03-31,3336.0
2018-04-30,3624.0
2018-05-31,4041.0
2018-06-30,3974.0
2018-07-31,3696.0
2018-08-31,3573.0
2018-09-30,3988.0
2018-10-31,3948.0
2018-11-30,3385.0
2018-12-31,3684.0
2019-01-31,3680.0
2019-02-28,3517.0
2019-03-31,4010.0
2019-04-30,4112.0
2019-05-31,3110.0
2019-06-30,4015.0
2019-07-31,5024.0
2019-08-31,4159.0
2019-09-30,3967.0
2019-10-31,4800.0
2019-11-30,4334.0
2019-12-31,4678.0
2020-01-31,4451.0
2020-02-29,4668.0
2020-03-31,4826.0
2020-04-30,53.0
2020-05-31,254.0
2020-06-30,1955.0
2020-07-31,2784.0
2020-08-31,3151.0
2020-09-30,5157.0
2020-10-31,5229.0
2020-11-30,6957.0
2020-12-31,6604.0
2021-01-31,6311.0
2021-02-28,7971.0
2021-03-31,11404.0
2021-04-30,3020.0
2021-05-31,4510.0
2021-06-30,17118.0
2021-07-31,-1790.0
2021-08-31,4221.0
2021-09-30,9518.0
2021-10-31,1668.0
2021-11-30,3667.0
2021-12-31,4231.0
2022-01-31,6393.0
2022-02-28,5249.0
2022-03-31,7187.0
2022-04-30,4025.0
2022-05-31,6367.0
2022-06-30,5038.0
2022-07-31,4352.0
2022-08-31,5245.0
2022-09-30,5246.0
2022-10-31,3117.0
2022-11-30,3446.0
2022-12-31,2184.0
2023-01-31,2418.0
2023-02-28,862.0
2023-03-31,-10.0
2023-04-30,-1347.0
2023-05-31,-160.0
2023-06-30,-56.0
2023-07-31,215.0
2023-08-31,1115.0
2023-09-30,-1201.0
2023-10-31,580.0
2023-11-30,486.0
2023-12-31,-358.0
2024-01-31,-442.0
2024-02-29,1778.0
2024-03-31,90.0
2024-04-30,1916.0
2024-05-31,1059.0
2024-06-30,2383.0
2024-07-31,2649.0
2024-08-31,2803.0
2024-09-30,2326.0
2024-10-31,3788.0
2024-11-30,2692.0
2024-12-31,3655.0
2025-01-31,5208.0
2025-02-28,3724.0
2025-03-31,12992.0
2025-04-30,-1231.0
2025-05-31,1917.0
2025-06-30,5085.0
2025-07-31,4513.0
2025-08-31,4428.0
2025-09-30,5383.0
2025-10-31,4424.0
2025-11-30,4784.0
2025-12-31,4813.0
2026-01-31,4520.0
2026-02-28,5188.0
2026-03-31,6707.0
2026-04-30,4509.0
2026-05-31,3242.0
2026-06-30,7677.0
2026-07-31,4292.0
