date,RUUW
1984-04-30,1859.0
1984-05-31,1718.0
1984-06-30,1518.0
1984-07-31,576.0
1984-08-31,966.0
1984-09-30,973.0
1984-10-31,476.0
1984-11-30,2496.0
1984-12-31,-409.0
1985-01-31,-2061.0
1985-02-28,-132.0
1985-03-31,2294.0
1985-04-30,898.0
1985-05-31,1363.0
1985-06-30,651.0
1985-07-31,542.0
1985-08-31,2473.0
1985-09-30,1455.0
1985-10-31,913.0
1985-11-30,2036.0
1985-12-31,1552.0
1986-01-31,-4039.0
1986-02-28,-169.0
1986-03-31,3439.0
1986-04-30,2351.0
1986-05-31,2505.0
1986-06-30,1483.0
1986-07-31,255.0
1986-08-31,1118.0
1986-09-30,2613.0
1986-10-31,-145.0
1986-11-30,606.0
1986-12-31,-1369.0
1987-01-31,-3447.0
1987-02-28,155.0
1987-03-31,4308.0
1987-04-30,2454.0
1987-05-31,1569.0
1987-06-30,-22.0
1987-07-31,-283.0
1987-08-31,847.0
1987-09-30,-121.0
1987-10-31,-604.0
1987-11-30,-361.0
1987-12-31,-222.0
1988-01-31,-5947.0
1988-02-29,242.0
1988-03-31,3647.0
1988-04-30,-679.0
1988-05-31,-79.0
1988-06-30,679.0
1988-07-31,-1275.0
1988-08-31,-327.0
1988-09-30,1226.0
1988-10-31,-1048.0
1988-11-30,1278.0
1988-12-31,-2240.0
1989-01-31,-7079.0
1989-02-28,435.0
1989-03-31,2150.0
1989-04-30,-216.0
1989-05-31,1046.0
1989-06-30,1105.0
1989-07-31,-1102.0
1989-08-31,1800.0
1989-09-30,-176.0
1989-10-31,-2094.0
1989-11-30,474.0
1989-12-31,-1302.0
1990-01-31,-5206.0
1990-02-28,-1257.0
1990-03-31,2353.0
1990-04-30,565.0
1990-05-31,1589.0
1990-06-30,2284.0
1990-07-31,-3297.0
1990-08-31,753.0
1990-09-30,2117.0
1990-10-31,-2524.0
1990-11-30,673.0
1990-12-31,-1616.0
1991-01-31,-5416.0
1991-02-28,-442.0
1991-03-31,2679.0
1991-04-30,684.0
1991-05-31,4112.0
1991-06-30,1827.0
1991-07-31,-1867.0
1991-08-31,2033.0
1991-09-30,3161.0
1991-10-31,-1791.0
1991-11-30,1541.0
1991-12-31,529.0
1992-01-31,-4079.0
1992-02-29,2033.0
1992-03-31,4837.0
1992-04-30,3073.0
1992-05-31,3256.0
1992-06-30,4432.0
1992-07-31,1039.0
1992-08-31,4000.0
1992-09-30,4636.0
1992-10-31,1684.0
1992-11-30,2322.0
1992-12-31,1937.0
1993-01-31,-3178.0
1993-02-28,6012.0
1993-03-31,6988.0
1993-04-30,3381.0
1993-05-31,5481.0
1993-06-30,4159.0
1993-07-31,1428.0
1993-08-31,4905.0
1993-09-30,6162.0
1993-10-31,3492.0
1993-11-30,4605.0
1993-12-31,2907.0
1994-01-31,-749.0
1994-02-28,5219.0
1994-03-31,8630.0
1994-04-30,3305.0
1994-05-31,5034.0
1994-06-30,3368.0
1994-07-31,1789.0
1994-08-31,3777.0
1994-09-30,4543.0
1994-10-31,61.0
1994-11-30,4262.0
1994-12-31,300.0
1995-01-31,-2862.0
1995-02-28,6500.0
1995-03-31,8949.0
1995-04-30,3270.0
1995-05-31,4671.0
1995-06-30,3507.0
1995-07-31,1021.0
1995-08-31,4831.0
1995-09-30,4476.0
1995-10-31,-1367.0
1995-11-30,4703.0
1995-12-31,1374.0
1996-01-31,-4524.0
1996-02-29,4048.0
1996-03-31,9328.0
1996-04-30,796.0
1996-05-31,4195.0
1996-06-30,4010.0
1996-07-31,-1539.0
1996-08-31,5983.0
1996-09-30,3669.0
1996-10-31,-3973.0
1996-11-30,3642.0
1996-12-31,1753.0
1997-01-31,-6410.0
1997-02-28,5330.0
1997-03-31,7649.0
1997-04-30,-1598.0
1997-05-31,5655.0
1997-06-30,4900.0
1997-07-31,-3556.0
1997-08-31,2403.0
1997-09-30,2833.0
1997-10-31,-5034.0
1997-11-30,3582.0
1997-12-31,323.0
1998-01-31,-9883.0
1998-02-28,-1486.0
1998-03-31,5404.0
1998-04-30,-2479.0
1998-05-31,2724.0
1998-06-30,6268.0
1998-07-31,-5237.0
1998-08-31,1711.0
1998-09-30,2067.0
1998-10-31,-8041.0
1998-11-30,1632.0
1998-12-31,2467.0
1999-01-31,-10990.0
1999-02-28,-650.0
1999-03-31,5983.0
1999-04-30,-2594.0
1999-05-31,1808.0
1999-06-30,5620.0
1999-07-31,-4958.0
1999-08-31,1147.0
1999-09-30,1634.0
1999-10-31,-9028.0
1999-11-30,2440.0
1999-12-31,9197.0
2000-01-31,-17324.0
2000-02-29,-2013.0
2000-03-31,4934.0
2000-04-30,-6350.0
2000-05-31,-11826.0
2000-06-30,6914.0
2000-07-31,-7938.0
2000-08-31,274.0
2000-09-30,-8551.0
2000-10-31,-8023.0
2000-11-30,3895.0
2000-12-31,8432.0
2001-01-31,-16496.0
2001-02-28,-1928.0
2001-03-31,6028.0
2001-04-30,-5114.0
2001-05-31,3690.0
2001-06-30,7681.0
2001-07-31,-9991.0
2001-08-31,863.0
2001-09-30,3654.0
2001-10-31,-6548.0
2001-11-30,6344.0
2001-12-31,9110.0
2002-01-31,-12480.0
2002-02-28,-1850.0
2002-03-31,7412.0
2002-04-30,-3454.0
2002-05-31,3702.0
2002-06-30,7156.0
2002-07-31,-6801.0
2002-08-31,3015.0
2002-09-30,5865.0
2002-10-31,-3184.0
2002-11-30,6373.0
2002-12-31,11607.0
2003-01-31,-12630.0
2003-02-28,60.0
2003-03-31,10042.0
2003-04-30,-358.0
2003-05-31,7729.0
2003-06-30,10008.0
2003-07-31,-6989.0
2003-08-31,3902.0
2003-09-30,9446.0
2003-10-31,-2204.0
2003-11-30,5614.0
2003-12-31,12995.0
2004-01-31,-14617.0
2004-02-29,841.0
2004-03-31,13024.0
2004-04-30,-1692.0
2004-05-31,5240.0
2004-06-30,10853.0
2004-07-31,-7268.0
2004-08-31,3468.0
2004-09-30,11749.0
2004-10-31,-1714.0
2004-11-30,9442.0
2004-12-31,15802.0
2005-01-31,-17215.0
2005-02-28,985.0
2005-03-31,11461.0
2005-04-30,-1406.0
2005-05-31,9399.0
2005-06-30,11594.0
2005-07-31,-9320.0
2005-08-31,5620.0
2005-09-30,12322.0
2005-10-31,-5970.0
2005-11-30,10362.0
2005-12-31,14905.0
2006-01-31,-20600.0
2006-02-28,2142.0
2006-03-31,13992.0
2006-04-30,1885.0
2006-05-31,9102.0
2006-06-30,12367.0
2006-07-31,-10043.0
2006-08-31,3850.0
2006-09-30,13522.0
2006-10-31,-7840.0
2006-11-30,8577.0
2006-12-31,13493.0
2007-01-31,-21357.0
2007-02-28,-2837.0
2007-03-31,16723.0
2007-04-30,-1176.0
2007-05-31,8895.0
2007-06-30,9921.0
2007-07-31,-13199.0
2007-08-31,6437.0
2007-09-30,10293.0
2007-10-31,-5287.0
2007-11-30,9388.0
2007-12-31,16582.0
2008-01-31,-22725.0
2008-02-29,1781.0
2008-03-31,12353.0
2008-04-30,2348.0
2008-05-31,13549.0
2008-06-30,14965.0
2008-07-31,-12869.0
2008-08-31,11578.0
2008-09-30,38903.0
