date,RUUW
2008-10-31,7374.0
2008-11-30,12225.0
2008-12-31,47310.0
2009-01-31,-4277.0
2009-02-28,5004.0
2009-03-31,27719.0
2009-04-30,11151.0
2009-05-31,20368.0
2009-06-30,22485.0
2009-07-31,2405.0
2009-08-31,11628.0
2009-09-30,23194.0
2009-10-31,5453.0
2009-11-30,13966.0
2009-12-31,57759.0
2010-01-31,-2540.0
2010-02-28,5778.0
2010-03-31,26945.0
2010-04-30,9149.0
2010-05-31,17566.0
2010-06-30,23600.0
2010-07-31,-3370.0
2010-08-31,5439.0
2010-09-30,24689.0
2010-10-31,1101.0
2010-11-30,14909.0
2010-12-31,27477.0
2011-01-31,-16113.0
2011-02-28,3274.0
2011-03-31,26292.0
2011-04-30,7024.0
2011-05-31,10151.0
2011-06-30,22821.0
2011-07-31,-5140.0
2011-08-31,9702.0
2011-09-30,22044.0
2011-10-31,-3060.0
2011-11-30,9571.0
2011-12-31,24131.0
2012-01-31,-17022.0
2012-02-29,5170.0
2012-03-31,32280.0
2012-04-30,-7349.0
2012-05-31,12879.0
2012-06-30,21252.0
2012-07-31,-4358.0
2012-08-31,8582.0
2012-09-30,21927.0
2012-10-31,2915.0
2012-11-30,12452.0
2012-12-31,22820.0
2013-01-31,-17107.0
2013-02-28,-1222.0
2013-03-31,23071.0
2013-04-30,7689.0
2013-05-31,9582.0
2013-06-30,11489.0
2013-07-31,-8414.0
2013-08-31,9098.0
2013-09-30,13665.0
2013-10-31,-7218.0
2013-11-30,10106.0
2013-12-31,22204.0
2014-01-31,-14163.0
2014-02-28,4895.0
2014-03-31,19500.0
2014-04-30,4048.0
2014-05-31,13268.0
2014-06-30,17455.0
2014-07-31,-3072.0
2014-08-31,2567.0
2014-09-30,20812.0
2014-10-31,-4663.0
2014-11-30,6779.0
2014-12-31,22338.0
2015-01-31,-19094.0
2015-02-28,2842.0
2015-03-31,21260.0
2015-04-30,-760.0
2015-05-31,12131.0
2015-06-30,16998.0
2015-07-31,-915.0
2015-08-31,-1474.0
2015-09-30,20370.0
2015-10-31,-1453.0
2015-11-30,6371.0
2015-12-31,12853.0
2016-01-31,-22053.0
2016-02-29,-1891.0
2016-03-31,20571.0
2016-04-30,815.0
2016-05-31,6750.0
2016-06-30,19670.0
2016-07-31,2955.0
2016-08-31,3696.0
2016-09-30,21960.0
2016-10-31,-4143.0
2016-11-30,9679.0
2016-12-31,19176.0
2017-01-31,-27859.0
2017-02-28,-3965.0
2017-03-31,18227.0
2017-04-30,-15492.0
2017-05-31,9761.0
2017-06-30,17702.0
2017-07-31,-7247.0
2017-08-31,1005.0
2017-09-30,19171.0
2017-10-31,-6948.0
2017-11-30,12209.0
2017-12-31,18590.0
2018-01-31,-27788.0
2018-02-28,-2094.0
2018-03-31,19746.0
2018-04-30,-6142.0
2018-05-31,7254.0
2018-06-30,12959.0
2018-07-31,-14012.0
2018-08-31,4375.0
2018-09-30,14983.0
2018-10-31,-3698.0
2018-11-30,6631.0
2018-12-31,18163.0
2019-01-31,-25879.0
2019-02-28,-1770.0
2019-03-31,21950.0
2019-04-30,-6897.0
2019-05-31,16267.0
2019-06-30,13620.0
2019-07-31,-10299.0
2019-08-31,5717.0
2019-09-30,14824.0
2019-10-31,176.0
2019-11-30,9155.0
2019-12-31,15665.0
2020-01-31,-20422.0
2020-02-29,-2460.0
2020-03-31,20730.0
2020-04-30,63755.0
2020-05-31,62961.0
2020-06-30,47084.0
2020-07-31,25127.0
2020-08-31,21662.0
2020-09-30,25133.0
2020-10-31,14383.0
2020-11-30,23848.0
2020-12-31,33385.0
2021-01-31,-10808.0
2021-02-28,6329.0
2021-03-31,25124.0
2021-04-30,30511.0
2021-05-31,23825.0
2021-06-30,19264.0
2021-07-31,1817.0
2021-08-31,8447.0
2021-09-30,14535.0
2021-10-31,2530.0
2021-11-30,13026.0
2021-12-31,17933.0
2022-01-31,-23261.0
2022-02-28,1525.0
2022-03-31,18646.0
2022-04-30,2419.0
2022-05-31,11533.0
2022-06-30,12300.0
2022-07-31,-1697.0
2022-08-31,4887.0
2022-09-30,13714.0
2022-10-31,8590.0
2022-11-30,25554.0
2022-12-31,23137.0
2023-01-31,-20898.0
2023-02-28,6764.0
2023-03-31,25059.0
2023-04-30,18635.0
2023-05-31,16907.0
2023-06-30,19955.0
2023-07-31,9905.0
2023-08-31,5989.0
2023-09-30,15032.0
2023-10-31,18082.0
2023-11-30,17289.0
2023-12-31,18543.0
2024-01-31,-19623.0
2024-02-29,8510.0
2024-03-31,28175.0
2024-04-30,18343.0
2024-05-31,24550.0
2024-06-30,14448.0
2024-07-31,29049.0
2024-08-31,11027.0
2024-09-30,13226.0
2024-10-31,19725.0
2024-11-30,16307.0
2024-12-31,19392.0
2025-01-31,-15250.0
2025-02-28,8415.0
2025-03-31,20998.0
2025-04-30,15705.0
2025-05-31,23944.0
2025-06-30,15583.0
2025-07-31,5871.0
2025-08-31,11028.0
2025-09-30,15767.0
2025-10-31,21581.0
2025-11-30,13477.0
2025-12-31,14425.0
2026-01-31,-39917.0
2026-02-28,9275.0
2026-03-31,27879.0
2026-04-30,15441.0
2026-05-31,25206.0
2026-06-30,19080.0
2026-07-31,2723.0
