date,RPWZ4TN
2020-08-12,4709.0
2020-08-19,4665.0
2020-08-26,4645.0
2020-09-02,4609.0
2020-09-09,4694.0
2020-09-16,4692.0
2020-09-23,4782.0
2020-09-30,4720.0
2020-10-07,4732.0
2020-10-14,4681.0
2020-10-21,4639.0
2020-10-28,4693.0
2020-11-04,4700.0
2020-11-11,4620.0
2020-11-18,4589.0
2020-11-25,4561.0
2020-12-02,4578.0
2020-12-09,4555.0
2020-12-16,4524.0
2020-12-23,4513.0
2020-12-30,4487.0
2021-01-06,4496.0
2021-01-13,4480.0
2021-01-20,4476.0
2021-01-27,4457.0
2021-02-03,4475.0
2021-02-10,4413.0
2021-02-17,4413.0
2021-02-24,4314.0
2021-03-03,5401.0
2021-03-10,4783.0
2021-03-17,4789.0
2021-03-24,4844.0
2021-03-31,4859.0
2021-04-07,4826.0
2021-04-14,4384.0
2021-04-21,4342.0
2021-04-28,4343.0
2021-05-05,4348.0
2021-05-12,4293.0
2021-05-19,4276.0
2021-05-26,4288.0
2021-06-02,4276.0
2021-06-09,4288.0
2021-06-16,4294.0
2021-06-23,4330.0
2021-06-30,4377.0
2021-07-07,4392.0
2021-07-14,4362.0
2021-07-21,4427.0
2021-07-28,4366.0
2021-08-04,4357.0
2021-08-11,4366.0
2021-08-18,4402.0
2021-08-25,4392.0
2021-09-01,4376.0
2021-09-08,4389.0
2021-09-15,4360.0
2021-09-22,4419.0
2021-09-29,4488.0
2021-10-06,4892.0
2021-10-13,4974.0
2021-10-20,5485.0
2021-10-27,6113.0
2021-11-03,6815.0
2021-11-10,7166.0
2021-11-17,7358.0
2021-11-24,8039.0
2021-12-01,8047.0
2021-12-08,8174.0
2021-12-15,9212.0
2021-12-22,9124.0
2021-12-29,9029.0
2022-01-05,8975.0
2022-01-12,8720.0
2022-01-19,7139.0
2022-01-26,7061.0
2022-02-02,7603.0
2022-02-09,7541.0
2022-02-16,7368.0
2022-02-23,5723.0
2022-03-02,5468.0
2022-03-09,5645.0
2022-03-16,8701.0
2022-03-23,7321.0
2022-03-30,7481.0
2022-04-06,7881.0
2022-04-13,8001.0
2022-04-20,7897.0
2022-04-27,8361.0
2022-05-04,8200.0
2022-05-11,7454.0
2022-05-18,7676.0
2022-05-25,7183.0
2022-06-01,7759.0
2022-06-08,7719.0
2022-06-15,7864.0
2022-06-22,7808.0
2022-06-29,7910.0
2022-07-06,8370.0
2022-07-13,8247.0
2022-07-20,7877.0
2022-07-27,7518.0
2022-08-03,7547.0
2022-08-10,7541.0
2022-08-17,7750.0
2022-08-24,8033.0
2022-08-31,7738.0
2022-09-07,8196.0
2022-09-14,8221.0
2022-09-21,8790.0
2022-09-28,9068.0
2022-10-05,8995.0
2022-10-12,9076.0
2022-10-19,8671.0
2022-10-26,9417.0
2022-11-02,9366.0
2022-11-09,9050.0
2022-11-16,8801.0
2022-11-23,8650.0
2022-11-30,8971.0
2022-12-07,8963.0
2022-12-14,8586.0
2022-12-21,8414.0
2022-12-28,8468.0
2023-01-04,8467.0
2023-01-11,8634.0
2023-01-18,8054.0
2023-01-25,7675.0
2023-02-01,7896.0
2023-02-08,8308.0
2023-02-15,9307.0
2023-02-22,9545.0
2023-03-01,11866.0
2023-03-08,11963.0
2023-03-15,11807.0
2023-03-22,11585.0
2023-03-29,11578.0
2023-04-05,11559.0
2023-04-12,11111.0
2023-04-19,11121.0
2023-04-26,11533.0
2023-05-03,9920.0
2023-05-10,9854.0
2023-05-17,10302.0
2023-05-24,10270.0
2023-05-31,9833.0
2023-06-07,9639.0
2023-06-14,9847.0
2023-06-21,9700.0
2023-06-28,9771.0
2023-07-05,9783.0
2023-07-12,9716.0
2023-07-19,9954.0
2023-07-26,9906.0
2023-08-02,10275.0
2023-08-09,10259.0
2023-08-16,10070.0
2023-08-23,10186.0
2023-08-30,10378.0
2023-09-06,11171.0
2023-09-13,11009.0
2023-09-20,10685.0
2023-09-27,10634.0
2023-10-04,10719.0
2023-10-11,10358.0
2023-10-18,10855.0
2023-10-25,10926.0
2023-11-01,11037.0
2023-11-08,10706.0
2023-11-15,10980.0
2023-11-22,11371.0
2023-11-29,11467.0
2023-12-06,10627.0
2023-12-13,10694.0
2023-12-20,10303.0
2023-12-27,10469.0
2024-01-03,10110.0
2024-01-10,11029.0
2024-01-17,10999.0
2024-01-24,10802.0
2024-01-31,11297.0
2024-02-07,10620.0
2024-02-14,10988.0
2024-02-21,10316.0
2024-02-28,12201.0
2024-03-06,12949.0
2024-03-13,11837.0
2024-03-20,11475.0
2024-03-27,11796.0
2024-04-03,11760.0
2024-04-10,11479.0
2024-04-17,11477.0
2024-04-24,12297.0
2024-05-01,12520.0
2024-05-08,13288.0
2024-05-15,13438.0
2024-05-22,14340.0
2024-05-29,13589.0
2024-06-05,14379.0
2024-06-12,14179.0
2024-06-19,14660.0
2024-06-26,15391.0
2024-07-03,14506.0
2024-07-10,14973.0
2024-07-17,15588.0
2024-07-24,15819.0
2024-07-31,15912.0
2024-08-07,16718.0
2024-08-14,16697.0
2024-08-21,16152.0
2024-08-28,16724.0
2024-09-04,16155.0
2024-09-11,15345.0
2024-09-18,14601.0
2024-09-25,13798.0
2024-10-02,13448.0
2024-10-09,14337.0
2024-10-16,13544.0
2024-10-23,14897.0
2024-10-30,13922.0
2024-11-06,15140.0
2024-11-13,14409.0
2024-11-20,16153.0
2024-11-27,15991.0
2024-12-04,16238.0
2024-12-11,17019.0
2024-12-18,16186.0
2024-12-25,16719.0
2025-01-01,16740.0
2025-01-08,17935.0
2025-01-15,16973.0
2025-01-22,15871.0
2025-01-29,15231.0
2025-02-05,15582.0
2025-02-12,15132.0
2025-02-19,15895.0
2025-02-26,16231.0
2025-03-05,15354.0
2025-03-12,14805.0
2025-03-19,14321.0
2025-03-26,14096.0
2025-04-02,13839.0
2025-04-09,13239.0
2025-04-16,13265.0
2025-04-23,13113.0
2025-04-30,14092.0
2025-05-07,12493.0
2025-05-14,12274.0
2025-05-21,12402.0
2025-05-28,11639.0
2025-06-04,11412.0
2025-06-11,12728.0
2025-06-18,13367.0
2025-06-25,13666.0
2025-07-02,14363.0
2025-07-09,13592.0
2025-07-16,14274.0
2025-07-23,13663.0
2025-07-30,14559.0
2025-08-06,14310.0
2025-08-13,15040.0
2025-08-20,16021.0
2025-08-27,15393.0
2025-09-03,16098.0
2025-09-10,14685.0
2025-09-17,15141.0
2025-09-24,14834.0
2025-10-01,15651.0
2025-10-08,20143.0
2025-10-15,19383.0
2025-10-22,19111.0
2025-10-29,19228.0
2025-11-05,17418.0
2025-11-12,17418.0
2025-11-19,17675.0
2025-11-26,19122.0
2025-12-03,17745.0
2025-12-10,17913.0
2025-12-17,18086.0
2025-12-24,17667.0
2025-12-31,17533.0
2026-01-07,16981.0
2026-01-14,18550.0
2026-01-21,18311.0
2026-01-28,18905.0
2026-02-04,19965.0
2026-02-11,21688.0
2026-02-18,20776.0
2026-02-25,20804.0
2026-03-04,21263.0
2026-03-11,19273.0
2026-03-18,18644.0
2026-03-25,18989.0
2026-04-01,17820.0
2026-04-08,16368.0
2026-04-15,15873.0
2026-04-22,16140.0
2026-04-29,19470.0
2026-05-06,18403.0
2026-05-13,18296.0
2026-05-20,20316.0
2026-05-27,20624.0
2026-06-03,19521.0
2026-06-10,18915.0
2026-06-17,18612.0
2026-06-24,20042.0
2026-07-01,20801.0
2026-07-08,20339.0
2026-07-15,19730.0
2026-07-22,20114.0
2026-07-29,20915.0
2026-08-05,20986.0
2026-08-12,21224.0
2026-08-19,22246.0
2026-08-26,22541.0
2026-09-02,21246.0
