date,LPMBZ2C
2016-09-30,4561.0
2016-10-31,5089.0
2016-11-30,4865.0
2016-12-31,5009.0
2017-01-31,5274.0
2017-02-28,5216.0
2017-03-31,5736.0
2017-04-30,4442.0
2017-05-31,6001.0
2017-06-30,5376.0
2017-07-31,5312.0
2017-08-31,5976.0
2017-09-30,5619.0
2017-10-31,5322.0
2017-11-30,5569.0
2017-12-31,5605.0
2018-01-31,4976.0
2018-02-28,5467.0
2018-03-31,4488.0
2018-04-30,5469.0
2018-05-31,5630.0
2018-06-30,5435.0
2018-07-31,4566.0
2018-08-31,4918.0
2018-09-30,5206.0
2018-10-31,4833.0
2018-11-30,4540.0
2018-12-31,4557.0
2019-01-31,5059.0
2019-02-28,4831.0
2019-03-31,5028.0
2019-04-30,5223.0
2019-05-31,4080.0
2019-06-30,5010.0
2019-07-31,6225.0
2019-08-31,5214.0
2019-09-30,4845.0
2019-10-31,6123.0
2019-11-30,4891.0
2019-12-31,6111.0
2020-01-31,5681.0
2020-02-29,5383.0
2020-03-31,1524.0
2020-04-30,-7405.0
2020-05-31,-4436.0
2020-06-30,1016.0
2020-07-31,4066.0
2020-08-31,3513.0
2020-09-30,4563.0
2020-10-31,4719.0
2020-11-30,4988.0
2020-12-31,5931.0
2021-01-31,3727.0
2021-02-28,6961.0
2021-03-31,11473.0
2021-04-30,3236.0
2021-05-31,5607.0
2021-06-30,17429.0
2021-07-31,-1169.0
2021-08-31,5138.0
2021-09-30,10083.0
2021-10-31,2818.0
2021-11-30,4814.0
2021-12-31,4810.0
2022-01-31,7178.0
2022-02-28,6488.0
2022-03-31,8405.0
2022-04-30,5648.0
2022-05-31,7496.0
2022-06-30,6733.0
2022-07-31,5876.0
2022-08-31,6211.0
2022-09-30,6046.0
2022-10-31,4053.0
2022-11-30,4579.0
2022-12-31,3467.0
2023-01-31,3190.0
2023-02-28,2503.0
2023-03-31,1559.0
2023-04-30,485.0
2023-05-31,731.0
2023-06-30,1814.0
2023-07-31,1480.0
2023-08-31,2686.0
2023-09-30,287.0
2023-10-31,2057.0
2023-11-30,2575.0
2023-12-31,969.0
2024-01-31,1204.0
2024-02-29,3140.0
2024-03-31,1550.0
2024-04-30,2601.0
2024-05-31,2554.0
2024-06-30,3328.0
2024-07-31,3844.0
2024-08-31,4066.0
2024-09-30,3607.0
2024-10-31,4909.0
2024-11-30,3390.0
2024-12-31,4947.0
2025-01-31,6693.0
2025-02-28,5102.0
2025-03-31,14101.0
2025-04-30,707.0
2025-05-31,3031.0
2025-06-30,6644.0
2025-07-31,6199.0
2025-08-31,6207.0
2025-09-30,6888.0
2025-10-31,6184.0
2025-11-30,6889.0
2025-12-31,6446.0
2026-01-31,6392.0
2026-02-28,7148.0
2026-03-31,8604.0
2026-04-30,6347.0
2026-05-31,5001.0
2026-06-30,9542.0
2026-07-31,6298.0
