date,gilt_issued_daily
2019-01-09,2563.87
2019-01-18,2799.403
2019-01-23,2012.498
2019-02-06,2500.0
2019-02-15,2587.497
2019-02-22,1688.5
2019-02-27,1254.571
2019-03-07,3414.749
2019-03-15,1724.998
2019-03-27,325.0
2019-04-03,3449.998
2019-04-10,3135.1
2019-04-11,300.0
2019-04-17,2250.0
2019-05-10,3000.0
2019-05-15,4750.0
2019-05-24,1437.496
2019-06-05,3000.0
2019-06-13,700.0
2019-06-19,3162.499
2019-06-26,2250.0
2019-07-03,3373.097
2019-07-10,2500.0
2019-07-17,2250.0
2019-07-24,3162.497
2019-08-07,3000.0
2019-08-14,2299.997
2019-08-21,1264.997
2019-08-23,500.0
2019-09-04,3000.0
2019-09-06,2750.0
2019-09-11,4000.0
2019-09-25,574.995
2019-10-02,2250.0
2019-10-09,919.998
2019-10-16,3162.499
2019-10-23,3449.997
2019-10-30,1100.0
2019-11-06,2820.25
2019-11-15,2356.675
2019-11-20,2250.0
2019-11-27,3449.922
2019-12-04,3162.498
2019-12-06,2082.45
2019-12-12,500.0
2019-12-18,3162.496
2020-01-08,3162.497
2020-01-10,1056.037
2020-01-15,3250.0
2020-01-22,2545.872
2020-01-24,250.0
2020-01-29,2750.0
2020-02-05,800.0
2020-02-12,2500.0
2020-02-21,3269.875
2020-02-26,3441.975
2020-02-28,400.0
2020-03-05,3500.0
2020-03-06,1244.238
2020-03-11,2587.488
2020-03-18,2299.999
2020-03-20,3250.0
2020-04-02,3000.0
2020-04-03,2299.997
2020-04-08,5624.999
2020-04-09,4842.5
2020-04-16,5989.998
2020-04-17,6148.748
2020-04-22,5937.498
2020-04-23,6812.476
2020-04-29,5249.998
2020-04-30,5768.875
2020-05-06,7062.499
2020-05-07,5647.958
2020-05-13,12000.0
2020-05-14,745.85
2020-05-15,5500.0
2020-05-20,7000.0
2020-05-21,3869.624
2020-05-22,4062.499
2020-05-28,5535.499
2020-05-29,5285.25
2020-06-03,7078.749
2020-06-04,5441.249
2020-06-10,9000.0
2020-06-11,900.0
2020-06-12,7286.624
2020-06-17,5716.25
2020-06-18,7073.249
2020-06-24,6878.75
2020-06-25,5018.25
2020-06-26,1229.576
2020-07-02,5785.999
2020-07-03,6590.445
2020-07-08,6562.5
2020-07-10,1062.85
2020-07-15,7584.095
2020-07-16,4750.0
2020-07-22,6460.999
2020-07-23,3500.0
2020-07-29,5312.498
2020-07-30,6508.875
2020-08-05,6874.998
2020-08-06,3312.25
2020-08-12,4500.0
2020-08-13,3437.499
2020-08-19,6539.747
2020-08-20,3437.5
2020-08-21,1374.999
2020-08-26,4342.375
2020-08-27,2750.0
2020-09-03,459.05
