date,RPWZOQ4
2020-08-12,22217.0
2020-08-19,28216.0
2020-08-26,29823.0
2020-09-02,33606.0
2020-09-09,34326.0
2020-09-16,34724.0
2020-09-23,35223.0
2020-09-30,45148.0
2020-10-07,45159.0
2020-10-14,45716.0
2020-10-21,46006.0
2020-10-28,48528.0
2020-11-04,49645.0
2020-11-11,49654.0
2020-11-18,50251.0
2020-11-25,50812.0
2020-12-02,56166.0
2020-12-09,57597.0
2020-12-16,67277.0
2020-12-23,68222.0
2020-12-30,68243.0
2021-01-06,68246.0
2021-01-13,68561.0
2021-01-20,63996.0
2021-01-27,66617.0
2021-02-03,69867.0
2021-02-10,69867.0
2021-02-17,70107.0
2021-02-24,75367.0
2021-03-03,75947.0
2021-03-10,76217.0
2021-03-17,76542.0
2021-03-24,78720.0
2021-03-31,74129.0
2021-04-07,74734.0
2021-04-14,76414.0
2021-04-21,76854.0
2021-04-28,80694.0
2021-05-05,81246.0
2021-05-12,81826.0
2021-05-19,82081.0
2021-05-26,83030.0
2021-06-02,83829.0
2021-06-09,84194.0
2021-06-16,84202.0
2021-06-23,84586.0
2021-06-30,89063.0
2021-07-07,89663.0
2021-07-14,89788.0
2021-07-21,90149.0
2021-07-28,88392.0
2021-08-04,85772.0
2021-08-11,86341.0
2021-08-18,87572.0
2021-08-25,88507.0
2021-09-01,89326.0
2021-09-08,91024.0
2021-09-15,92349.0
2021-09-22,94940.0
2021-09-29,99989.0
2021-10-06,105707.0
2021-10-13,115023.0
2021-10-20,133952.0
2021-10-27,166455.0
2021-11-03,193381.0
2021-11-10,193381.0
2021-11-17,193381.0
2021-11-24,193381.0
2021-12-01,193381.0
2021-12-08,192931.0
2021-12-15,192931.0
2021-12-22,192931.0
2021-12-29,192911.0
2022-01-05,192911.0
2022-01-12,192911.0
2022-01-19,192911.0
2022-01-26,192911.0
2022-02-02,192361.0
2022-02-09,192361.0
2022-02-16,192361.0
2022-02-23,192361.0
2022-03-02,192361.0
2022-03-09,192291.0
2022-03-16,192291.0
2022-03-23,192291.0
2022-03-30,192291.0
2022-04-06,192291.0
2022-04-13,192291.0
2022-04-20,192291.0
2022-04-27,192191.0
2022-05-04,192191.0
2022-05-11,192191.0
2022-05-18,192191.0
2022-05-25,192191.0
2022-06-01,192188.0
2022-06-08,192188.0
2022-06-15,192188.0
2022-06-22,192188.0
2022-06-29,192188.0
2022-07-06,192088.0
2022-07-13,192068.0
2022-07-20,192068.0
2022-07-27,192068.0
2022-08-03,192066.0
2022-08-10,192066.0
2022-08-17,192066.0
2022-08-24,192066.0
2022-08-31,192016.0
2022-09-07,192016.0
2022-09-14,191966.0
2022-09-21,191966.0
2022-09-28,191916.0
2022-10-05,191911.0
2022-10-12,191911.0
2022-10-19,191911.0
2022-10-26,191911.0
2022-11-02,191906.0
2022-11-09,191906.0
2022-11-16,188906.0
2022-11-23,188906.0
2022-11-30,188906.0
2022-12-07,188906.0
2022-12-14,187901.0
2022-12-21,184801.0
2022-12-28,182401.0
2023-01-04,182401.0
2023-01-11,182401.0
2023-01-18,182361.0
2023-01-25,182361.0
2023-02-01,181968.0
2023-02-08,181463.0
2023-02-15,180713.0
2023-02-22,180703.0
2023-03-01,180503.0
2023-03-08,180493.0
2023-03-15,180485.0
2023-03-22,180465.0
2023-03-29,175925.0
2023-04-05,175920.0
2023-04-12,175920.0
2023-04-19,175915.0
2023-04-26,175904.0
2023-05-03,175902.0
2023-05-10,175887.0
2023-05-17,175821.0
2023-05-24,173810.0
2023-05-31,173369.0
2023-06-07,173369.0
2023-06-14,173369.0
2023-06-21,173369.0
2023-06-28,171209.0
2023-07-05,169032.0
2023-07-12,169032.0
2023-07-19,169028.0
2023-07-26,168771.0
2023-08-02,168077.0
2023-08-09,168044.0
2023-08-16,167832.0
2023-08-23,167732.0
2023-08-30,167582.0
2023-09-06,167432.0
2023-09-13,167404.0
2023-09-20,163301.0
2023-09-27,162611.0
2023-10-04,159493.0
2023-10-11,159493.0
2023-10-18,159491.0
2023-10-25,159171.0
2023-11-01,159028.0
2023-11-08,159023.0
2023-11-15,158918.0
2023-11-22,158826.0
2023-11-29,158518.0
2023-12-06,157618.0
2023-12-13,154733.0
2023-12-20,153521.0
2023-12-27,153379.0
2024-01-03,153379.0
2024-01-10,153372.0
2024-01-17,153363.0
2024-01-24,152672.0
2024-01-31,152042.0
2024-02-07,152042.0
2024-02-14,152004.0
2024-02-21,151584.0
2024-02-28,151339.0
2024-03-06,151124.0
2024-03-13,150352.0
2024-03-20,144396.0
2024-03-27,144253.0
2024-04-03,144185.0
2024-04-10,144185.0
2024-04-17,143923.0
2024-04-24,143923.0
2024-05-01,142990.0
2024-05-08,142635.0
2024-05-15,142635.0
2024-05-22,141958.0
2024-05-29,141833.0
2024-06-05,140428.0
2024-06-12,140407.0
2024-06-19,139627.0
2024-06-26,138123.0
