date,RPWZOQ4
2024-07-03,131835.0
2024-07-10,131582.0
2024-07-17,131527.0
2024-07-24,131032.0
2024-07-31,130436.0
2024-08-07,130344.0
2024-08-14,130294.0
2024-08-21,129589.0
2024-08-28,129099.0
2024-09-04,128950.0
2024-09-11,127985.0
2024-09-18,123628.0
2024-09-25,123509.0
2024-10-02,119979.0
2024-10-09,118252.0
2024-10-16,118162.0
2024-10-23,117969.0
2024-10-30,116919.0
2024-11-06,116557.0
2024-11-13,115999.0
2024-11-20,115832.0
2024-11-27,115477.0
2024-12-04,114857.0
2024-12-11,114748.0
2024-12-18,108506.0
2024-12-25,102672.0
2025-01-01,102672.0
2025-01-08,102672.0
2025-01-15,102484.0
2025-01-22,102439.0
2025-01-29,101398.0
2025-02-05,100400.0
2025-02-12,99670.0
2025-02-19,99261.0
2025-02-26,98234.0
2025-03-05,96595.0
2025-03-12,96595.0
2025-03-19,96586.0
2025-03-26,90776.0
2025-04-02,88738.0
2025-04-09,88727.0
2025-04-16,88722.0
2025-04-23,88692.0
2025-04-30,87154.0
2025-05-07,85894.0
2025-05-14,85843.0
2025-05-21,85821.0
2025-05-28,84846.0
2025-06-04,84826.0
2025-06-11,84822.0
2025-06-18,84796.0
2025-06-25,84163.0
2025-07-02,83000.0
2025-07-09,82950.0
2025-07-16,82655.0
2025-07-23,82216.0
2025-07-30,80389.0
2025-08-06,80170.0
2025-08-13,80085.0
2025-08-20,80017.0
2025-08-27,79647.0
2025-09-03,79220.0
2025-09-10,78658.0
2025-09-17,78133.0
2025-09-24,78028.0
2025-10-01,71733.0
2025-10-08,71325.0
2025-10-15,68771.0
2025-10-22,64717.0
2025-10-29,41906.0
2025-11-05,41906.0
2025-11-12,41906.0
2025-11-19,41894.0
2025-11-26,41894.0
2025-12-03,41894.0
2025-12-10,41894.0
2025-12-17,41894.0
2025-12-24,41894.0
2025-12-31,41894.0
2026-01-07,41894.0
2026-01-14,41894.0
2026-01-21,41894.0
2026-01-28,41894.0
2026-02-04,41894.0
2026-02-11,41894.0
2026-02-18,41894.0
2026-02-25,41894.0
2026-03-04,41894.0
2026-03-11,41894.0
2026-03-18,41894.0
2026-03-25,41894.0
2026-04-01,41894.0
2026-04-08,41894.0
2026-04-15,41894.0
2026-04-22,41894.0
2026-04-29,41894.0
2026-05-06,41894.0
2026-05-13,41894.0
2026-05-20,41894.0
2026-05-27,41894.0
2026-06-03,41894.0
2026-06-10,41894.0
2026-06-17,41894.0
2026-06-24,41894.0
2026-07-01,41894.0
2026-07-08,41894.0
2026-07-15,41763.0
2026-07-22,41763.0
2026-07-29,41763.0
2026-08-05,41763.0
2026-08-12,41763.0
2026-08-19,41763.0
2026-08-26,41763.0
2026-09-02,41763.0
