date,JW2P
1997-04-30,2244.0
1997-05-31,2429.0
1997-06-30,4261.0
1997-07-31,2779.0
1997-08-31,2912.0
1997-09-30,3175.0
1997-10-31,2016.0
1997-11-30,2711.0
1997-12-31,4741.0
1998-01-31,3095.0
1998-02-28,3134.0
1998-03-31,2879.0
1998-04-30,3361.0
1998-05-31,3145.0
1998-06-30,2945.0
1998-07-31,3170.0
1998-08-31,3054.0
1998-09-30,2641.0
1998-10-31,3230.0
1998-11-30,2996.0
1998-12-31,3387.0
1999-01-31,3290.0
1999-02-28,2764.0
1999-03-31,2498.0
1999-04-30,3071.0
1999-05-31,3000.0
1999-06-30,2634.0
1999-07-31,2888.0
1999-08-31,2787.0
1999-09-30,2182.0
1999-10-31,2829.0
1999-11-30,2828.0
1999-12-31,2972.0
2000-01-31,2987.0
2000-02-29,2596.0
2000-03-31,2357.0
2000-04-30,2975.0
2000-05-31,3033.0
2000-06-30,2798.0
2000-07-31,3059.0
2000-08-31,3061.0
2000-09-30,2288.0
2000-10-31,3060.0
2000-11-30,3092.0
2000-12-31,2938.0
2001-01-31,3247.0
2001-02-28,2873.0
2001-03-31,2233.0
2001-04-30,2675.0
2001-05-31,3093.0
2001-06-30,2362.0
2001-07-31,3020.0
2001-08-31,2668.0
2001-09-30,1920.0
2001-10-31,2881.0
2001-11-30,2594.0
2001-12-31,2710.0
2002-01-31,3138.0
2002-02-28,2570.0
2002-03-31,1667.0
2002-04-30,2730.0
2002-05-31,2726.0
2002-06-30,2561.0
2002-07-31,2168.0
2002-08-31,2293.0
2002-09-30,2364.0
2002-10-31,2443.0
2002-11-30,2759.0
2002-12-31,3240.0
2003-01-31,2667.0
2003-02-28,2381.0
2003-03-31,2364.0
2003-04-30,2474.0
2003-05-31,3024.0
2003-06-30,2878.0
2003-07-31,2600.0
2003-08-31,2572.0
2003-09-30,2481.0
2003-10-31,2709.0
2003-11-30,2868.0
2003-12-31,3291.0
2004-01-31,2708.0
2004-02-29,2422.0
2004-03-31,2640.0
2004-04-30,2620.0
2004-05-31,3107.0
2004-06-30,3016.0
2004-07-31,2839.0
2004-08-31,3076.0
2004-09-30,2712.0
2004-10-31,2934.0
2004-11-30,3265.0
2004-12-31,3621.0
2005-01-31,3289.0
2005-02-28,3013.0
2005-03-31,2920.0
2005-04-30,3053.0
2005-05-31,3282.0
2005-06-30,3487.0
2005-07-31,3255.0
2005-08-31,3408.0
2005-09-30,2578.0
2005-10-31,3135.0
2005-11-30,3564.0
2005-12-31,3800.0
2006-01-31,3288.0
2006-02-28,3090.0
2006-03-31,3066.0
2006-04-30,3157.0
2006-05-31,3389.0
2006-06-30,3657.0
2006-07-31,3502.0
2006-08-31,3460.0
2006-09-30,2983.0
2006-10-31,3521.0
2006-11-30,3836.0
2006-12-31,4148.0
2007-01-31,3913.0
2007-02-28,3796.0
2007-03-31,3253.0
2007-04-30,3647.0
2007-05-31,4019.0
2007-06-30,3986.0
2007-07-31,3913.0
2007-08-31,4290.0
2007-09-30,2779.0
2007-10-31,4188.0
2007-11-30,4251.0
2007-12-31,4384.0
2008-01-31,3982.0
2008-02-29,4208.0
2008-03-31,2727.0
2008-04-30,4192.0
2008-05-31,3974.0
2008-06-30,4540.0
2008-07-31,4405.0
2008-08-31,4711.0
2008-09-30,3122.0
2008-10-31,4723.0
2008-11-30,4427.0
2008-12-31,4707.0
2009-01-31,3776.0
2009-02-28,3663.0
2009-03-31,2769.0
2009-04-30,4261.0
2009-05-31,4060.0
2009-06-30,3519.0
2009-07-31,3204.0
2009-08-31,2285.0
2009-09-30,2112.0
2009-10-31,4475.0
2009-11-30,3871.0
2009-12-31,4184.0
2010-01-31,4354.0
2010-02-28,4449.0
2010-03-31,3515.0
2010-04-30,4764.0
2010-05-31,4831.0
2010-06-30,5382.0
2010-07-31,4587.0
2010-08-31,4669.0
2010-09-30,3463.0
2010-10-31,5022.0
2010-11-30,5049.0
2010-12-31,5374.0
2011-01-31,4912.0
2011-02-28,5174.0
2011-03-31,4120.0
2011-04-30,5899.0
2011-05-31,5163.0
2011-06-30,5877.0
2011-07-31,5191.0
2011-08-31,4790.0
2011-09-30,3962.0
2011-10-31,5990.0
2011-11-30,5832.0
2011-12-31,5180.0
2012-01-31,4852.0
2012-02-29,4730.0
2012-03-31,2642.0
2012-04-30,6026.0
2012-05-31,5406.0
2012-06-30,4755.0
2012-07-31,4267.0
2012-08-31,3557.0
2012-09-30,3642.0
2012-10-31,5295.0
2012-11-30,5192.0
2012-12-31,5105.0
2013-01-31,3747.0
2013-02-28,4606.0
2013-03-31,4335.0
2013-04-30,5817.0
2013-05-31,5293.0
2013-06-30,5132.0
2013-07-31,4289.0
2013-08-31,4042.0
2013-09-30,3649.0
2013-10-31,5773.0
2013-11-30,5255.0
2013-12-31,4205.0
2014-01-31,4290.0
2014-02-28,4989.0
2014-03-31,3203.0
2014-04-30,6069.0
2014-05-31,4921.0
2014-06-30,5014.0
2014-07-31,4380.0
2014-08-31,4914.0
2014-09-30,3719.0
2014-10-31,5602.0
2014-11-30,4917.0
2014-12-31,4441.0
2015-01-31,3515.0
2015-02-28,4556.0
2015-03-31,1619.0
2015-04-30,5811.0
2015-05-31,4716.0
2015-06-30,5186.0
2015-07-31,4984.0
2015-08-31,4863.0
2015-09-30,3176.0
2015-10-31,5897.0
2015-11-30,3985.0
2015-12-31,4258.0
2016-01-31,4867.0
2016-02-29,5307.0
2016-03-31,1791.0
2016-04-30,5947.0
2016-05-31,5442.0
2016-06-30,4439.0
2016-07-31,4938.0
2016-08-31,5429.0
2016-09-30,3955.0
2016-10-31,5463.0
2016-11-30,4777.0
2016-12-31,3829.0
2017-01-31,4622.0
2017-02-28,6148.0
2017-03-31,1838.0
2017-04-30,7763.0
2017-05-31,5139.0
2017-06-30,5508.0
2017-07-31,5457.0
2017-08-31,4998.0
2017-09-30,4250.0
2017-10-31,6642.0
2017-11-30,4507.0
2017-12-31,4828.0
2018-01-31,4669.0
2018-02-28,6836.0
2018-03-31,942.0
2018-04-30,6766.0
2018-05-31,4042.0
2018-06-30,5542.0
2018-07-31,5177.0
2018-08-31,5335.0
2018-09-30,3594.0
2018-10-31,7690.0
2018-11-30,3674.0
2018-12-31,4593.0
2019-01-31,4267.0
2019-02-28,5308.0
2019-03-31,456.0
2019-04-30,7014.0
2019-05-31,3930.0
2019-06-30,8031.0
2019-07-31,5139.0
2019-08-31,4483.0
2019-09-30,3077.0
2019-10-31,7249.0
2019-11-30,2850.0
2019-12-31,3484.0
2020-01-31,4763.0
2020-02-29,4997.0
2020-03-31,1780.0
2020-04-30,5467.0
2020-05-31,3669.0
2020-06-30,2902.0
2020-07-31,2457.0
2020-08-31,3570.0
2020-09-30,4948.0
2020-10-31,1986.0
2020-11-30,4209.0
2020-12-31,2759.0
2021-01-31,1702.0
2021-02-28,5482.0
2021-03-31,1910.0
2021-04-30,4802.0
2021-05-31,4401.0
2021-06-30,9010.0
2021-07-31,3613.0
2021-08-31,6520.0
2021-09-30,4973.0
2021-10-31,5935.0
2021-11-30,4782.0
2021-12-31,8536.0
2022-01-31,6505.0
2022-02-28,8562.0
2022-03-31,3763.0
2022-04-30,7339.0
2022-05-31,8833.0
2022-06-30,21070.0
2022-07-31,7289.0
2022-08-31,9980.0
2022-09-30,9558.0
2022-10-31,8183.0
2022-11-30,9982.0
2022-12-31,20154.0
2023-01-31,9474.0
2023-02-28,9997.0
2023-03-31,7196.0
2023-04-30,13144.0
2023-05-31,11598.0
2023-06-30,16876.0
2023-07-31,11975.0
