date,apf_sales_daily
2022-11-02,-749.957
2022-11-08,-749.964
2022-11-15,-749.937
2022-11-22,-749.915
2022-11-25,-749.97
2022-11-29,-749.914
2022-12-06,-749.859
2022-12-09,-749.915
2023-01-10,-649.967
2023-01-13,-649.923
2023-01-17,-649.939
2023-01-24,-649.997
2023-01-31,-649.949
2023-02-07,-649.993
2023-02-10,-621.178
2023-02-14,-649.952
2023-02-21,-649.944
2023-02-24,-649.923
2023-02-28,-649.957
2023-03-07,-649.994
2023-03-10,-649.947
2023-03-14,-649.941
2023-03-28,-649.996
2023-04-04,-769.99
2023-04-18,-769.954
2023-04-25,-769.961
2023-05-05,-769.996
2023-05-16,-769.924
2023-05-23,-769.951
2023-06-02,-769.973
2023-06-06,-769.912
2023-06-13,-769.972
2023-06-16,-769.985
2023-06-20,-770.0
2023-06-27,-769.971
2023-07-04,-789.933
2023-07-18,-789.982
2023-07-25,-789.995
2023-08-08,-789.958
2023-08-15,-789.996
2023-08-22,-789.904
2023-09-12,-649.927
2023-09-19,-649.916
2023-09-26,-649.955
2023-10-03,-669.915
2023-10-10,-669.979
2023-10-17,-669.919
2023-10-20,-669.979
2023-10-24,-669.955
2023-10-31,-669.944
2023-11-07,-669.922
2023-11-14,-669.932
2023-11-21,-669.93
2023-11-28,-669.972
2023-12-05,-669.927
2023-12-12,-669.996
2024-01-09,-799.928
2024-01-16,-649.989
2024-01-30,-799.925
2024-02-06,-749.904
2024-02-13,-799.952
2024-02-20,-749.955
2024-02-27,-649.985
2024-03-05,-749.983
2024-03-12,-799.904
2024-03-19,-749.95
2024-03-26,-649.983
2024-04-09,-800.0
2024-04-16,-599.995
2024-04-23,-799.925
2024-04-30,-749.997
2024-05-14,-799.941
2024-05-21,-749.978
2024-05-31,-599.992
2024-06-04,-749.964
2024-06-11,-799.937
2024-06-18,-599.959
2024-06-25,-749.965
2024-07-02,-649.952
2024-07-16,-799.927
2024-07-23,-724.947
2024-07-30,-799.997
2024-08-06,-724.977
2024-08-13,-799.994
2024-08-20,-724.896
2024-09-10,-649.94
2024-09-17,-724.901
2024-10-01,-799.927
2024-10-08,-599.971
2024-10-15,-799.924
2024-10-22,-749.907
2025-01-07,-724.991
2025-01-14,-749.937
2025-01-28,-549.948
2025-04-08,-749.97
2025-04-15,-749.973
2025-04-29,-749.942
2025-07-08,-749.912
2025-07-22,-599.995
2025-07-29,-749.997
2025-10-07,-774.973
2025-10-21,-749.906
2025-11-04,-549.88
2025-11-11,-774.949
2025-11-25,-749.984
2026-01-13,-799.92
2026-01-27,-674.917
2026-02-10,-774.963
2026-02-24,-799.976
2026-03-17,-774.974
2026-04-21,-724.964
2026-04-28,-674.938
2026-05-12,-724.955
2026-05-19,-824.967
2026-06-16,-824.953
2026-07-21,-599.993
2026-07-28,-724.977
2026-08-11,-599.991
2026-08-18,-724.916
