date,RPMB57Q
2016-09-30,1898310.0
2016-10-31,1893733.0
2016-11-30,1900476.0
2016-12-31,1907984.0
2017-01-31,1905783.0
2017-02-28,1917815.0
2017-03-31,1934647.0
2017-04-30,1937254.0
2017-05-31,1949764.0
2017-06-30,1958948.0
2017-07-31,1925133.0
2017-08-31,1933353.0
2017-09-30,1954505.0
2017-10-31,1954251.0
2017-11-30,1958515.0
2017-12-31,1971059.0
2018-01-31,1962336.0
2018-02-28,1965343.0
2018-03-31,1975124.0
2018-04-30,2002953.0
2018-05-31,2010410.0
2018-06-30,2027145.0
2018-07-31,2031787.0
2018-08-31,2031841.0
2018-09-30,2046584.0
2018-10-31,2055313.0
2018-11-30,2061915.0
2018-12-31,2072662.0
2019-01-31,2067870.0
2019-02-28,2066414.0
2019-03-31,2078214.0
2019-04-30,2075567.0
2019-05-31,2075551.0
2019-06-30,2089759.0
2019-07-31,2104639.0
2019-08-31,2127269.0
2019-09-30,2134300.0
2019-10-31,2133298.0
2019-11-30,2137385.0
2019-12-31,2144933.0
2020-01-31,2137246.0
2020-02-29,2139558.0
2020-03-31,2189424.0
2020-04-30,2176113.0
2020-05-31,2188465.0
2020-06-30,2200746.0
2020-07-31,2199721.0
2020-08-31,2194321.0
2020-09-30,2200003.0
2020-10-31,2203838.0
2020-11-30,2225050.0
2020-12-31,2231662.0
2021-01-31,2228605.0
2021-02-28,2221726.0
2021-03-31,2227654.0
2021-04-30,2223286.0
2021-05-31,2228484.0
2021-06-30,2259091.0
2021-07-31,2245632.0
2021-08-31,2247722.0
2021-09-30,2248637.0
2021-10-31,2263325.0
2021-11-30,2264279.0
2021-12-31,2266924.0
2022-01-31,2268754.0
2022-02-28,2274860.0
2022-03-31,2303908.0
2022-04-30,2300995.0
2022-05-31,2313258.0
2022-06-30,2303746.0
2022-07-31,2315617.0
2022-08-31,2317535.0
2022-09-30,2340412.0
2022-10-31,2310832.0
2022-11-30,2290530.0
2022-12-31,2290800.0
2023-01-31,2285990.0
2023-02-28,2267532.0
2023-03-31,2275590.0
2023-04-30,2272979.0
2023-05-31,2271674.0
2023-06-30,2267491.0
2023-07-31,2272224.0
2023-08-31,2269895.0
2023-09-30,2272645.0
2023-10-31,2271235.0
2023-11-30,2282887.0
2023-12-31,2287476.0
2024-01-31,2286056.0
2024-02-29,2273858.0
2024-03-31,2288771.0
2024-04-30,2289967.0
2024-05-31,2291208.0
2024-06-30,2298828.0
2024-07-31,2305953.0
2024-08-31,2306284.0
2024-09-30,2321202.0
2024-10-31,2328977.0
2024-11-30,2329534.0
2024-12-31,2335132.0
2025-01-31,2344266.0
2025-02-28,2350720.0
2025-03-31,2367601.0
2025-04-30,2368666.0
2025-05-31,2378318.0
2025-06-30,2395377.0
2025-07-31,2401642.0
2025-08-31,2411931.0
2025-09-30,2432133.0
2025-10-31,2444393.0
2025-11-30,2464935.0
2025-12-31,2478634.0
2026-01-31,2487796.0
2026-02-28,2490356.0
2026-03-31,2505839.0
2026-04-30,2510892.0
2026-05-31,2515855.0
2026-06-30,2554448.0
2026-07-31,2553181.0
