date,RPWZ4TL
2020-08-12,13952.0
2020-08-19,13970.0
2020-08-26,13974.0
2020-09-02,13956.0
2020-09-09,13643.0
2020-09-16,13646.0
2020-09-23,13667.0
2020-09-30,13680.0
2020-10-07,13736.0
2020-10-14,13804.0
2020-10-21,13862.0
2020-10-28,13879.0
2020-11-04,13915.0
2020-11-11,13947.0
2020-11-18,14040.0
2020-11-25,14076.0
2020-12-02,14097.0
2020-12-09,14079.0
2020-12-16,14153.0
2020-12-23,14175.0
2020-12-30,14179.0
2021-01-06,14182.0
2021-01-13,14252.0
2021-01-20,14303.0
2021-01-27,14393.0
2021-02-03,14473.0
2021-02-10,14518.0
2021-02-17,14592.0
2021-02-24,14702.0
2021-03-03,14785.0
2021-03-10,14785.0
2021-03-17,14930.0
2021-03-24,14980.0
2021-03-31,15140.0
2021-04-07,15144.0
2021-04-14,15215.0
2021-04-21,15334.0
2021-04-28,15446.0
2021-05-05,15572.0
2021-05-12,15638.0
2021-05-19,15760.0
2021-05-26,15897.0
2021-06-02,15988.0
2021-06-09,15250.0
2021-06-16,15388.0
2021-06-23,15517.0
2021-06-30,15586.0
2021-07-07,15633.0
2021-07-14,15702.0
2021-07-21,15782.0
2021-07-28,15850.0
2021-08-04,15926.0
2021-08-11,15975.0
2021-08-18,16056.0
2021-08-25,16151.0
2021-09-01,16224.0
2021-09-08,15847.0
2021-09-15,15944.0
2021-09-22,16032.0
2021-09-29,16077.0
2021-10-06,16121.0
2021-10-13,16221.0
2021-10-20,16318.0
2021-10-27,16392.0
2021-11-03,16396.0
2021-11-10,16400.0
2021-11-17,16511.0
2021-11-24,16592.0
2021-12-01,16636.0
2021-12-08,16750.0
2021-12-15,16891.0
2021-12-22,16894.0
2021-12-29,16898.0
2022-01-05,16902.0
2022-01-12,16967.0
2022-01-19,17026.0
2022-01-26,17099.0
2022-02-02,17139.0
2022-02-09,17172.0
2022-02-16,17254.0
2022-02-23,17337.0
2022-03-02,17289.0
2022-03-09,16832.0
2022-03-16,16932.0
2022-03-23,16983.0
2022-03-30,17081.0
2022-04-06,17085.0
2022-04-13,17177.0
2022-04-20,17223.0
2022-04-27,17285.0
2022-05-04,17359.0
2022-05-11,17389.0
2022-05-18,17427.0
2022-05-25,17515.0
2022-06-01,17602.0
2022-06-08,17554.0
2022-06-15,17617.0
2022-06-22,17654.0
2022-06-29,17673.0
2022-07-06,17717.0
2022-07-13,17853.0
2022-07-20,17927.0
2022-07-27,17606.0
2022-08-03,17639.0
2022-08-10,17658.0
2022-08-17,17792.0
2022-08-24,17874.0
2022-08-31,17906.0
2022-09-07,17236.0
2022-09-14,17328.0
2022-09-21,17369.0
2022-09-28,17373.0
2022-10-05,17377.0
2022-10-12,17381.0
2022-10-19,17385.0
2022-10-26,17460.0
2022-11-02,17523.0
2022-11-09,17640.0
2022-11-16,17719.0
2022-11-23,17817.0
2022-11-30,17829.0
2022-12-07,17780.0
2022-12-14,17785.0
2022-12-21,17789.0
2022-12-28,17793.0
2023-01-04,17798.0
2023-01-11,17802.0
2023-01-18,17806.0
2023-01-25,17796.0
2023-02-01,17795.0
2023-02-08,17799.0
2023-02-15,17804.0
2023-02-22,17808.0
2023-03-01,17786.0
2023-03-08,17726.0
2023-03-15,17731.0
2023-03-22,17735.0
2023-03-29,17739.0
2023-04-05,17744.0
2023-04-12,17748.0
2023-04-19,17753.0
2023-04-26,17740.0
2023-05-03,17745.0
2023-05-10,17749.0
2023-05-17,17753.0
2023-05-24,17688.0
2023-05-31,17425.0
2023-06-07,17372.0
2023-06-14,17377.0
2023-06-21,17381.0
2023-06-28,17385.0
2023-07-05,17389.0
2023-07-12,17393.0
2023-07-19,17397.0
2023-07-26,16891.0
2023-08-02,16888.0
2023-08-09,16892.0
2023-08-16,16896.0
2023-08-23,16900.0
2023-08-30,16904.0
2023-09-06,16896.0
2023-09-13,16187.0
2023-09-20,16191.0
2023-09-27,16195.0
2023-10-04,16199.0
2023-10-11,16203.0
2023-10-18,16207.0
2023-10-25,16194.0
2023-11-01,16198.0
2023-11-08,16202.0
2023-11-15,16206.0
2023-11-22,16210.0
2023-11-29,16213.0
2023-12-06,16233.0
2023-12-13,16176.0
2023-12-20,16188.0
2023-12-27,16192.0
2024-01-03,16196.0
2024-01-10,16200.0
2024-01-17,16204.0
2024-01-24,16195.0
2024-01-31,16194.0
2024-02-07,16198.0
2024-02-14,16202.0
2024-02-21,16206.0
2024-02-28,16210.0
2024-03-06,16208.0
2024-03-13,16156.0
2024-03-20,16160.0
2024-03-27,16164.0
2024-04-03,16168.0
2024-04-10,16172.0
2024-04-17,16176.0
2024-04-24,15666.0
