date,LPMBZ2A
2016-09-30,1505537.0
2016-10-31,1510343.0
2016-11-30,1513508.0
2016-12-31,1515867.0
2017-01-31,1520775.0
2017-02-28,1526469.0
2017-03-31,1532242.0
2017-04-30,1535945.0
2017-05-31,1541736.0
2017-06-30,1547232.0
2017-07-31,1551575.0
2017-08-31,1556602.0
2017-09-30,1561909.0
2017-10-31,1566756.0
2017-11-30,1572079.0
2017-12-31,1576333.0
2018-01-31,1579910.0
2018-02-28,1584621.0
2018-03-31,1589441.0
2018-04-30,1588827.0
2018-05-31,1593288.0
2018-06-30,1597964.0
2018-07-31,1602114.0
2018-08-31,1606469.0
2018-09-30,1610868.0
2018-10-31,1618191.0
2018-11-30,1622455.0
2018-12-31,1626548.0
2019-01-31,1631020.0
2019-02-28,1635131.0
2019-03-31,1635737.0
2019-04-30,1640127.0
2019-05-31,1643676.0
2019-06-30,1647686.0
2019-07-31,1652215.0
2019-08-31,1657520.0
2019-09-30,1661779.0
2019-10-31,1667060.0
2019-11-30,1671436.0
2019-12-31,1677034.0
2020-01-31,1681727.0
2020-02-29,1687068.0
2020-03-31,1688085.0
2020-04-30,1679474.0
2020-05-31,1675119.0
2020-06-30,1675799.0
2020-07-31,1679492.0
2020-08-31,1682668.0
2020-09-30,1686430.0
2020-10-31,1691193.0
2020-11-30,1695811.0
2020-12-31,1701271.0
2021-01-31,1705455.0
2021-02-28,1707753.0
2021-03-31,1718800.0
2021-04-30,1720419.0
2021-05-31,1725900.0
2021-06-30,1742961.0
2021-07-31,1741196.0
2021-08-31,1745334.0
2021-09-30,1751050.0
2021-10-31,1752310.0
2021-11-30,1756817.0
2021-12-31,1760692.0
2022-01-31,1767033.0
2022-02-28,1773250.0
2022-03-31,1781874.0
2022-04-30,1786825.0
2022-05-31,1793909.0
2022-06-30,1799687.0
2022-07-31,1801920.0
2022-08-31,1805940.0
2022-09-30,1814682.0
2022-10-31,1818399.0
2022-11-30,1822623.0
2022-12-31,1825467.0
2023-01-31,1830091.0
2023-02-28,1832312.0
2023-03-31,1832204.0
2023-04-30,1832336.0
2023-05-31,1833050.0
2023-06-30,1834587.0
2023-07-31,1835937.0
2023-08-31,1838338.0
2023-09-30,1838610.0
2023-10-31,1840356.0
2023-11-30,1841705.0
2023-12-31,1838938.0
2024-01-31,1841634.0
2024-02-29,1844453.0
2024-03-31,1846147.0
2024-04-30,1851759.0
2024-05-31,1854528.0
2024-06-30,1858091.0
2024-07-31,1861737.0
2024-08-31,1865645.0
2024-09-30,1869261.0
2024-10-31,1872200.0
2024-11-30,1874960.0
2024-12-31,1877407.0
2025-01-31,1883528.0
2025-02-28,1888231.0
2025-03-31,1901580.0
2025-04-30,1901499.0
2025-05-31,1904225.0
2025-06-30,1908156.0
2025-07-31,1913783.0
2025-08-31,1919706.0
2025-09-30,1925095.0
2025-10-31,1930913.0
2025-11-30,1935386.0
2025-12-31,1941251.0
2026-01-31,1947369.0
2026-02-28,1953838.0
2026-03-31,1961989.0
2026-04-30,1966910.0
2026-05-31,1970157.0
2026-06-30,1978764.0
2026-07-31,1984308.0
