date,maturity,coupon,face
2019-01-31,2019-03-15,5.25,13210.237
2019-01-31,2019-10-21,2.75,14932.318
2019-01-31,2020-04-15,4.5,22485.716
2019-01-31,2020-11-21,1.75,24184
2019-01-31,2021-05-15,5.75,30198.489
2019-01-31,2021-12-21,2,17800
2019-01-31,2022-07-15,5.75,24999.82
2019-01-31,2022-11-21,2.25,16500
2019-01-31,2023-04-21,5.5,24099.82
2019-01-31,2024-04-21,2.75,26200
2019-01-31,2025-04-21,3.25,27900
2019-01-31,2026-04-21,4.25,32400
2019-01-31,2027-04-21,4.75,29699.566
2019-01-31,2027-11-21,2.75,28000
2019-01-31,2028-05-21,2.25,27800
2019-01-31,2028-11-21,2.75,25600
2019-01-31,2029-04-21,3.25,25899.803
2019-01-31,2029-11-21,2.75,19000
2019-01-31,2030-05-21,2.5,12000
2019-01-31,2033-04-21,4.5,13900
2019-01-31,2035-06-21,2.75,6950
2019-01-31,2037-04-21,3.75,11600
2019-01-31,2039-06-21,3.25,8000
2019-01-31,2041-05-21,2.75,3600
2019-01-31,2047-03-21,3,13000
2019-02-28,2019-03-15,5.25,13210.237
2019-02-28,2019-10-21,2.75,14932.318
2019-02-28,2020-04-15,4.5,21995.716
2019-02-28,2020-11-21,1.75,23874
2019-02-28,2021-05-15,5.75,30198.489
2019-02-28,2021-12-21,2,17800
2019-02-28,2022-07-15,5.75,24999.82
2019-02-28,2022-11-21,2.25,16500
2019-02-28,2023-04-21,5.5,24099.82
2019-02-28,2024-04-21,2.75,26200
2019-02-28,2025-04-21,3.25,27900
2019-02-28,2026-04-21,4.25,32400
2019-02-28,2027-04-21,4.75,29699.566
2019-02-28,2027-11-21,2.75,28000
2019-02-28,2028-05-21,2.25,28200
2019-02-28,2028-11-21,2.75,25600
2019-02-28,2029-04-21,3.25,25899.803
2019-02-28,2029-11-21,2.75,19900
2019-02-28,2030-05-21,2.5,13800
2019-02-28,2033-04-21,4.5,13900
2019-02-28,2035-06-21,2.75,7350
2019-02-28,2037-04-21,3.75,12000
2019-02-28,2039-06-21,3.25,8400
2019-02-28,2041-05-21,2.75,3600
2019-02-28,2047-03-21,3,13000
2019-03-31,2019-10-21,2.75,14932.318
2019-03-31,2020-04-15,4.5,21682.716
2019-03-31,2020-11-21,1.75,23302
2019-03-31,2021-05-15,5.75,29583.474
2019-03-31,2021-12-21,2,17800
2019-03-31,2022-07-15,5.75,24999.82
2019-03-31,2022-11-21,2.25,16500
2019-03-31,2023-04-21,5.5,24499.82
2019-03-31,2024-04-21,2.75,26700
2019-03-31,2025-04-21,3.25,27900
2019-03-31,2026-04-21,4.25,32400
2019-03-31,2027-04-21,4.75,29699.566
2019-03-31,2027-11-21,2.75,28000
2019-03-31,2028-05-21,2.25,28200
2019-03-31,2028-11-21,2.75,25600
2019-03-31,2029-04-21,3.25,26999.803
2019-03-31,2029-11-21,2.75,20800
2019-03-31,2030-05-21,2.5,15600
2019-03-31,2033-04-21,4.5,13900
2019-03-31,2035-06-21,2.75,7350
2019-03-31,2037-04-21,3.75,12000
2019-03-31,2039-06-21,3.25,8400
2019-03-31,2041-05-21,2.75,3600
2019-03-31,2047-03-21,3,13000
2019-04-30,2019-10-21,2.75,14932.318
2019-04-30,2020-04-15,4.5,19798.716
2019-04-30,2020-11-21,1.75,23052
2019-04-30,2021-05-15,5.75,29017.474
2019-04-30,2021-12-21,2,17800
2019-04-30,2022-07-15,5.75,24999.82
2019-04-30,2022-11-21,2.25,16500
2019-04-30,2023-04-21,5.5,25199.82
2019-04-30,2024-04-21,2.75,26700
2019-04-30,2025-04-21,3.25,27900
2019-04-30,2026-04-21,4.25,32400
2019-04-30,2027-04-21,4.75,29699.566
2019-04-30,2027-11-21,2.75,28000
2019-04-30,2028-05-21,2.25,28200
2019-04-30,2028-11-21,2.75,25600
2019-04-30,2029-04-21,3.25,26999.803
2019-04-30,2029-11-21,2.75,21700
2019-04-30,2030-05-21,2.5,17300
2019-04-30,2033-04-21,4.5,13900
2019-04-30,2035-06-21,2.75,7750
2019-04-30,2037-04-21,3.75,12000
2019-04-30,2039-06-21,3.25,8700
2019-04-30,2041-05-21,2.75,3600
2019-04-30,2047-03-21,3,13000
2019-05-31,2019-10-21,2.75,14932.318
2019-05-31,2020-04-15,4.5,19698.716
2019-05-31,2020-11-21,1.75,22152
2019-05-31,2021-05-15,5.75,29017.474
2019-05-31,2021-12-21,2,17800
2019-05-31,2022-07-15,5.75,24999.82
2019-05-31,2022-11-21,2.25,16500
2019-05-31,2023-04-21,5.5,25199.82
2019-05-31,2024-04-21,2.75,27600
2019-05-31,2025-04-21,3.25,27900
2019-05-31,2026-04-21,4.25,32400
2019-05-31,2027-04-21,4.75,29699.566
2019-05-31,2027-11-21,2.75,28000
2019-05-31,2028-05-21,2.25,28200
2019-05-31,2028-11-21,2.75,25600
2019-05-31,2029-04-21,3.25,26999.803
2019-05-31,2029-11-21,2.75,22600
2019-05-31,2030-05-21,2.5,18700
2019-05-31,2031-06-21,1.5,3000
2019-05-31,2033-04-21,4.5,13900
2019-05-31,2035-06-21,2.75,7750
2019-05-31,2037-04-21,3.75,12000
2019-05-31,2039-06-21,3.25,8700
2019-05-31,2041-05-21,2.75,3600
2019-05-31,2047-03-21,3,13000
2019-06-30,2019-10-21,2.75,14932.318
2019-06-30,2020-04-15,4.5,19361.716
2019-06-30,2020-11-21,1.75,21889
2019-06-30,2021-05-15,5.75,29017.464
2019-06-30,2021-12-21,2,17800
