date,tender,maturity,coupon,offered,allotted,bids,coverage,wa_yield,low_yield,high_yield,highest_bid_yield,tail_bp
1989-06-07,22/89,1989-09-06,,,200000000.0,,,17.208,,,,
1989-06-14,23/89,1989-09-13,,,300000000.0,,,17.271,,,,
1989-06-14,23/89,1989-12-13,,,200000000.0,,,17.372,,,,
1989-06-21,24/89,1989-09-20,,,500000000.0,,,17.451,,,,
1989-06-21,24/89,1989-12-20,,,301000000.0,,,17.471,,,,
1989-07-05,26/89,1989-10-04,,,300000000.0,,,16.889,,,,
1989-07-12,27/89,1990-01-10,,,500000000.0,,,16.747,,,,
1989-07-12,27/89,1989-10-11,,,600000000.0,,,16.827,,,,
1989-07-19,28/89,1989-10-18,,,600000000.0,,,16.999,,,,
1989-07-19,28/89,1990-01-17,,,400000000.0,,,16.938,,,,
1989-07-26,29/89,1989-10-25,,,600000000.0,,,16.76,,,,
1989-07-26,29/89,1990-01-24,,,500000000.0,,,16.844,,,,
1989-08-02,30/89,1989-11-01,,,400000000.0,,,16.607,,,,
1989-08-02,30/89,1990-01-31,,,100000000.0,,,16.57,,,,
1989-08-09,31/89,1989-11-08,,,400000000.0,,,16.315,,,,
1989-08-09,31/89,1990-02-07,,,200000000.0,,,16.372,,,,
1989-08-16,32/89,1989-11-15,,,500000000.0,,,16.34,,,,
1989-08-16,32/89,1990-02-14,,,200000000.0,,,16.38,,,,
1989-08-23,33/89,1989-11-22,,,500000000.0,,,16.743,,,,
1989-08-23,33/89,1990-02-21,,,200250000.0,,,16.598,,,,
1989-08-30,34/89,1989-11-29,,,400000000.0,,,16.965,,,,
1989-08-30,34/89,1990-02-28,,,400000000.0,,,16.871,,,,
1989-09-06,35/89,1989-12-06,,,300000000.0,,,16.944,,,,
1989-09-13,36/89,1989-12-13,,,400000000.0,,,16.978,,,,
1989-09-13,36/89,1990-03-14,,,199470000.0,,,16.835,,,,
1989-09-20,37/89,1989-12-20,,,500000000.0,,,17.424,,,,
1989-09-20,37/89,1990-03-21,,,400000000.0,,,17.319,,,,
1989-09-27,38/89,1989-12-27,,,600000000.0,,,17.457,,,,
1989-09-27,38/89,1990-03-28,,,400000000.0,,,17.459,,,,
1989-10-04,39/89,1990-01-03,,,400000000.0,,,17.424,,,,
1989-10-04,39/89,1990-04-04,,,200000000.0,,,17.392,,,,
1989-10-11,40/89,1990-01-10,,,700000000.0,,,17.583,,,,
1989-10-11,40/89,1990-04-11,,,400000000.0,,,17.477,,,,
1989-10-18,41/89,1990-01-17,,,600000000.0,,,17.614,,,,
1989-10-18,41/89,1990-04-18,,,400000000.0,,,17.472,,,,
1989-10-25,42/89,1990-01-24,,,500000000.0,,,17.912,,,,
1989-10-25,42/89,1990-04-25,,,500000000.0,,,17.754,,,,
1989-11-01,43/89,1990-01-31,,,400000000.0,,,17.834,,,,
1989-11-01,43/89,1990-05-02,,,300100000.0,,,17.57,,,,
1989-11-08,44/89,1990-02-07,,,501000000.0,,,17.819,,,,
1989-11-08,44/89,1990-05-09,,,399800000.0,,,17.421,,,,
1989-11-15,45/89,1990-05-16,,,300000000.0,,,17.369,,,,
1989-11-15,45/89,1990-02-14,,,300000000.0,,,17.777,,,,
