date,FXRUSD
2010-01-04,0.897
2010-01-05,0.9133
2010-01-06,0.9138
2010-01-07,0.9225
2010-01-08,0.9154
2010-01-11,0.9309
2010-01-12,0.9272
2010-01-13,0.9238
2010-01-14,0.9296
2010-01-15,0.9272
2010-01-18,0.9224
2010-01-19,0.9237
2010-01-20,0.9174
2010-01-21,0.9136
2010-01-22,0.9029
2010-01-25,0.9069
2010-01-27,0.902
2010-01-28,0.901
2010-01-29,0.8909
2010-02-01,0.8831
2010-02-02,0.8802
2010-02-03,0.8849
2010-02-04,0.8805
2010-02-05,0.8675
2010-02-08,0.8662
2010-02-09,0.8678
2010-02-10,0.8751
2010-02-11,0.8886
2010-02-12,0.889
2010-02-15,0.8874
2010-02-16,0.8937
2010-02-17,0.9016
2010-02-18,0.8954
2010-02-19,0.8909
2010-02-22,0.9012
2010-02-23,0.9011
2010-02-24,0.893
2010-02-25,0.8883
2010-02-26,0.8899
2010-03-01,0.8975
2010-03-02,0.8988
2010-03-03,0.905
2010-03-04,0.9021
2010-03-05,0.9007
2010-03-08,0.9112
2010-03-09,0.9094
2010-03-10,0.9158
2010-03-11,0.9143
2010-03-12,0.9159
2010-03-15,0.9138
2010-03-16,0.9152
2010-03-17,0.9189
2010-03-18,0.922
2010-03-19,0.9215
2010-03-22,0.9145
2010-03-23,0.9176
2010-03-24,0.9175
2010-03-25,0.9115
2010-03-26,0.9102
2010-03-29,0.9082
2010-03-30,0.9188
2010-03-31,0.9159
2010-04-01,0.9164
2010-04-06,0.9225
2010-04-07,0.9266
2010-04-08,0.9275
2010-04-09,0.9275
2010-04-12,0.9323
2010-04-13,0.9246
2010-04-14,0.9324
2010-04-15,0.9341
2010-04-16,0.9304
2010-04-19,0.9195
2010-04-20,0.927
2010-04-21,0.9329
2010-04-22,0.9272
2010-04-23,0.9212
2010-04-27,0.925
2010-04-28,0.9212
2010-04-29,0.9251
2010-04-30,0.93
2010-05-03,0.925
2010-05-04,0.9208
2010-05-05,0.91
2010-05-06,0.905
2010-05-07,0.8879
2010-05-10,0.9034
2010-05-11,0.8963
2010-05-12,0.8924
2010-05-13,0.9008
2010-05-14,0.8944
2010-05-17,0.877
2010-05-18,0.8743
2010-05-19,0.8561
2010-05-20,0.8311
2010-05-21,0.8305
2010-05-24,0.8265
2010-05-25,0.8178
2010-05-26,0.8226
2010-05-27,0.8326
2010-05-28,0.8524
2010-05-31,0.849
2010-06-01,0.8385
2010-06-02,0.8309
2010-06-03,0.8499
2010-06-04,0.844
2010-06-07,0.8156
2010-06-08,0.8198
2010-06-09,0.8227
2010-06-10,0.8385
2010-06-11,0.8449
2010-06-15,0.8564
2010-06-16,0.8645
2010-06-17,0.8606
2010-06-18,0.8691
2010-06-21,0.8828
2010-06-22,0.8759
2010-06-23,0.8698
2010-06-24,0.8731
2010-06-25,0.8626
2010-06-28,0.875
2010-06-29,0.8643
2010-06-30,0.8523
2010-07-01,0.8366
2010-07-02,0.8448
2010-07-05,0.8446
2010-07-06,0.8419
2010-07-07,0.848
2010-07-08,0.8725
2010-07-09,0.877
2010-07-12,0.8732
2010-07-13,0.8721
2010-07-14,0.8815
2010-07-15,0.8803
2010-07-16,0.8757
2010-07-19,0.8687
2010-07-20,0.878
2010-07-21,0.8822
2010-07-22,0.8776
2010-07-23,0.8919
2010-07-26,0.8954
2010-07-27,0.9019
2010-07-28,0.895
2010-07-29,0.8973
2010-07-30,0.8986
2010-08-03,0.9083
2010-08-04,0.9108
2010-08-05,0.9159
2010-08-06,0.9164
2010-08-09,0.9183
2010-08-10,0.9119
2010-08-11,0.9049
2010-08-12,0.8994
2010-08-13,0.9026
2010-08-16,0.8924
