A2 RESERVE BANK OF AUSTRALIA – CHANGES IN MONETARY POLICY AND ADMINISTERED RATES
Title,Change in Cash Rate Target,New Cash Rate Target,Change in ES Rate,New ES Rate,Change in Overnight Repo Rate,New Overnight Repo Rate
Description,Change in Cash Rate Target (in percentage points),The Cash Rate Target As Announced,Change in Rate Paid on Exchange Settlement Balances (in percentage points),The New Rate Paid on Exchange Settlement Balances,Change in Pricing Rate on RBA Overnight Standing Facility Repos (in percentage points),The New Pricing Rate on RBA Overnight Standing Facility Repos
Frequency,As announced,As announced,As announced,As announced,As announced,As announced
Type,Original,Original,Original,Original,Original,Original
Units,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent


Source,RBA,RBA,RBA,RBA,RBA,RBA
Publication date,11-Aug-2026,11-Aug-2026,11-Aug-2026,11-Aug-2026,11-Aug-2026,11-Aug-2026
Series ID,ARBAMPCCCR,ARBAMPCNCRT,ARBAMPCRPESB,ARBAMPNRPESB,ARBAMPCORR,ARBAMPNORR
06-Feb-2008,+0.25,7.00,+0.25,6.75,+0.25,7.25
05-Mar-2008,+0.25,7.25,+0.25,7.00,+0.25,7.50
03-Sep-2008,-0.25,7.00,-0.25,6.75,-0.25,7.25
08-Oct-2008,-1.00,6.00,-1.00,5.75,-1.00,6.25
05-Nov-2008,-0.75,5.25,-0.75,5.00,-0.75,5.50
03-Dec-2008,-1.00,4.25,-1.00,4.00,-1.00,4.50
04-Feb-2009,-1.00,3.25,-1.00,3.00,-1.00,3.50
08-Apr-2009,-0.25,3.00,-0.25,2.75,-0.25,3.25
07-Oct-2009,+0.25,3.25,+0.25,3.00,+0.25,3.50
04-Nov-2009,+0.25,3.50,+0.25,3.25,+0.25,3.75
02-Dec-2009,+0.25,3.75,+0.25,3.50,+0.25,4.00
03-Mar-2010,+0.25,4.00,+0.25,3.75,+0.25,4.25
07-Apr-2010,+0.25,4.25,+0.25,4.00,+0.25,4.50
05-May-2010,+0.25,4.50,+0.25,4.25,+0.25,4.75
03-Nov-2010,+0.25,4.75,+0.25,4.50,+0.25,5.00
02-Nov-2011,-0.25,4.50,-0.25,4.25,-0.25,4.75
07-Dec-2011,-0.25,4.25,-0.25,4.00,-0.25,4.50
02-May-2012,-0.50,3.75,-0.50,3.50,-0.50,4.00
06-Jun-2012,-0.25,3.50,-0.25,3.25,-0.25,3.75
03-Oct-2012,-0.25,3.25,-0.25,3.00,-0.25,3.50
05-Dec-2012,-0.25,3.00,-0.25,2.75,-0.25,3.25
08-May-2013,-0.25,2.75,-0.25,2.50,-0.25,3.00
07-Aug-2013,-0.25,2.50,-0.25,2.25,-0.25,2.75
04-Feb-2015,-0.25,2.25,-0.25,2.00,-0.25,2.50
06-May-2015,-0.25,2.00,-0.25,1.75,-0.25,2.25
04-May-2016,-0.25,1.75,-0.25,1.50,-0.25,2.00
03-Aug-2016,-0.25,1.50,-0.25,1.25,-0.25,1.75
05-Jun-2019,-0.25,1.25,-0.25,1.00,-0.25,1.50
03-Jul-2019,-0.25,1.00,-0.25,0.75,-0.25,1.25
02-Oct-2019,-0.25,0.75,-0.25,0.50,-0.25,1.00
04-Mar-2020,-0.25,0.50,-0.25,0.25,-0.25,0.75
20-Mar-2020,-0.25,0.25,-0.15,0.10,-0.25,0.50
04-Nov-2020,-0.15,0.10,-0.10,0.00,-0.15,0.35
04-May-2022,+0.25,0.35,+0.25,0.25,+0.25,0.60
08-Jun-2022,+0.50,0.85,+0.50,0.75,+0.50,1.10
06-Jul-2022,+0.50,1.35,+0.50,1.25,+0.50,1.60
03-Aug-2022,+0.50,1.85,+0.50,1.75,+0.50,2.10
07-Sep-2022,+0.50,2.35,+0.50,2.25,+0.50,2.60
05-Oct-2022,+0.25,2.60,+0.25,2.50,+0.25,2.85
02-Nov-2022,+0.25,2.85,+0.25,2.75,+0.25,3.10
07-Dec-2022,+0.25,3.10,+0.25,3.00,+0.25,3.35
08-Feb-2023,+0.25,3.35,+0.25,3.25,+0.25,3.60
08-Mar-2023,+0.25,3.60,+0.25,3.50,+0.25,3.85
03-May-2023,+0.25,3.85,+0.25,3.75,+0.25,4.10
07-Jun-2023,+0.25,4.10,+0.25,4.00,+0.25,4.35
08-Nov-2023,+0.25,4.35,+0.25,4.25,+0.25,4.60
19-Feb-2025,-0.25,4.10,-0.25,4.00,-0.25,4.35
21-May-2025,-0.25,3.85,-0.25,3.75,-0.25,4.10
13-Aug-2025,-0.25,3.60,-0.25,3.50,-0.25,3.85
04-Feb-2026,+0.25,3.85,+0.25,3.75,+0.25,4.10
18-Mar-2026,+0.25,4.10,+0.25,4.00,+0.25,4.35
06-May-2026,+0.25,4.35,+0.25,4.25,+0.25,4.60
