held,method,maturity,coupon,isin,repurchased,offers,wa_yield,proceeds,settled
2014-05-02,Syndication,2015-08-20,4,AU0000XCLWD4,2038930000,0,0.4775,3670950739.8,2014-05-07
2014-05-14,RBA,2020-08-20,4,AU0000XCLWE2,8687000,,,,2014-05-17
2014-05-14,RBA,2015-08-20,4,AU0000XCLWD4,4741000,,,,2014-05-17
2014-05-14,RBA,2022-02-21,1.25,AU000XCLWAB3,9883000,,,,2014-05-17
2014-05-14,RBA,2025-09-20,3,AU0000XCLWP8,6773000,,,,2014-05-17
2014-05-14,RBA,2030-09-20,2.5,AU0000XCLWV6,7239000,,,,2014-05-17
2017-08-23,Syndication,2018-11-21,1,AU000XCLWAJ6,2732293000,2732293000,0.03,2949237064.2,2017-08-31
2018-07-17,Syndication,2018-11-21,1,AU000XCLWAJ6,1494809000,1494809000,0.18,1628908315.39,2018-07-27
2018-09-18,Syndication,2020-08-20,4,AU0000XCLWE2,2073855000,2073855000,0.24,3805669094.85,2018-09-25
2019-05-31,TIBB1,2020-08-20,4,AU0000XCLWE2,979000000,979000000,0.1,1772900470,2019-06-04
2021-08-24,Syndication,2022-02-21,1.25,AU000XCLWAB3,1719253000,1719253000,-2.5,2070307270.07,2021-08-31
2024-03-26,Syndication,2025-09-20,3,AU0000XCLWP8,2000000000,2285885000,1.085,3002800000,2024-04-04
2024-11-26,Syndication,2025-09-20,3,AU0000XCLWP8,2000000000,4164539000,2.11,3026460000,2024-12-03
