date,GFG,D,RIWF,IZ,W,IG,FI,WSF,UA,T0,N,GB,VB,GBI,US,UT,SP,RE,T1,FRGSF,VRGSF,VF,GD,FRGUSD,GSGSF,ES,DS,AIWFS
1999-02,11930.2,48823.4,3150.4,95.3,711.5,,123.5,4984.5,1249.8,86509.3,30604.5,4906.5948816,12226.4,133.7,266.5,0,2880.6,35313.3,86509.3,15440.7,0,177.8,,,,,,
1999-03,11923.3,50415.5,3375.4,376.7,283.2,,315.4,4947.6,1507.3,88255.4,31386.3,4997.38187286,12502.6,126.6,251.6,0,3675.3,35313.3,88255.4,15110.9,0,2.3,,,,,,
1999-04,11923.3,50201.2,3122.5,132.3,283.2,,244.3,4966.6,1200.1,89016.3,30936.4,5517.58176837,14439.6,122.3,223.3,0,2282.9,35314.2,89016.3,16942.7,0,179.9,,,,,,
1999-05,11923.3,49162.1,3122.6,118.9,283.2,,293.2,4935.7,1265.6,91899.4,30898.9,4966.16793575,17683.8,164.4,307.2,0,2562.5,35314.2,91899.4,20794.8,0,2.3,,,,,,
1999-06,11917.8,51930.8,3138.3,214.7,290.1,,365.7,4819.9,1145.3,94496.2,30919.5,5148.52156535,19689.2,165.8,218.3,0,3040.7,35313.8,94496.2,20673.7,0,0.5,,,,,,
1999-07,11917.8,48597.1,3138.3,133.4,290.1,,246.6,4850.6,1186,92512.6,30589.5,3976.20361761,18763.9,141.8,299.5,0,3192.5,35313.7,92512.6,22152.7,1.1,234.4,,,,,,
1999-08,11917.8,50633.3,2813.7,155.1,290.1,,201.5,4883,1177.6,95865.7,30477.7,4238.96686481,21157.3,167.5,224.3,0,3574.4,35313.7,95865.7,23793.7,0,711.8,,,,,,
1999-09,11929.2,50641.8,2722.7,133.6,290.4,,294,4828.1,1192.1,91685.1,30877.8,4431.31236018,17520.6,167,235.7,0,2380.1,35313.6,91685.1,19653.3,0,758.9,,,,,,
1999-10,11929.2,50851.5,2718.1,281.3,290.4,,185.8,4870.9,1176.8,90856.4,30950.4,3258.46980571,17660.4,176,207,0,2602.3,35313.6,90856.4,18552.3,0,688.3,,,,,,
1999-11,11929.2,50216.2,2550.2,310,290.4,,232.9,4897.3,1498,91827.6,32240.4,3598.59842012,17139.1,202.9,253.2,0,2918,35313.5,91827.6,19903.3,0,161.8,,,,,,
1999-12,11938.6,54608.2,2677.6,756.4,306.5,,390.8,4884.9,1139.9,104838.9,37184.8,9883.33811956,16862,214,295.4,0,1774.4,38263.3,104838.9,28136,6.5,355.1,,,,,,
2000-01,11938.6,48824.6,2614,626.9,306.5,,224.9,4910.3,1201.3,92443.5,32392.2,3046.45855584,16211.4,198.7,246.1,0,2078.7,38262.8,92443.5,21796.4,0,7.2,,,,,,
2000-02,11938.6,46080.6,2614.1,609.6,306.5,,154.3,4992.3,1198.4,89601.8,31926.6,4361.6617379,12084.3,190.2,242.4,0,2527.1,38262.6,89601.8,21707.4,0,7,,,,,,
2000-03,11944.7,46833.3,2699.4,459.8,313.9,,328.6,4820,1115.3,89021.5,32049.7,4721.64312022,10334.1,189.8,231.8,0,2889.1,38262.4,89021.5,20506.7,0,343,,,,,,
2000-04,11944.7,46988,2399.6,314.2,313.9,,139.6,4863.3,1221.3,85144.1,32094,3591.3219401,7431.8,182.5,228.2,0,3021.3,38262.1,85144.1,16959.7,0,332.9,,,,,,
2000-05,39273.7,47874,2399.7,442.6,259.1,,209.6,4889.9,1174.8,116894,31686.6,3517.86486927,12852.1,159.7,244.8,0,29584.3,38262.9,116894,20370.7,0,585.7,,,,,,
2000-06,38396.6,46470.4,2272.9,475.4,255.8,,206,4870.8,1115.4,118483.1,31844,4774.20572045,15347.6,161.8,217.2,0,27510.3,38262.6,118483.1,24419.7,0,365.4,,,,,,
2000-07,38105.9,47759,2273.1,334.3,270.8,,119.6,4795.6,1181.1,117847.2,31520,3304.7226659,15555.8,154.1,204.6,0,28282.1,38262.1,117847.2,23007.7,0,563.8,,,,,,
2000-08,37730.5,48323.3,2139.2,466.2,270.8,,185.9,4940.8,1284.1,117132.6,31296.5,3706.03697656,14472.7,140.7,217.3,0,28520.8,38261.8,117132.6,21791.7,0,516.8,,,,,,
2000-09,37701.2,49783.4,2158.5,289.5,275.9,,119.4,5068.9,1142.7,120754,31577.6,5179.79065227,14851.8,189.1,314.4,0,30248.4,38261.5,120754,24214.5,0,131.4,,,,,,
2000-10,37433,50382.3,2158.7,166.5,263.4,,175,5109.2,1324.2,116333.9,31525.1,3327.07580748,12287.7,160.4,192.7,0,30578.2,38261.2,116333.9,19321.5,0,1.6,,,,,,
2000-11,37166.5,50925.9,2155.6,185.1,278.8,,102.3,5211.8,1109.9,115741.5,32056.5,3281.81586128,10546.3,176.9,244.6,0,30893.3,38260.8,115741.5,18605.5,0.4,280.7,,,,,,
2000-12,34724.8,50452.8,2078.8,268.5,352.4,,276.3,5409.8,1353,119098.4,35485.7,6193.6,10052.7,203.4,161.5,0,1635.6,64925.7,119098.4,24182,0,440.2,,,,,,
2001-01,34481.18875052,47351.7789478,2186.69742289,130.66638323,352.41512111,,142.46289855,5522.43666125,1376.73657203,109511.41437349,32454.750455,3093.25317443,6856.10771899,174.16912282,209.01604539,0,117.413852,66607.29912251,109511.41437349,17967.03161611,0,0.49479333,,,,,,
2001-02,34258.96469241,49032.46698168,2110.38886787,253.31899003,352.41512111,,50.44275325,5580.94921528,1386.27718979,110346.25542753,32595.64574,3317.90462955,5346.38826977,156.51790009,235.56463838,0,110.58954828,67141.92371618,110346.25542753,17321.03161611,0,1443.82474755,,,,,,
2001-03,34122.87561044,49456.31715671,2149.31617973,213.27129339,357.01548889,,95.5641378,5648.77643651,1164.8327702,112209.76209034,32759.74858,5263.87098696,4566.83282756,195.59802391,254.05458567,0,376.37234896,68345.6136615,112209.76209034,19001.79301667,0,448.80888728,,,,,,
2001-04,33908.16781474,51072.71381816,2094.77233035,184.76159098,357.01548889,,50.70419985,5707.39748685,1113.10439973,111220.43014622,33031.35117,3101.62069394,4968.65295889,209.62618504,198.92654431,0,385.90197815,67007.39206603,111220.43014622,16731.79301667,0,2319.66590582,,,,,,
2001-05,33655.33760264,50967.776678,2242.06899301,681.3942564,357.01548889,,102.0990232,5693.58533452,1308.22478364,113815.29517697,33019.33447,3193.41204205,7097.0595034,236.82208699,220.78131709,0,379.25772925,67303.2200099,113815.29517697,18807.79301667,0,2366.43377274,,,,,,
2001-06,36220.07709076,50673.97811334,2278.93066361,853.73227913,366.75853538,,55.3911984,5667.26091243,1136.50104449,121655.99208087,33405.638985,5232.69753956,10004.26374281,232.64507073,227.96582966,0,489.57320711,70616.36734593,121655.99208087,24403.36224333,0,1447.92909959,,,,,,
