date,GI,UEB,TG
2009-01-09,39019,,
2009-01-16,40087,,
2009-01-23,37023,,
2009-01-30,45258,,
2009-02-06,43979,,
2009-02-13,52177,,
2009-02-20,45490,,
2009-02-27,45289,,
2009-03-06,44758,,
2009-03-13,44502,,
2009-03-20,52563,,
2009-03-27,64156,,
2009-04-03,69118,,
2009-04-10,68848,,
2009-04-17,72915,,
2009-04-24,69791,,
2009-05-01,80693,,
2009-05-08,66132,,
2009-05-15,56121,,
2009-05-22,57365,,
2009-05-29,61191,,
2009-06-05,62872,,
2009-06-12,58638,,
2009-06-19,58691,,
2009-06-26,63356,,
2009-07-03,70555,,
2009-07-10,67202,,
2009-07-17,67420,,
2009-07-24,62753,,
2009-07-31,62312,,
2009-08-07,63201,,
2009-08-14,62371,,
2009-08-21,62130,,
2009-08-28,57918,,
2009-09-04,57146,,
2009-09-11,54176,,
2009-09-18,49283,,
2009-09-25,44595,,
2009-10-02,47299,,
2009-10-09,50695,,
2009-10-16,49343,,
2009-10-23,45298,,
2009-10-30,44616,,
2009-11-06,42118,,
2009-11-13,42504,,
2009-11-20,44556,,
2009-11-27,46610,,
2009-12-04,43475,,
2009-12-11,41517,,
2009-12-18,41354,,
2009-12-25,40527,,
2010-01-01,41261,,
2010-01-08,42251,,
2010-01-15,40048,,
2010-01-22,37657,,
2010-01-29,37995,,
2010-02-05,38359,,
2010-02-12,36705,,
2010-02-19,38830,,
2010-02-26,41281,,
2010-03-05,41724,,
2010-03-12,43801,,
2010-03-19,47848,,
2010-03-26,44621,,
2010-04-02,46398,,
2010-04-09,52661,,
2010-04-16,54307,,
2010-04-23,45153,,
2010-04-30,48452,,
2010-05-07,60606,,
2010-05-14,76005,,
2010-05-21,78807,,
2010-05-28,103520,,
2010-06-04,93005,,
2010-06-11,68693,,
2010-06-18,51686,,
2010-06-25,48338,,
2010-07-02,61254,,
2010-07-09,74461,,
2010-07-16,54312,,
2010-07-23,47421,,
2010-07-30,51310,,
2010-08-06,50755,,
2010-08-13,47465,,
2010-08-20,42607,,
2010-08-27,35772,,
2010-09-03,28612,,
2010-09-10,26022,,
2010-09-17,28140,,
2010-09-24,25356,,
2010-10-01,30126,,
2010-10-08,33022,,
2010-10-15,31597,,
2010-10-22,32212,,
2010-10-29,28643,,
2010-11-05,26255,,
2010-11-12,23369,,
2010-11-19,22970,,
2010-11-26,22636,,
2010-12-03,23003,,
2010-12-10,22937,,
2010-12-17,22651,,
2010-12-24,21645,,
2010-12-31,28497,,
2011-01-07,33479,,
2011-01-14,30062,,
2011-01-21,30169,,
2011-01-28,27473,,
2011-02-04,25974,,
2011-02-11,27716,,
2011-02-18,28762,,
2011-02-25,27138,,
2011-03-04,24875,,
2011-03-11,24242,,
2011-03-18,23436,,
2011-03-25,24285,,
2011-04-01,23746,,
2011-04-08,24213,,
2011-04-15,24011,,
2011-04-22,24309,,
2011-04-29,24318,,
2011-05-06,23369,,
2011-05-13,23104,,
2011-05-20,26860,,
2011-05-27,25742,,
2011-06-03,24727,,
2011-06-10,25802,,
2011-06-17,26653,,
2011-06-24,25232,,
2011-07-01,27332,,
2011-07-08,28208,,
2011-07-15,27779,,
2011-07-22,29576,,
2011-07-29,30161,,
2011-08-05,29901,,
2011-08-12,61148,,
2011-08-19,114551,22063,136614
2011-08-26,163906,25131,189037
2011-09-02,191609,38188,229797
2011-09-09,207678,45762,253440
2011-09-16,205785,41648,247434
2011-09-23,203405,38863,242268
2011-09-30,200471,37080,237551
2011-10-07,198408,37145,235553
2011-10-14,195553,39627,235179
2011-10-21,190971,40581,231552
2011-10-28,191051,40273,231324
2011-11-04,187341,42839,230181
2011-11-11,188990,42346,231336
2011-11-18,189313,42199,231512
2011-11-25,185410,42967,228377
2011-12-02,181149,47373,228522
2011-12-09,176542,49484,226026
2011-12-16,173302,50921,224222
2011-12-23,179801,43733,223534
2011-12-30,179670,41234,220904
2012-01-06,180270,36907,217177
2012-01-13,175566,43198,218765
2012-01-20,170583,45733,216316
2012-01-27,168355,48030,216386
2012-02-03,171721,47605,219326
2012-02-10,171284,48201,219485
2012-02-17,167399,49943,217342
2012-02-24,167542,50170,217713
2012-03-02,164841,54911,219752
2012-03-09,159981,57283,217264
2012-03-16,158816,58209,217025
2012-03-23,159405,58134,217539
2012-03-30,158634,59324,217957
2012-04-06,157751,60192,217942
2012-04-13,160846,57607,218453
2012-04-20,158743,59475,218218
2012-04-27,158764,59749,218513
2012-05-04,153604,65457,219062
2012-05-11,150900,67094,217994
2012-05-18,155850,65911,221761
2012-05-25,170071,64910,234980
2012-06-01,185408,66919,252326
2012-06-08,194607,71495,266102
2012-06-15,212508,72055,284562
2012-06-22,227955,72938,300894
2012-06-29,237835,73134,310970
2012-07-06,245161,71740,316901
2012-07-13,249281,71502,320783
2012-07-20,261399,69769,331167
2012-07-27,270923,70620,341543
2012-08-03,277299,74756,352055
2012-08-10,277537,75767,353304
2012-08-17,280585,76091,356676
2012-08-24,286375,75736,362112
2012-08-31,288959,77017,365976
2012-09-07,291114,79558,370673
2012-09-14,294152,79146,373297
2012-09-21,292305,81425,373731
2012-09-28,291245,82171,373416
2012-10-05,291041,81693,372734
2012-10-12,293144,79813,372956
2012-10-19,292163,81197,373360
2012-10-26,293309,79981,373291
2012-11-02,290679,81859,372538
2012-11-09,291522,80981,372503
2012-11-16,292700,80344,373044
2012-11-23,294559,79350,373909
2012-11-30,293104,80242,373346
2012-12-07,292764,79849,372613
2012-12-14,294270,77949,372220
2012-12-21,292813,78539,371351
2012-12-28,288526,81115,369642
2013-01-04,282640,86194,368833
2013-01-11,283683,86156,369839
2013-01-18,284331,86794,371124
2013-01-25,283522,87760,371282
2013-02-01,281934,88486,370420
2013-02-08,280226,89839,370065
