date,H0,H5,H7
1999-06-21,0.7,,
1999-06-22,0.73,,
1999-06-24,3,,
1999-06-30,2.5,,
1999-07-01,0.73,,
1999-07-02,0.7,,
1999-07-05,0.731828,,
1999-07-07,0.75,1,
1999-07-12,0.75,,
1999-07-13,0.492308,,
1999-07-14,0.57541,,
1999-07-15,0.611538,,
1999-07-19,0.55,,
1999-07-20,0.55,,
1999-07-21,0.45,0.91,
1999-07-23,0.55,,
1999-07-26,0.55,,
1999-07-27,0.55,,
1999-07-28,0.55,,
1999-07-29,0.65,,
1999-08-02,0.75,0.88,
1999-08-03,0.6,,
1999-08-04,0.7,0.91,
1999-08-05,0.55,0.9,
1999-08-06,0.55,0.92,
1999-08-09,0.6,,
1999-08-10,0.565625,,
1999-08-11,0.4,,
1999-08-12,0.5,,
1999-08-13,0.695455,,
1999-08-16,0.45,0.97,
1999-08-17,0.57,,
1999-08-18,0.814286,0.92625,
1999-08-19,0.83,0.98,
1999-08-20,0.868212,,
1999-08-23,0.781707,,
1999-08-24,0.634444,,
1999-08-25,0.38,,
1999-08-26,0.573411,,
1999-08-27,0.589743,,
1999-08-30,0.68,0.91,
1999-08-31,0.662654,,
1999-09-01,0.583846,,
1999-09-02,0.522973,0.9125,
1999-09-03,0.5525,,
1999-09-06,0.595674,,
1999-09-07,0.614545,,
1999-09-08,0.571429,0.919048,
1999-09-10,0.705634,,
1999-09-13,0.7,,
1999-09-15,0.88,0.87,
1999-09-16,0.95,,
1999-09-17,0.96,,
1999-09-20,1,,
1999-09-21,0.999661,,
1999-09-23,0.83,,
1999-09-24,0.809444,,
1999-09-27,0.863889,,
1999-09-28,1,,
1999-09-29,0.96,,
1999-09-30,1.603778,,
1999-10-01,1,,
1999-10-04,1.144043,,
1999-10-05,1.098039,,
1999-10-06,1.05,,
1999-10-07,0.981389,,
1999-10-08,0.995455,,
1999-10-11,0.993478,,
1999-10-12,0.95,,
1999-10-13,0.994286,,
1999-10-14,0.9,,
1999-10-15,0.74,1.93,
1999-10-18,0.84,,
1999-10-19,0.8,,
1999-10-20,0.8,,
1999-10-21,0.74,2,
1999-10-22,0.687698,1.884,
1999-10-25,0.663542,,
1999-10-26,0.738327,1.82,
1999-10-27,0.783333,1.79,
1999-10-28,0.644214,,
1999-10-29,0.823193,,
1999-11-01,0.875049,,
1999-11-02,0.9,,
1999-11-03,0.892881,1.9,
1999-11-04,0.85577,1.82,
1999-11-05,0.956851,,
1999-11-08,0.801325,,
1999-11-09,0.797284,1.74,
1999-11-10,0.775289,,
1999-11-11,0.765,,
1999-11-12,0.894326,,
1999-11-15,0.937719,,
1999-11-16,0.964697,,
1999-11-17,1.106407,,
1999-11-18,1.272648,,
1999-11-19,1.26,,
1999-11-22,1.272018,1.74,
1999-11-23,1.283299,1.705,
1999-11-24,1.084893,1.630228,
1999-11-25,0.896712,1.599001,
1999-11-26,0.81165,1.597668,
1999-11-29,0.938912,1.613055,
1999-11-30,1.078627,1.526404,
1999-12-01,1.017351,1.603333,
1999-12-02,1.000976,1.6675,
1999-12-03,1.04604,1.8225,
1999-12-06,0.962401,1.804152,
1999-12-07,0.952823,1.806667,
1999-12-08,0.971018,1.809516,
1999-12-09,0.931263,1.83,
1999-12-10,0.871698,1.737844,
1999-12-13,0.415539,1.668525,
1999-12-14,0.753545,1.678181,
1999-12-15,0.948725,1.721333,
1999-12-16,1.068093,1.755,
1999-12-17,0.963251,1.768333,
1999-12-20,1.003108,1.763333,
1999-12-21,1.06786,1.79,
1999-12-22,1.075309,1.776001,
1999-12-23,0.988468,1.775,
1999-12-24,0.836734,1.785,
1999-12-27,0.886736,1.795,
1999-12-28,0.820183,1.816,
1999-12-29,0.376906,1.580001,
1999-12-30,1.437788,1.597273,
2000-01-04,0.714965,1.682187,
2000-01-05,0.666779,1.61303,
2000-01-06,0.654473,1.62613,
2000-01-07,0.787328,1.623714,
2000-01-10,0.807924,1.655403,
2000-01-11,0.439189,1.663151,
2000-01-12,0.412385,1.628125,
2000-01-13,0.408225,1.645998,
2000-01-14,0.5,1.661802,
2000-01-17,1.201578,1.706214,
2000-01-18,1.288376,1.724871,
2000-01-19,1.206799,1.657667,
2000-01-20,1.207697,1.686221,
2000-01-21,1.393569,1.788601,
2000-01-24,1.482966,1.844224,
2000-01-25,1.512117,1.830856,
2000-01-26,1.433836,1.844198,
2000-01-27,1.481257,1.835775,
2000-01-28,1.674618,1.88212,
2000-01-31,2.28,1.98466,
2000-02-01,1.898438,2.02046,
2000-02-02,1.708037,2.002588,
2000-02-03,1.699197,2.064809,
2000-02-04,1.885291,2.152112,
2000-02-07,1.948142,2.1835,
2000-02-08,1.901799,2.194501,
2000-02-09,1.835154,2.16,
2000-02-10,1.903148,2.160741,
2000-02-11,1.878352,2.153748,
2000-02-14,1.956036,2.149999,
2000-02-15,2.08401,2.23815,
2000-02-16,2.243022,2.356857,
2000-02-17,1.859453,2.351061,
2000-02-18,1.873253,2.379412,
2000-02-21,1.626229,2.354348,
2000-02-22,1.460989,2.323469,
2000-02-23,1.50661,2.282383,
2000-02-24,1.530067,2.32625,
2000-02-25,1.643544,2.358717,
2000-02-28,1.389125,2.436197,
2000-02-29,1.342026,2.348261,
2000-03-01,1.479888,2.308124,
2000-03-02,0.983304,2.319,
2000-03-03,1.124212,2.3,
2000-03-06,0.772222,2.193685,
2000-03-07,0.695122,2.201485,
2000-03-08,0.694001,2.2108,
2000-03-09,0.675625,2.246819,
2000-03-10,1.530483,2.310321,
2000-03-13,1.620521,2.3598,
2000-03-14,1.549306,2.383925,
2000-03-15,1.607425,2.418751,
2000-03-16,0.969444,2.442375,
2000-03-17,0.95814,2.413332,
2000-03-20,1.105663,2.397691,
2000-03-21,0.897414,2.368261,
2000-03-22,0.967721,2.293052,
2000-03-23,1.625319,2.4175,
2000-03-24,1.973269,2.67625,
2000-03-27,2.292875,2.703444,
2000-03-28,2.37169,2.722091,
2000-03-29,2.558929,2.735912,
2000-03-30,2.242131,2.748402,
2000-03-31,2.361749,2.735616,
2000-04-03,2.540488,2.74,
2000-04-04,2.483843,2.775556,
2000-04-05,2.223395,2.734585,
2000-04-06,2.007598,2.699688,
2000-04-07,1.893355,2.698182,
2000-04-10,2.073104,2.706667,
2000-04-11,2.484486,2.72625,
2000-04-12,2.493637,2.749999,
2000-04-13,2.449668,2.771249,
2000-04-14,2.329297,2.780534,
2000-04-17,2.384777,2.745594,
2000-04-18,2.591317,2.778788,
2000-04-19,2.705084,2.818438,
2000-04-20,2.715108,2.81125,
2000-04-25,2.692965,2.896,
2000-04-26,2.74206,3.009174,
2000-04-27,2.7,3.045883,
2000-04-28,2.547827,3.130314,
2000-05-02,2.651391,3.056749,
2000-05-03,2.530104,3.010618,
2000-05-04,2.475134,2.9548,
2000-05-05,1.7815,2.976666,
2000-05-08,1.588889,2.955,
2000-05-09,1.776359,2.974001,
2000-05-10,1.996787,3.007447,
