date,T0
2020-Q1,38507
2020-Q2,51510
2020-Q3,10973
2020-Q4,8685
2021-Q1,296
2021-Q2,5438
2021-Q3,2789
2021-Q4,12627
2022-Q1,5741
2022-Q2,-5
2022-Q3,-739
2022-Q4,-27280
2023-Q1,-32260
2023-Q2,-40310
2023-Q3,-37628
2023-Q4,-22661
2024-Q1,281
2024-Q2,103
2024-Q3,728
2024-Q4,103
2025-Q1,49
2025-Q2,5058
2025-Q3,75
2025-Q4,-6
2026-Q1,3940
