date,rg_prudential_fund
2026-04-01,20000.0
2026-04-02,20000.0
2026-04-06,20000.0
2026-04-07,20000.0
2026-04-08,20000.0
2026-04-09,20000.0
2026-04-10,20000.0
2026-04-13,20000.0
2026-04-14,20000.0
2026-04-15,20000.0
2026-04-16,20000.0
2026-04-17,20000.0
2026-04-20,20000.0
2026-04-21,20000.0
2026-04-22,20000.0
2026-04-23,20000.0
2026-04-24,20000.0
2026-04-27,20000.0
2026-04-28,20000.0
2026-04-29,20000.0
2026-04-30,20000.0
2026-05-01,20000.0
2026-05-04,20000.0
2026-05-05,20000.0
2026-05-06,20000.0
2026-05-07,20000.0
2026-05-08,20000.0
2026-05-11,20000.0
2026-05-12,20000.0
2026-05-13,20000.0
2026-05-14,20000.0
2026-05-15,20000.0
2026-05-19,20000.0
2026-05-20,20000.0
2026-05-21,20000.0
2026-05-22,20000.0
2026-05-25,20000.0
2026-05-26,20000.0
2026-05-27,20000.0
2026-05-28,20000.0
2026-05-29,20000.0
2026-06-01,20000.0
2026-06-02,20000.0
2026-06-03,20000.0
2026-06-04,20000.0
2026-06-05,20000.0
2026-06-08,20000.0
2026-06-09,20000.0
2026-06-10,20000.0
2026-06-11,20000.0
2026-06-12,20000.0
2026-06-15,20000.0
2026-06-16,20000.0
2026-06-17,20000.0
2026-06-18,20000.0
2026-06-19,20000.0
2026-06-22,20000.0
2026-06-23,20000.0
2026-06-24,20000.0
2026-06-25,20000.0
2026-06-26,20000.0
2026-06-29,20000.0
2026-06-30,20000.0
2026-07-02,20000.0
2026-07-03,20000.0
2026-07-06,20000.0
2026-07-07,20000.0
2026-07-08,20000.0
2026-07-09,20000.0
2026-07-10,20000.0
2026-07-13,20000.0
2026-07-14,20000.0
2026-07-15,20000.0
2026-07-16,20000.0
2026-07-17,20000.0
2026-07-20,20000.0
2026-07-21,20000.0
2026-07-22,20000.0
2026-07-23,20000.0
2026-07-24,20000.0
2026-07-27,20000.0
2026-07-28,20000.0
2026-07-29,20000.0
2026-07-30,20000.0
2026-07-31,20000.0
2026-08-03,20000.0
2026-08-04,20000.0
2026-08-05,20000.0
2026-08-06,20000.0
2026-08-07,20000.0
2026-08-10,20000.0
2026-08-11,20000.0
2026-08-12,20000.0
2026-08-13,20000.0
2026-08-14,20000.0
2026-08-17,20000.0
2026-08-18,20000.0
2026-08-19,20000.0
2026-08-20,20000.0
2026-08-21,20000.0
2026-08-24,20000.0
2026-08-25,20000.0
2026-08-26,20000.0
2026-08-27,20000.0
2026-08-28,20000.0
2026-08-31,20000.0
2026-09-01,20000.0
