date,CORRA_TOTAL_VOLUME
2020-06-12,12906808055.0
2020-06-15,11031629325.0
2020-06-16,10592992420.0
2020-06-17,11803081929.0
2020-06-18,12621151108.0
2020-06-19,13925523423.0
2020-06-22,12185072208.0
2020-06-23,9648691019.0
2020-06-24,5528297000.0
2020-06-25,8651041423.0
2020-06-26,12280642794.0
2020-06-29,11901331293.0
2020-06-30,14689021488.0
2020-07-02,9967602111.0
2020-07-03,10107739597.0
2020-07-06,9400116007.0
2020-07-07,9932939595.0
2020-07-08,9767075805.0
2020-07-09,10505566719.0
2020-07-10,10479573399.0
2020-07-13,11228274580.0
2020-07-14,11990593375.0
2020-07-15,9986382575.0
2020-07-16,11987735543.0
2020-07-17,13725642583.0
2020-07-20,12885835341.0
2020-07-21,14260632339.0
2020-07-22,14644369011.0
2020-07-23,14364406786.0
2020-07-24,14464924194.0
2020-07-27,16453800422.0
2020-07-28,14622942214.0
2020-07-29,12397294430.0
2020-07-30,12544369293.0
2020-07-31,14082156394.0
2020-08-04,11328022833.0
2020-08-05,11408037662.0
2020-08-06,11431713314.0
2020-08-07,9780764102.0
2020-08-10,10726883818.0
2020-08-11,8978434652.0
2020-08-12,9016798128.0
2020-08-13,9465412735.0
2020-08-14,11591723264.0
2020-08-17,12867614476.0
2020-08-18,11525305464.0
2020-08-19,13712448155.0
2020-08-20,11338587279.0
2020-08-21,14711552264.0
2020-08-24,12431428690.0
2020-08-25,13741713996.0
2020-08-26,13506753798.0
2020-08-27,13264433004.0
2020-08-28,14966694265.0
2020-08-31,15064734181.0
2020-09-01,12930574631.0
2020-09-02,11600953207.0
2020-09-03,12068521349.0
2020-09-04,11776929456.0
2020-09-08,13487129420.0
2020-09-09,12979884151.0
2020-09-10,12281602248.0
2020-09-11,12732253172.0
2020-09-14,9166890000.0
2020-09-15,10590048976.0
2020-09-16,10028214351.0
2020-09-17,11300124560.0
2020-09-18,10777873020.0
2020-09-21,8811846000.0
2020-09-22,15016009888.0
2020-09-23,13206412299.0
2020-09-24,11322312960.0
2020-09-25,12387475228.0
2020-09-28,6614493000.0
2020-09-29,10103712785.0
2020-09-30,12448645895.0
2020-10-01,10269094202.0
2020-10-02,9954993159.0
2020-10-05,11540147796.0
2020-10-06,9586662980.0
2020-10-07,11716741193.0
2020-10-08,11375139872.0
2020-10-09,12919770913.0
2020-10-13,11994412118.0
2020-10-14,12261962094.0
2020-10-15,12930047076.0
2020-10-16,11539416990.0
2020-10-19,11454648123.0
2020-10-20,9971863140.0
2020-10-21,12944478434.0
2020-10-22,13810728992.0
2020-10-23,14903199438.0
2020-10-26,14728898722.0
2020-10-27,12174728261.0
2020-10-28,12658076008.0
2020-10-29,13102705694.0
2020-10-30,14385831123.0
2020-11-02,20097360060.0
2020-11-03,11944601123.0
2020-11-04,11448800652.0
2020-11-05,10789640367.0
2020-11-06,13390148300.0
2020-11-09,12021438428.0
2020-11-10,18546524597.0
2020-11-12,15756192496.0
2020-11-13,14590629751.0
2020-11-16,14390775454.0
2020-11-17,14069881249.0
