date,CORRA.COMPOUNDED.INDEX
2020-06-12,100.0
2020-06-15,100.0019726
2020-06-16,100.00257535
2020-06-17,100.00320551
2020-06-18,100.00386306
2020-06-19,100.00449322
2020-06-22,100.00654811
2020-06-23,100.00723309
2020-06-24,100.00791807
2020-06-25,100.00860305
2020-06-26,100.00928804
2020-06-29,100.01134303
2020-06-30,100.01202804
2020-07-02,100.01339807
2020-07-03,100.01408309
2020-07-06,100.01589156
2020-07-07,100.0164944
2020-07-08,100.01717944
2020-07-09,100.01786449
2020-07-10,100.01854955
2020-07-13,100.02060472
2020-07-14,100.02123499
2020-07-15,100.02192007
2020-07-16,100.02260515
2020-07-17,100.02329023
2020-07-20,100.02534551
2020-07-21,100.02603061
2020-07-22,100.02671572
2020-07-23,100.02740084
2020-07-24,100.02808596
2020-07-27,100.03014133
2020-07-28,100.03082647
2020-07-29,100.03151161
2020-07-30,100.03214194
2020-07-31,100.03277228
2020-08-04,100.03551291
2020-08-05,100.03614327
2020-08-06,100.03677363
2020-08-07,100.03745882
2020-08-10,100.03934994
2020-08-11,100.04003514
2020-08-12,100.04066553
2020-08-13,100.04129592
2020-08-14,100.04192632
2020-08-17,100.04381752
2020-08-18,100.04444793
2020-08-19,100.04507835
2020-08-20,100.04576359
2020-08-21,100.04639402
2020-08-24,100.0482853
2020-08-25,100.04891574
2020-08-26,100.04954619
2020-08-27,100.05017664
2020-08-28,100.05086191
2020-08-31,100.05291775
2020-09-01,100.05360305
2020-09-02,100.05426093
2020-09-03,100.05494624
2020-09-04,100.05557672
2020-09-08,100.05831797
2020-09-09,100.05894847
2020-09-10,100.05957898
2020-09-11,100.06020949
2020-09-14,100.06210104
2020-09-15,100.06273157
2020-09-16,100.06341693
2020-09-17,100.0641023
2020-09-18,100.06473284
2020-09-21,100.06662448
2020-09-22,100.06725503
2020-09-23,100.06788559
2020-09-24,100.06857099
2020-09-25,100.06925639
2020-09-28,100.07131261
2020-09-29,100.07191578
2020-09-30,100.07254637
2020-10-01,100.07312213
2020-10-02,100.07372531
2020-10-05,100.07578162
2020-10-06,100.07641223
2020-10-07,100.07709769
2020-10-08,100.07778315
2020-10-09,100.07833152
2020-10-13,100.08063469
2020-10-14,100.08123792
2020-10-15,100.08181373
2020-10-16,100.08249922
2020-10-19,100.08430893
2020-10-20,100.08499444
2020-10-21,100.08562511
2020-10-22,100.08622837
2020-10-23,100.08683163
2020-10-26,100.08855915
2020-10-27,100.08916243
2020-10-28,100.0897657
2020-10-29,100.0903964
2020-10-30,100.09102711
2020-11-02,100.09283698
2020-11-03,100.09338543
2020-11-04,100.09393389
2020-11-05,100.09450977
2020-11-06,100.09511308
2020-11-09,100.09675848
2020-11-10,100.09730695
2020-11-12,100.09834906
2020-11-13,100.0988427
2020-11-16,100.10048816
2020-11-17,100.10103666
2020-11-18,100.10161258
2020-11-19,100.10221593
2020-11-20,100.10279186
2020-11-23,100.10460194
2020-11-24,100.10515046
2020-11-25,100.10578126
2020-11-26,100.10638463
2020-11-27,100.10696059
2020-11-30,100.10877074
2020-12-01,100.10940157
2020-12-02,100.10997754
2020-12-03,100.11058094
2020-12-04,100.11112949
2020-12-07,100.11285744
2020-12-08,100.113406
2020-12-09,100.11398199
2020-12-10,100.11455799
2020-12-11,100.11513399
2020-12-14,100.11677972
2020-12-15,100.11732831
2020-12-16,100.1178769
