date,overnight_ops_net_daily
2020-03-16,3000.0
2020-03-17,1500.0
2020-03-18,-1500.0
2020-03-19,-1500.0
2020-03-20,0.0
2020-03-23,500.0
2020-03-24,-2000.0
2022-03-03,-454.0
2022-03-04,-3225.0
2022-03-07,-117.0
2022-03-08,-961.0
2022-03-09,127.0
2022-03-10,324.0
2022-03-11,-897.0
2022-03-14,1135.0
2022-03-15,155.0
2022-03-16,-356.0
2022-03-17,-319.0
2022-03-18,316.0
2022-03-21,-100.0
2022-03-22,352.0
2022-03-23,-788.0
2022-03-24,-317.0
2022-03-25,703.0
2022-03-28,-452.0
2022-03-29,-123.0
2022-03-30,709.0
2022-03-31,-247.0
2022-04-01,-542.0
2022-04-04,358.0
2022-04-05,-304.0
2022-04-06,65.0
2022-04-07,-572.0
2022-04-08,821.0
2022-04-11,-292.0
2022-04-12,405.0
2022-04-13,-1130.0
2022-04-14,362.0
2022-04-18,-480.0
2022-04-19,-241.0
2022-04-20,-381.0
2022-04-21,-1438.0
2022-04-22,56.0
2022-04-25,776.0
2022-04-26,-800.0
2022-04-27,-196.0
2022-04-28,1510.0
2022-04-29,165.0
2022-05-02,-3346.0
2022-05-03,-879.0
2022-05-04,2551.0
2022-05-05,948.0
2022-05-06,-318.0
2022-05-09,-2376.0
2022-05-10,4448.0
2022-05-11,508.0
2022-05-12,-926.0
2022-05-13,1023.0
2022-05-16,-389.0
2022-05-17,-2575.0
2022-05-18,-1748.0
2022-05-19,-730.0
2022-05-20,-2103.0
2022-05-24,5532.0
2022-05-25,-4300.0
2022-05-26,-406.0
2022-05-27,1097.0
2022-05-30,1495.0
2022-05-31,-1542.0
2022-06-01,763.0
2022-06-02,-168.0
2022-06-03,577.0
2022-06-06,315.0
2022-06-07,-389.0
2022-06-08,614.0
2022-06-09,-1088.0
2022-06-10,244.0
2022-06-13,822.0
2022-06-14,-1289.0
2022-06-15,-374.0
2022-06-16,-1276.0
2022-06-17,1337.0
2022-06-20,192.0
2022-06-21,3.0
2022-06-22,-375.0
2022-06-23,3102.0
2022-06-24,-1233.0
2022-06-27,-617.0
2022-06-28,-1100.0
2022-06-29,5474.0
2022-06-30,-2628.0
2022-07-04,-841.0
2022-07-05,1421.0
2022-07-06,-1090.0
2022-07-07,814.0
2022-07-08,-1161.0
2022-07-11,-877.0
2022-07-12,640.0
2022-07-13,1427.0
2022-07-14,114.0
2022-07-15,-368.0
2022-07-18,1063.0
2022-07-19,40.0
2022-07-20,-1033.0
2022-07-21,210.0
2022-07-22,-284.0
2022-07-25,1742.0
2022-07-26,369.0
2022-07-27,-2422.0
2022-07-28,-2120.0
2022-07-29,6949.0
2022-08-02,-1501.0
2022-08-03,444.0
2022-08-04,-626.0
2022-08-05,983.0
2022-08-08,-525.0
2022-08-09,2295.0
2022-08-10,1860.0
2022-08-11,-1940.0
2022-08-12,1940.0
2022-08-15,-45.0
2022-08-16,45.0
2022-08-17,-650.0
2022-08-18,-692.0
2022-08-19,842.0
2022-08-22,490.0
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,5.0
2022-08-26,5.0
2022-08-29,0.0
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-06,0.0
2022-09-07,-700.0
2022-09-08,-83.0
2022-09-09,-1069.0
2022-09-12,-264.0
2022-09-13,-209.0
2022-09-14,448.0
2022-09-15,-127.0
2022-09-16,455.0
2022-09-19,-1059.0
2022-09-20,99.0
2022-09-21,185.0
2022-09-22,662.0
2022-09-23,-1234.0
2022-09-26,1182.0
2022-09-27,-289.0
2022-09-28,530.0
2022-09-29,-194.0
2022-10-03,113.0
2022-10-04,-513.0
2022-10-05,117.0
2022-10-06,-238.0
2022-10-07,150.0
2022-10-11,238.0
2022-10-12,900.0
2022-10-13,900.0
2022-10-14,-2353.0
2022-10-17,2053.0
2022-10-18,300.0
2022-10-19,0.0
2022-10-20,0.0
2022-10-21,0.0
2022-10-24,0.0
2022-10-25,-777.0
2022-10-26,-876.0
2022-10-27,1653.0
2022-10-28,-1800.0
2022-10-31,-1000.0
2022-11-01,500.0
2022-11-02,700.0
2022-11-03,100.0
2022-11-04,196.0
2022-11-07,-49.0
2022-11-08,1286.0
2022-11-09,67.0
2022-11-10,0.0
2022-11-14,-2896.0
2022-11-15,2896.0
2022-11-16,0.0
2022-11-17,0.0
2022-11-18,0.0
2022-11-21,0.0
2022-11-22,0.0
2022-11-23,0.0
2022-11-24,0.0
2022-11-25,-3356.0
2022-11-28,-74.0
2022-11-29,321.0
2022-11-30,974.0
2022-12-01,2135.0
2022-12-02,-400.0
2022-12-05,400.0
2022-12-06,-1038.0
2022-12-07,307.0
2022-12-08,331.0
2022-12-09,207.0
2022-12-12,-334.0
2022-12-13,79.0
2022-12-14,-58.0
2022-12-15,54.0
2022-12-16,-87.0
2022-12-19,-183.0
2022-12-20,722.0
2022-12-21,-969.0
2022-12-22,-269.0
2022-12-23,-405.0
2022-12-28,-80.0
2022-12-29,-2.0
2022-12-30,219.0
2023-01-03,82.0
2023-01-04,-216.0
2023-01-05,475.0
2023-01-06,39.0
2023-01-09,127.0
2023-01-10,15.0
2023-01-11,-364.0
2023-01-12,1147.0
2023-01-13,-829.0
2023-01-16,823.0
2023-01-17,-1017.0
2023-01-18,-591.0
2023-01-19,-158.0
2023-01-20,-1.0
2023-01-23,15.0
2023-01-24,155.0
2023-01-25,440.0
2023-01-26,45.0
2023-01-27,683.0
2023-01-30,-388.0
2023-01-31,-464.0
2023-02-01,-369.0
2023-02-02,-179.0
2023-02-03,-887.0
2023-02-06,77.0
2023-02-07,-373.0
2023-02-08,687.0
2023-02-09,-552.0
2023-02-10,30.0
2023-02-13,297.0
2023-02-14,-463.0
2023-02-15,230.0
2023-02-16,-523.0
2023-02-17,-84.0
2023-02-21,312.0
2023-02-22,-185.0
2023-02-23,17.0
2023-02-24,-369.0
2023-02-27,-586.0
2023-02-28,109.0
2023-03-01,282.0
2023-03-02,-207.0
2023-03-03,657.0
2023-03-06,-602.0
2023-03-07,505.0
2023-03-08,-307.0
2023-03-09,217.0
2023-03-10,-197.0
2023-03-13,841.0
2023-03-14,254.0
2023-03-15,-208.0
2023-03-16,2996.0
2023-03-17,68.0
2023-03-20,0.0
2023-03-21,0.0
2023-03-22,0.0
2023-03-23,0.0
2023-03-24,-3589.0
2023-03-27,-106.0
2023-03-28,-4.0
2023-03-29,-1369.0
2023-03-30,1531.0
2023-03-31,820.0
2023-04-03,-340.0
2023-04-04,-803.0
2023-04-05,416.0
2023-04-06,-661.0
2023-04-10,311.0
2023-04-11,-1761.0
2023-04-12,35.0
2023-04-13,1005.0
2023-04-14,455.0
