date,term_repo_net_daily
2015-10-15,500.0
2015-10-29,1000.0
2015-11-12,300.0
2015-11-26,800.0
2015-12-10,0.0
2015-12-15,1200.0
2015-12-23,1300.0
2016-01-06,-1200.0
2016-01-07,300.0
2016-01-22,800.0
2016-02-04,300.0
2016-02-18,800.0
2016-03-03,300.0
2016-03-17,300.0
2016-03-31,300.0
2016-04-15,0.0
2016-04-28,0.0
2016-05-12,0.0
2016-05-27,0.0
2016-06-09,0.0
2016-06-23,0.0
2016-07-07,0.0
2016-07-21,0.0
2016-08-04,0.0
2016-08-18,0.0
2016-09-01,0.0
2016-09-15,0.0
2016-09-29,0.0
2016-10-13,0.0
2016-10-27,0.0
2016-11-10,0.0
2016-11-24,0.0
2016-12-09,0.0
2016-12-19,1300.0
2016-12-22,0.0
2017-01-05,0.0
2017-01-06,-1300.0
2017-01-20,0.0
2017-02-02,0.0
2017-02-16,0.0
2017-03-03,0.0
2017-03-16,0.0
2017-03-30,0.0
2017-04-17,0.0
2017-04-27,0.0
2017-05-11,0.0
2017-05-26,0.0
2017-06-08,0.0
2017-06-22,0.0
2017-07-06,0.0
2017-07-20,500.0
2017-08-03,0.0
2017-08-17,-500.0
2017-08-31,0.0
2017-09-14,0.0
2017-09-28,0.0
2017-10-12,0.0
2017-10-27,400.0
2017-11-09,300.0
2017-11-23,100.0
2017-12-08,0.0
2017-12-19,1600.0
2017-12-21,100.0
2018-01-04,0.0
2018-01-05,-1600.0
2018-01-19,900.0
2018-02-01,0.0
2018-02-15,-500.0
2018-03-01,500.0
2018-03-15,-400.0
2018-03-29,-500.0
2018-04-12,400.0
2018-04-26,0.0
2018-05-10,-400.0
2018-05-24,400.0
2018-06-07,0.0
2018-06-21,-400.0
2018-07-05,0.0
2018-07-19,1000.0
2018-08-02,0.0
2018-08-16,-700.0
2018-08-30,400.0
2018-09-13,200.0
2018-09-27,-200.0
2018-10-11,-500.0
2018-10-26,0.0
2018-11-08,0.0
2018-11-22,100.0
2018-12-07,400.0
2018-12-17,2200.0
2018-12-20,-100.0
2019-01-04,200.0
2019-01-11,-2200.0
2019-01-17,700.0
2019-01-31,0.0
2019-02-14,300.0
2019-02-28,0.0
2019-03-14,300.0
2019-03-28,0.0
2019-04-11,0.0
2019-04-26,0.0
2019-05-09,0.0
2019-05-23,300.0
2019-06-06,-51.0
2019-06-20,0.0
2019-07-04,51.0
2019-07-18,-300.0
2019-08-01,0.0
2019-08-15,200.0
2019-08-29,700.0
2019-09-12,400.0
2019-09-26,300.0
2019-10-10,100.0
2019-10-24,500.0
2019-11-07,300.0
2019-11-21,300.0
2019-12-06,150.0
2019-12-12,2400.0
2019-12-19,200.0
2020-01-03,-25.0
2020-01-09,-2400.0
2020-01-16,300.0
2020-01-30,-325.0
2020-02-13,1400.0
2020-02-27,970.0
2020-03-12,320.0
2020-03-19,7000.0
2020-03-20,11000.0
2020-03-26,7330.0
2020-03-30,24000.0
2020-04-02,22000.0
2020-04-06,24000.0
2020-04-09,17520.0
2020-04-14,14530.0
2020-04-16,12000.0
2020-04-20,12000.0
2020-04-23,7765.0
2020-04-27,6520.0
2020-04-30,6180.0
2020-05-04,1860.0
2020-05-07,3105.0
2020-05-11,1570.0
2020-05-14,1500.0
2020-05-19,5310.0
2020-05-21,430.0
2020-05-25,3065.0
2020-05-28,20.0
2020-06-01,5750.0
2020-06-04,1510.0
2020-06-05,-3000.0
2020-06-08,3100.0
2020-06-11,0.0
2020-06-15,50.0
2020-06-18,-2000.0
2020-06-25,-4000.0
2020-07-02,-10000.0
2020-07-09,0.0
2020-07-16,-8790.0
2020-07-23,-970.0
2020-07-30,0.0
2020-08-06,40.0
2020-08-13,0.0
2020-08-20,75.0
2020-08-27,50.0
2020-09-03,-3890.0
2020-09-10,0.0
2020-09-17,-3735.0
2020-09-24,-8000.0
2020-10-01,-8000.0
2020-10-08,-4000.0
2020-10-15,-2700.0
2020-10-22,0.0
2020-10-29,-180.0
2020-11-05,0.0
2020-11-19,350.0
2020-11-26,-40.0
2020-12-03,25.0
2020-12-10,0.0
2020-12-17,200.0
2020-12-31,0.0
2021-01-07,0.0
2021-01-14,145.0
2021-01-21,-1900.0
2021-01-28,-110.0
2021-02-11,0.0
2021-02-18,-105.0
2021-02-25,-75.0
2021-03-04,-3315.0
2021-03-11,-8625.0
2021-03-18,-8000.0
2021-03-25,-20000.0
2021-04-01,-28000.0
2021-04-08,-29340.0
2021-04-15,-16000.0
2021-04-22,-5462.0
2021-04-29,-1500.0
2021-05-06,500.0
2021-05-13,-750.0
2021-05-27,-750.0
2021-06-10,0.0
2021-06-24,0.0
2021-07-02,0.0
2021-07-08,0.0
2021-07-22,0.0
2021-07-29,0.0
2021-08-05,-1500.0
2021-08-12,0.0
2021-08-19,0.0
2021-08-26,0.0
2021-09-02,-1500.0
2021-09-09,0.0
2021-09-23,0.0
2021-10-07,0.0
2021-10-14,0.0
2021-10-21,-48.0
2021-10-28,-5505.0
2021-11-04,-250.0
2021-11-10,-400.0
2021-11-25,0.0
2021-12-02,0.0
2021-12-09,0.0
2021-12-16,0.0
2021-12-30,0.0
2022-01-13,0.0
2022-01-27,0.0
2022-02-03,-4560.0
2022-02-10,0.0
2022-03-03,-3050.0
2022-03-10,-375.0
2022-03-17,0.0
2022-03-31,0.0
2022-04-07,-705.0
2022-04-14,-6000.0
2022-04-28,0.0
2022-05-05,-500.0
2022-05-12,-3070.0
2022-05-26,-5000.0
2022-06-09,-50.0
2022-06-16,0.0
2022-06-23,0.0
2022-07-07,0.0
2022-07-21,0.0
2022-07-28,0.0
2022-08-11,-45.0
2022-08-18,-50.0
2022-09-08,0.0
2022-09-22,0.0
2022-10-06,0.0
2022-10-13,0.0
2022-11-03,-100.0
2022-12-08,-200.0
2022-12-29,-145.0
2023-02-09,0.0
2023-03-09,0.0
2023-04-06,0.0
2023-05-04,0.0
2025-03-06,1710.0
2025-03-20,2300.0
2025-04-03,-110.0
2025-04-17,1475.0
2025-05-01,250.0
2025-05-15,1000.0
2025-05-29,800.0
2025-06-12,390.0
2025-06-26,330.0
2025-07-10,735.0
2025-07-24,-900.0
2025-08-07,-600.0
2025-08-21,1010.0
2025-09-04,2900.0
2025-09-18,1725.0
2025-10-02,3950.0
2025-10-16,1895.0
2025-10-23,4000.0
