date,TGB.M.ES.N.A094T.U2.EUR.E
2014-10-01,-201469.75
2014-11-01,-192274.59
2014-12-01,-189865.44
2015-01-01,-191917.18
2015-02-01,-192416.95
2015-03-01,-212376.86
2015-04-01,-207439.46
2015-05-01,-212014.91
2015-06-01,-227486.96
2015-07-01,-227689.13
2015-08-01,-229663.07
2015-09-01,-228278.5
2015-10-01,-227156.38
2015-11-01,-241015.23
2015-12-01,-254114.63
2016-01-01,-248257.92
2016-02-01,-263163.67
2016-03-01,-266549.18
2016-04-01,-254892.81
2016-05-01,-294739.82
2016-06-01,-307102.43
2016-07-01,-293106.54
2016-08-01,-313579.48
2016-09-01,-319654.16
2016-10-01,-313834.37
2016-11-01,-330396.0
2016-12-01,-328074.53
2017-01-01,-350191.1
2017-02-01,-361726.22
2017-03-01,-374567.91
2017-04-01,-366445.14
2017-05-01,-375626.48
2017-06-01,-371069.27
2017-07-01,-383174.25
2017-08-01,-384426.12
2017-09-01,-373439.78
2017-10-01,-361912.05
2017-11-01,-367314.69
2017-12-01,-373736.29
2018-01-01,-399041.84
2018-02-01,-398736.31
2018-03-01,-381423.18
2018-04-01,-389287.32
2018-05-01,-393607.38
2018-06-01,-398326.22
2018-07-01,-402808.52
2018-08-01,-389065.73
2018-09-01,-396189.09
2018-10-01,-397474.87
2018-11-01,-401723.01
2018-12-01,-401892.49
2019-01-01,-400762.05
2019-02-01,-397597.54
2019-03-01,-401535.27
2019-04-01,-403099.78
2019-05-01,-404985.71
2019-06-01,-407039.08
2019-07-01,-405856.57
2019-08-01,-400813.5
2019-09-01,-383526.1
2019-10-01,-379036.92
2019-11-01,-382751.27
2019-12-01,-392384.09
2020-01-01,-390316.04
2020-02-01,-377991.25
2020-03-01,-407429.04
2020-04-01,-431474.17
2020-05-01,-451798.02
2020-06-01,-462417.36
2020-07-01,-460562.87
2020-08-01,-458539.08
2020-09-01,-464694.74
2020-10-01,-457167.36
2020-11-01,-480416.44
2020-12-01,-499990.43
2021-01-01,-499800.28
2021-02-01,-513366.76
2021-03-01,-487731.91
2021-04-01,-498694.67
2021-05-01,-502760.42
2021-06-01,-503948.26
2021-07-01,-506352.77
2021-08-01,-498814.31
2021-09-01,-487178.36
2021-10-01,-487320.43
2021-11-01,-494158.16
2021-12-01,-512779.01
2022-01-01,-512382.61
2022-02-01,-516813.66
2022-03-01,-536135.41
2022-04-01,-505287.48
2022-05-01,-525983.31
2022-06-01,-516052.52
2022-07-01,-494878.54
2022-08-01,-501095.17
2022-09-01,-488187.38
2022-10-01,-484204.24
2022-11-01,-467828.9
2022-12-01,-502244.77
2023-01-01,-478610.86
2023-02-01,-452351.89
2023-03-01,-446082.77
2023-04-01,-437242.58
2023-05-01,-422276.74
2023-06-01,-415015.43
2023-07-01,-412179.96
2023-08-01,-409427.84
2023-09-01,-395421.55
2023-10-01,-374776.34
2023-11-01,-354874.82
2023-12-01,-394431.72
2024-01-01,-357141.77
2024-02-01,-390799.48
2024-03-01,-424199.1
2024-04-01,-432949.73
2024-05-01,-441188.31
2024-06-01,-462509.91
2024-07-01,-433682.84
2024-08-01,-424814.56
2024-09-01,-446633.97
2024-10-01,-418977.87
2024-11-01,-434963.99
2024-12-01,-446667.61
2025-01-01,-422613.33
2025-02-01,-439969.5
2025-03-01,-444409.44
2025-04-01,-429153.4
2025-05-01,-430034.2
2025-06-01,-423321.98
2025-07-01,-391845.57
2025-08-01,-390181.96
2025-09-01,-389564.76
2025-10-01,-391727.22
2025-11-01,-388412.71
2025-12-01,-414491.16
2026-01-01,-394880.12
2026-02-01,-428605.17
2026-03-01,-454608.3
2026-04-01,-444638.09
2026-05-01,-448787.57
2026-06-01,-445663.15
2026-07-01,-430474.26
