date,BLS.Q.U2.ALL.Z.H.H.B3.ST.S.WFNET
2014-12-31,-0.8475033621140609
2015-03-31,-2.753901521269413
2015-06-30,1.5609681031102693
2015-09-30,-7.379029869091732
2015-12-31,2.183101307622355
2016-03-31,-6.037460314534097
2016-06-30,2.50789309568786
2016-09-30,-0.27907090834633125
2016-12-31,-2.1133814108628814
2017-03-31,1.023130384972019
2017-06-30,-6.7124786838476105
2017-09-30,-4.177407426282598
2017-12-31,-10.994766320824606
2018-03-31,-7.236507209342205
2018-06-30,-11.65529559272698
2018-09-30,-9.222983630981748
2018-12-31,-2.981028998799215
2019-03-31,-3.3002650857834084
2019-06-30,2.3922670902845358
2019-09-30,-2.3483945824151835
2019-12-31,0.4280231203523307
2020-03-31,2.705630351071105
2020-06-30,12.534864718077866
2020-09-30,26.607113058540193
2020-12-31,17.99102045650301
2021-03-31,9.430607887155533
2021-06-30,-2.2231877354537746
2021-09-30,-2.138822905170671
2021-12-31,2.4726009906385005
2022-03-31,-0.2341909125911935
2022-06-30,1.8020808051633233
2022-09-30,23.7020882209608
2022-12-31,32.2255566990276
2023-03-31,20.7204837676282
2023-06-30,19.391596778182173
2023-09-30,8.436120244244602
2023-12-31,11.230583413289517
2024-03-31,1.9246704397775642
2024-06-30,-6.028760541520974
2024-09-30,-5.872454665189796
2024-12-31,-3.4654596669167326
2025-03-31,1.00426536528213
2025-06-30,-7.3616217927013805
2025-09-30,2.4843672942126918
2025-12-31,-0.20964147259501037
2026-03-31,-2.3505796391515053
2026-06-30,1.9743856593717697
2026-09-30,8.802079714862277
