date,EST.B.EU000A2X2A25.TT
2019-10-01,35996.0
2019-10-02,33549.0
2019-10-03,29200.0
2019-10-04,33907.0
2019-10-07,33722.0
2019-10-08,31536.0
2019-10-09,31274.0
2019-10-10,30526.0
2019-10-11,32614.0
2019-10-14,31781.0
2019-10-15,32332.0
2019-10-16,32703.0
2019-10-17,32639.0
2019-10-18,31238.0
2019-10-21,33283.0
2019-10-22,31588.0
2019-10-23,33724.0
2019-10-24,33784.0
2019-10-25,34093.0
2019-10-28,32366.0
2019-10-29,32763.0
2019-10-30,28631.0
2019-10-31,25342.0
2019-11-01,28931.0
2019-11-04,36811.0
2019-11-05,32509.0
2019-11-06,31243.0
2019-11-07,31578.0
2019-11-08,29466.0
2019-11-11,30968.0
2019-11-12,30250.0
2019-11-13,23482.0
2019-11-14,30027.0
2019-11-15,31887.0
2019-11-18,33869.0
2019-11-19,33067.0
2019-11-20,39662.0
2019-11-21,32215.0
2019-11-22,31816.0
2019-11-25,30528.0
2019-11-26,32256.0
2019-11-27,31177.0
2019-11-28,31550.0
2019-11-29,31101.0
2019-12-02,32038.0
2019-12-03,31998.0
2019-12-04,32581.0
2019-12-05,32804.0
2019-12-06,28819.0
2019-12-09,29949.0
2019-12-10,30501.0
2019-12-11,32579.0
2019-12-12,31864.0
2019-12-13,31262.0
2019-12-16,33184.0
2019-12-17,35867.0
2019-12-18,29119.0
2019-12-19,28808.0
2019-12-20,28851.0
2019-12-23,21805.0
2019-12-24,21242.0
2019-12-27,27661.0
2019-12-30,27143.0
2019-12-31,17978.0
2020-01-02,26611.0
2020-01-03,27706.0
2020-01-06,32777.0
2020-01-07,34235.0
2020-01-08,35150.0
2020-01-09,30913.0
2020-01-10,31837.0
2020-01-13,31245.0
2020-01-14,28664.0
2020-01-15,26023.0
2020-01-16,29388.0
2020-01-17,31817.0
2020-01-20,33566.0
2020-01-21,31033.0
2020-01-22,30474.0
2020-01-23,31463.0
2020-01-24,33324.0
2020-01-27,33033.0
2020-01-28,37845.0
2020-01-29,32714.0
2020-01-30,32097.0
2020-01-31,32163.0
2020-02-03,38392.0
2020-02-04,36167.0
2020-02-05,35449.0
2020-02-06,33619.0
2020-02-07,32644.0
2020-02-10,33678.0
2020-02-11,32222.0
2020-02-12,31753.0
2020-02-13,31655.0
2020-02-14,34136.0
2020-02-17,35151.0
2020-02-18,31880.0
2020-02-19,32866.0
2020-02-20,32691.0
2020-02-21,35098.0
2020-02-24,34684.0
2020-02-25,33258.0
2020-02-26,34286.0
2020-02-27,31087.0
2020-02-28,33073.0
2020-03-02,30645.0
2020-03-03,35167.0
2020-03-04,40672.0
2020-03-05,36928.0
2020-03-06,38242.0
2020-03-09,40232.0
2020-03-10,45152.0
2020-03-11,48537.0
2020-03-12,48041.0
2020-03-13,44382.0
2020-03-16,39369.0
2020-03-17,44130.0
2020-03-18,41457.0
2020-03-19,40550.0
2020-03-20,38819.0
2020-03-23,42983.0
2020-03-24,44586.0
2020-03-25,45443.0
2020-03-26,44398.0
2020-03-27,41609.0
2020-03-30,51283.0
2020-03-31,49020.0
2020-04-01,53453.0
2020-04-02,52948.0
2020-04-03,45912.0
2020-04-06,59270.0
2020-04-07,58379.0
2020-04-08,56559.0
2020-04-09,55456.0
2020-04-14,58074.0
2020-04-15,57086.0
2020-04-16,55636.0
2020-04-17,54008.0
2020-04-20,50826.0
2020-04-21,49960.0
2020-04-22,48712.0
2020-04-23,47408.0
2020-04-24,47254.0
2020-04-27,49146.0
2020-04-28,46757.0
2020-04-29,46325.0
2020-04-30,39756.0
2020-05-04,48133.0
2020-05-05,53443.0
2020-05-06,49616.0
2020-05-07,32961.0
2020-05-08,35476.0
2020-05-11,48914.0
2020-05-12,47105.0
2020-05-13,47498.0
2020-05-14,45901.0
2020-05-15,44086.0
2020-05-18,46151.0
2020-05-19,44659.0
2020-05-20,32084.0
2020-05-21,34454.0
2020-05-22,39461.0
2020-05-25,41311.0
2020-05-26,37891.0
2020-05-27,43110.0
2020-05-28,41930.0
2020-05-29,29159.0
2020-06-01,30109.0
2020-06-02,43494.0
2020-06-03,43142.0
2020-06-04,42211.0
2020-06-05,39470.0
2020-06-08,37691.0
2020-06-09,45690.0
2020-06-10,35280.0
2020-06-11,35940.0
2020-06-12,43742.0
2020-06-15,48235.0
2020-06-16,38279.0
2020-06-17,40038.0
2020-06-18,38042.0
2020-06-19,40936.0
2020-06-22,41682.0
2020-06-23,38346.0
2020-06-24,37257.0
2020-06-25,32993.0
2020-06-26,32608.0
2020-06-29,35798.0
2020-06-30,42421.0
2020-07-01,42883.0
2020-07-02,43047.0
2020-07-03,36435.0
2020-07-06,42383.0
2020-07-07,42574.0
2020-07-08,40892.0
2020-07-09,40828.0
2020-07-10,43774.0
2020-07-13,44937.0
2020-07-14,41079.0
2020-07-15,45658.0
2020-07-16,52279.0
2020-07-17,45118.0
2020-07-20,44329.0
2020-07-21,51379.0
2020-07-22,45215.0
2020-07-23,44557.0
2020-07-24,45542.0
2020-07-27,44712.0
2020-07-28,45801.0
2020-07-29,48777.0
2020-07-30,43398.0
2020-07-31,37164.0
2020-08-03,43859.0
2020-08-04,44663.0
2020-08-05,46956.0
2020-08-06,47869.0
2020-08-07,47336.0
2020-08-10,13472.0
2020-08-11,43477.0
2020-08-12,41791.0
2020-08-13,41257.0
2020-08-14,28873.0
2020-08-17,41656.0
2020-08-18,41888.0
2020-08-19,41807.0
2020-08-20,42247.0
2020-08-21,42886.0
2020-08-24,43318.0
2020-08-25,43339.0
2020-08-26,40407.0
2020-08-27,39089.0
2020-08-28,33504.0
2020-08-31,32370.0
2020-09-01,40236.0
2020-09-02,40105.0
2020-09-03,32988.0
2020-09-04,39544.0
2020-09-07,42578.0
2020-09-08,42008.0
2020-09-09,41833.0
2020-09-10,42113.0
2020-09-11,41575.0
2020-09-14,45493.0
2020-09-15,49639.0
2020-09-16,44937.0
2020-09-17,43702.0
2020-09-18,42867.0
2020-09-21,40540.0
2020-09-22,40678.0
2020-09-23,40080.0
2020-09-24,38570.0
2020-09-25,35290.0
2020-09-28,39761.0
2020-09-29,40004.0
2020-09-30,42802.0
2020-10-01,38795.0
2020-10-02,44717.0
2020-10-05,45491.0
2020-10-06,46880.0
2020-10-07,45038.0
2020-10-08,43611.0
2020-10-09,46832.0
2020-10-12,49495.0
2020-10-13,48630.0
2020-10-14,49436.0
2020-10-15,48277.0
2020-10-16,45685.0
2020-10-19,46321.0
2020-10-20,46346.0
2020-10-21,44468.0
2020-10-22,43986.0
2020-10-23,42148.0
2020-10-26,38484.0
2020-10-27,46546.0
2020-10-28,45957.0
2020-10-29,44572.0
2020-10-30,38692.0
2020-11-02,50126.0
2020-11-03,51485.0
2020-11-04,48085.0
2020-11-05,45919.0
2020-11-06,45667.0
2020-11-09,47922.0
2020-11-10,43935.0
2020-11-11,43087.0
2020-11-12,43766.0
2020-11-13,43586.0
2020-11-16,45524.0
2020-11-17,45611.0
2020-11-18,43786.0
2020-11-19,40768.0
2020-11-20,40305.0
2020-11-23,42228.0
2020-11-24,41815.0
2020-11-25,43085.0
2020-11-26,44917.0
2020-11-27,41913.0
2020-11-30,40942.0
2020-12-01,44545.0
2020-12-02,41933.0
2020-12-03,42274.0
2020-12-04,46260.0
2020-12-07,45966.0
2020-12-08,23572.0
2020-12-09,47942.0
2020-12-10,46985.0
2020-12-11,48264.0
2020-12-14,47016.0
2020-12-15,49858.0
2020-12-16,42621.0
2020-12-17,40024.0
2020-12-18,42277.0
2020-12-21,44227.0
2020-12-22,43116.0
2020-12-23,32315.0
2020-12-24,22881.0
2020-12-28,27521.0
2020-12-29,38688.0
2020-12-30,36560.0
2020-12-31,19726.0
2021-01-04,46666.0
2021-01-05,46654.0
2021-01-06,44337.0
2021-01-07,43141.0
2021-01-08,42240.0
2021-01-11,45374.0
2021-01-12,43161.0
2021-01-13,44392.0
2021-01-14,44990.0
2021-01-15,49644.0
2021-01-18,52184.0
2021-01-19,49555.0
2021-01-20,51882.0
2021-01-21,48938.0
2021-01-22,46465.0
2021-01-25,46390.0
2021-01-26,52859.0
2021-01-27,43358.0
2021-01-28,42151.0
2021-01-29,35904.0
2021-02-01,41743.0
2021-02-02,44042.0
2021-02-03,45048.0
2021-02-04,44059.0
2021-02-05,42517.0
2021-02-08,42404.0
2021-02-09,43270.0
2021-02-10,41918.0
2021-02-11,43139.0
2021-02-12,43242.0
2021-02-15,43072.0
2021-02-16,41493.0
2021-02-17,41073.0
2021-02-18,41352.0
2021-02-19,41628.0
2021-02-22,41862.0
2021-02-23,41730.0
2021-02-24,41110.0
2021-02-25,42027.0
2021-02-26,39693.0
2021-03-01,47751.0
2021-03-02,47310.0
2021-03-03,49099.0
2021-03-04,46676.0
2021-03-05,42671.0
2021-03-08,39690.0
2021-03-09,33966.0
2021-03-10,45218.0
2021-03-11,46913.0
2021-03-12,43926.0
2021-03-15,46886.0
2021-03-16,48940.0
2021-03-17,40172.0
2021-03-18,43553.0
2021-03-19,40784.0
2021-03-22,41907.0
2021-03-23,41134.0
2021-03-24,40413.0
2021-03-25,38243.0
2021-03-26,40218.0
2021-03-29,38771.0
2021-03-30,40088.0
2021-03-31,45134.0
2021-04-01,43396.0
2021-04-06,51214.0
2021-04-07,53951.0
2021-04-08,53462.0
2021-04-09,52686.0
2021-04-12,49545.0
2021-04-13,42773.0
2021-04-14,41489.0
2021-04-15,47286.0
2021-04-16,43952.0
2021-04-19,47050.0
2021-04-20,47180.0
2021-04-21,47627.0
2021-04-22,47511.0
2021-04-23,48082.0
2021-04-26,47961.0
2021-04-27,51682.0
2021-04-28,45374.0
2021-04-29,43603.0
2021-04-30,33962.0
2021-05-03,38184.0
2021-05-04,44829.0
2021-05-05,47399.0
2021-05-06,47780.0
2021-05-07,46775.0
2021-05-10,47499.0
2021-05-11,45691.0
2021-05-12,36495.0
2021-05-13,35708.0
2021-05-14,41322.0
2021-05-17,43036.0
2021-05-18,45226.0
2021-05-19,45375.0
2021-05-20,45516.0
2021-05-21,35085.0
2021-05-24,35059.0
2021-05-25,44876.0
2021-05-26,46159.0
2021-05-27,45435.0
2021-05-28,38000.0
2021-05-31,37631.0
2021-06-01,49004.0
2021-06-02,42552.0
